Pos,Artist and Title, ,"15,443.7","15,724.1","15,726.8","15,730.6","15,733.2"
59,Sam Fender - Seventeen Going Under, ,0.0992,0.0321,0.0201,0.0276,0.0370
60,Mica Paris - (Something Inside) So Strong, ,0.0941,0.0000,0.0000,0.0000,0.0333
61,Sophie Ellis-Bextor & Wuh Oh - Hypnotized, ,0.0891,0.0714,0.0454,0.0553,0.0765
62,Drake - Massive, ,0.0891,0.0393,0.0236,0.0327,0.0444
63,P!nk - Irrelevant, ,0.0891,0.0536,0.0353,0.0415,0.0555
64,Nicky Youre & Dazy - Sunroof, ,0.0865,0.0428,0.0303,0.0314,0.0457
65,Lady Gaga - Hold My Hand, ,0.0865,0.0500,0.0353,0.0439,0.0519
66,Mimi Webb - House On Fire, ,0.0840,0.0321,0.0236,0.0201,0.0345
67,Lost Frequencies & Calum Scott - Where Are You Now, ,0.0840,0.0393,0.0236,0.0302,0.0420
68,Ed Sheeran - Bad Habits, ,0.0814,0.0286,0.0184,0.0214,0.0333
69,Becky Hill & David Guetta - Remember, ,0.0789,0.0393,0.0236,0.0289,0.0444
70,Everybody Loves an Outlaw - I See Red, ,0.0789,0.0393,0.0201,0.0000,0.0408
71,Glass Animals - Heat Waves, ,0.0789,0.0358,0.0219,0.0239,0.0420
72,Joji - Glimpse of Us, ,0.0763,0.0321,0.0201,0.0000,0.0370
73,Sam Ryder - SPACE MAN, ,0.0763,0.0286,0.0236,0.0239,0.0297
74,Robbie Williams - Lost (XXV), ,0.0763,0.0393,0.0320,0.0352,0.0383
75,Olivia Newton-John - Physical, ,0.0737,0.0000,0.0000,0.0000,0.0000
76,Beyoncé - ALIEN SUPERSTAR, ,0.0737,0.0358,0.0236,0.0264,0.0383
77,Guns N' Roses - Sweet Child O' Mine, ,0.0737,0.0000,0.0000,0.0000,0.0000
78,Coldplay X BTS - My Universe, ,0.0713,0.0250,0.0303,0.0427,0.0309
79,Ellie Goulding - Easy Lover (feat. Big Sean), ,0.0713,0.0286,0.0151,0.0239,0.0297
80,Chris Brown - Under the Influence, ,0.0713,0.0358,0.0201,0.0226,0.0321
81,"Alok, Ella Eyre & Kenny Dope - Deep Down (feat. Never Dull)", ,0.0713,0.0000,0.0000,0.0000,0.0309
82,Doja Cat - Vegas, ,0.0713,0.0321,0.0184,0.0264,0.0345
83,Harry Styles - Watermelon Sugar, ,0.0687,0.0000,0.0000,0.0201,0.0358
84,John Travolta & Olivia Newton-John - You're the One That I Want, ,0.0687,0.0000,0.0000,0.0000,0.0000
85,Nathan Evans - Wellerman (Sea Shanty), ,0.0687,0.0250,0.0184,0.0000,0.0000
