Artist,Listeners,Daily Trend,Peak,PkListeners
6ix9ine,"10,749,149","-14,306",584,"12,167,814"
Haddaway,"10,745,228","13,825",876,"10,745,228"
Manu Chao,"10,735,927","26,764",650,"11,659,241"
Payal Dev,"10,726,965","-38,449",559,"13,540,518"
Mario,"10,697,263","-2,419",877,"10,714,294"
Aqua,"10,696,161","4,955",61,"41,819,994"
Dhruv,"10,688,626","28,329",795,"10,690,168"
Billy Idol,"10,685,807","-11,581",628,"11,900,592"
Dan + Shay,"10,676,048","58,000",388,"18,547,976"
Snow Patrol,"10,673,588","25,874",783,"11,243,907"
Sadhana Sargam,"10,670,305","3,197",742,"11,224,067"
Imogen Heap,"10,668,509","-16,337",880,"10,684,846"
AP Dhillon,"10,654,418","6,133",394,"16,784,298"
Eric Church,"10,651,491","20,031",734,"10,651,491"
Goodboys,"10,618,285","-35,756",508,"12,349,197"
Rod Stewart,"10,615,172",997,521,"15,047,871"
Owl City,"10,608,073",-97,753,"10,725,335"
Dilsinho,"10,605,344","-10,922",762,"11,575,175"
Vacations,"10,581,013","-14,975",808,"10,997,573"
Kumar Sanu,"10,572,094","-2,915",701,"11,235,120"
Soda Stereo,"10,571,907","124,377",776,"10,924,557"
Jessie Murph,"10,565,956","-79,488",797,"11,207,463"
Ben E. King,"10,563,010","-13,133",538,"13,965,870"
A$AP Ferg,"10,561,955","-2,456",585,"12,133,735"
Lykke Li,"10,558,959","-54,698",860,"10,692,029"
fun.,"10,551,059","4,992",594,"12,280,955"
Three Days Grace,"10,538,028","-3,346",695,"12,353,243"
Santa Fe Klan,"10,523,905","13,113",576,"12,886,402"
Vicente Fernández,"10,523,157",-329,802,"10,742,851"
Patrick Watson,"10,512,589","26,044",764,"11,280,143"
Maggie Rogers,"10,480,254","-36,858",866,"10,798,867"
Tina Turner,"10,476,097","7,288",308,"19,164,105"
Mumford & Sons,"10,468,946","-12,557",629,"12,578,885"
James Blunt,"10,421,522","-7,669",553,"12,564,967"
Karthik,"10,420,785","-3,806",796,"10,456,364"
Rajat Nagpal,"10,420,505","9,860",794,"10,791,944"
Luísa Sonza,"10,407,181","42,624",456,"15,224,327"
MC Saci,"10,406,002","-2,937",781,"11,475,645"
4batz,"10,391,104","-156,397",428,"17,480,395"
Sofiya Nzau,"10,390,992","-12,509",905,"10,528,941"
Sevdaliza,"10,389,109","-17,594",800,"11,407,937"
DNCE,"10,372,204","5,823",591,"12,178,319"
Logic,"10,366,892","104,085",431,"13,970,820"
Counting Crows,"10,366,492","10,473",734,"10,864,205"
iZaak,"10,362,821","-3,846",919,"10,366,667"
Taiu,"10,351,554","10,257",449,"16,743,687"
ZICO,"10,349,989","-26,525",901,"10,534,342"
YG Marley,"10,346,994","-82,310",302,"20,937,982"
Ashe,"10,340,871","-5,998",516,"14,091,983"
Otis Redding,"10,336,627","15,764",536,"14,608,166"
Palak Muchhal,"10,335,383","-1,125",913,"10,351,606"
Chance the Rapper,"10,309,450","-21,419",623,"10,952,938"
TWICE,"10,306,794","-31,194",499,"12,855,155"
Riton,"10,288,387","13,830",685,"11,432,336"
Ace of Base,"10,273,923","-14,178",926,"10,336,694"
LIT killah,"10,259,634","-24,497",383,"16,770,036"
Luan Santana,"10,243,753","-1,490",479,"15,797,554"
Selena,"10,220,664","-43,904",899,"10,536,136"
T.I.,"10,208,990","30,611",587,"11,247,008"
Gustavo Mioto,"10,207,046","13,102",616,"12,902,041"
WIU,"10,195,581","-2,869",701,"10,891,670"
John Lennon,"10,193,616","-20,334",80,"38,948,405"
"Tito ""El Bambino""","10,182,647","4,431",939,"10,213,056"
Cody Johnson,"10,179,763","-9,650",937,"10,274,474"
Tony Aguirre,"10,170,160","31,575",711,"11,605,697"
Dermot Kennedy,"10,170,041","-18,468",405,"14,690,713"
Raghav Chaitanya,"10,168,198","15,567",774,"11,232,313"
Fifth Harmony,"10,163,308","-18,156",675,"12,514,217"
Lauana Prado,"10,162,212","8,696",760,"11,452,065"
Birdy,"10,145,727","16,966",662,"11,832,939"
Oruam,"10,137,864","-13,864",736,"11,790,567"
Altamash Faridi,"10,128,583","2,652",530,"13,542,217"
PEDRO SAMPAIO,"10,125,066","-57,143",649,"12,430,384"
A7S,"10,122,050","-20,552",578,"11,363,223"
YG,"10,111,290","-10,483",530,"12,471,725"
DMX,"10,105,105","74,729",615,"10,919,370"
Aaron May,"10,100,210","-75,301",884,"10,543,579"
Cher,"10,097,166","-6,210",217,"25,664,744"
Ella Eyre,"10,096,210","-25,979",825,"10,219,142"
Naeleck,"10,089,326","-2,555",654,"12,632,163"
Soft Cell,"10,086,622","-1,206",900,"10,155,463"
Ciara,"10,086,310","22,797",639,"11,923,846"
El Fantasma,"10,085,986","-12,788",695,"12,208,875"
Juan Gabriel,"10,082,664",-886,777,"10,502,827"
Lizzy McAlpine,"10,080,380","-29,917",293,"18,459,665"
DJ Ws da Igrejinha,"10,079,884","23,317",962,"10,079,884"
Jon Pardi,"10,073,508","2,970",849,"10,073,508"
Diddy,"10,053,207","-9,822",398,"16,823,499"
Young Nudy,"10,048,566","12,107",788,"10,428,436"
alt-J,"10,016,503","-9,976",843,"10,387,663"
Vintage Culture,"10,016,447","15,931",967,"10,016,447"
Humberto & Ronaldo,"10,001,760","-48,362",893,"10,581,548"
Icona Pop,"9,996,247","-9,087",597,"13,570,205"
Haze,"9,991,464","-114,505",898,"10,319,124"
John Summit,"9,991,351","62,990",971,"9,991,351"
Muni Long,"9,990,073","4,935",526,"14,925,072"
ScHoolboy Q,"9,985,546","-39,319",755,"11,576,671"
Kordhell,"9,983,557","5,096",408,"14,497,317"
Sixpence None The Richer,"9,982,024","27,029",899,"10,129,456"
Fitz and The Tantrums,"9,972,269","35,233",756,"11,667,964"
Mau y Ricky,"9,972,049","98,679",489,"12,943,019"
Selena Gomez & The Scene,"9,967,535","2,197",525,"13,559,306"
2 Chainz,"9,944,813","-29,938",518,"13,825,486"
Phoebe Bridgers,"9,944,721","-10,705",776,"11,047,236"
Loud Luxury,"9,940,122",-236,593,"12,238,932"
Rage Against The Machine,"9,937,842","11,597",737,"11,081,757"
HARDY,"9,918,073","32,190",947,"9,918,073"
Ajay-Atul,"9,916,089","-3,627",597,"12,421,148"
Harris Jayaraj,"9,903,004","1,774",804,"10,390,989"
Veigh,"9,900,470","-7,671",794,"10,366,582"
Capital Cities,"9,893,887","16,603",705,"12,192,879"
Eternxlkz,"9,886,052","34,572",988,"9,886,052"
Sum 41,"9,880,692","-4,987",788,"11,307,254"
Luar La L,"9,880,347","-28,695",605,"12,945,000"
Keyshia Cole,"9,867,769","-6,236",793,"11,212,896"
Two Door Cinema Club,"9,865,534",482,990,"9,865,534"
BABYMONSTER,"9,857,979","20,706",953,"10,072,324"
Declan McKenna,"9,840,418","12,516",994,"9,840,418"
bbno$,"9,830,495","62,908",721,"10,348,710"
Chris Jedi,"9,820,903","-21,975",736,"11,817,178"
C. Tangana,"9,818,309","-1,935",700,"11,454,863"
KayBlack,"9,815,357","49,271",769,"10,492,966"
Jim Croce,"9,803,475","-30,487",968,"10,047,693"
MARINA,"9,802,810","-7,483",694,"10,311,140"
Shashaa Tirupati,"9,789,027","24,850",797,"9,789,027"
Incubus,"9,787,895","-4,003",944,"10,099,913"
Mc Pretchako,"9,782,635","-3,128",846,"10,888,156"
Rascal Flatts,"9,775,376",977,822,"10,060,800"
Abhijeet,"9,770,178",789,901,"10,090,045"
Mc Delux,"9,750,607","27,657",1006,"9,750,607"
Jere Klein,"9,748,727","-16,712",601,"13,082,461"
Carla Morrison,"9,746,145","-28,389",565,"11,635,580"
Deorro,"9,741,793","-32,152",952,"9,845,311"
Suki Waterhouse,"9,738,356","16,381",940,"10,160,104"
Pablo Chill-E,"9,729,252","-28,084",999,"9,791,126"
Tego Calderón,"9,705,435","1,768",746,"11,240,113"
DJ FKU,"9,697,173","36,719",1013,"9,697,173"
Chris Lake,"9,694,320",892,994,"9,862,679"
Nas,"9,687,519","-24,635",547,"13,392,042"
Kenny Loggins,"9,684,561","47,005",718,"10,573,523"
Ricardo Arjona,"9,680,737","-39,109",838,"9,785,219"
Sidhu Moose Wala,"9,672,665","5,548",637,"11,847,588"
Thaman S,"9,671,512","-11,574",663,"10,807,700"
