Artist,Listeners,Daily Trend,Peak,PkListeners
Dynoro,"8,418,599","134,260",925,"8,527,596"
R. City,"8,398,403","-46,954",1174,"8,642,651"
Shaarib Toshi,"8,379,740","-8,092",963,"8,923,040"
Nadin Amizah,"8,379,197",272,848,"9,910,210"
Novo Amor,"8,374,859","-20,061",951,"9,638,538"
MF DOOM,"8,364,279","-7,644",1202,"8,410,573"
Gnarls Barkley,"8,361,157","-16,947",784,"10,449,273"
The Paper Kites,"8,354,633","-11,699",1012,"9,217,473"
Grupo Menos É Mais,"8,351,956","6,779",762,"11,331,331"
Matuê,"8,348,252","-28,199",920,"9,088,979"
Oh Wonder,"8,343,856","-19,365",902,"9,535,371"
Blake Shelton,"8,340,400","10,942",635,"12,857,745"
Cartel De Santa,"8,338,297","6,253",376,"15,547,760"
Zoe Wees,"8,337,371","-1,240",1130,"8,361,402"
Laura Pausini,"8,335,025","-11,872",827,"10,116,279"
Avvy Sra,"8,332,935","-18,639",978,"9,659,152"
Willie Colón,"8,331,449","16,564",1068,"8,999,802"
Portugal. The Man,"8,327,536",881,590,"12,791,543"
Santhosh Narayanan,"8,323,340","-4,919",968,"9,660,488"
Vulgo FK,"8,322,128","11,165",944,"9,229,989"
Felipe Amorim,"8,321,424","26,202",628,"12,110,443"
Boston,"8,319,734","9,433",983,"9,610,306"
Jay Sean,"8,304,623","10,450",959,"9,734,442"
Antara Mitra,"8,302,266","-23,919",1002,"8,737,901"
Gustavo Moura & Rafael,"8,301,402","-18,312",1154,"8,758,433"
Mae Stephens,"8,295,088","-58,832",611,"12,373,169"
Gazo,"8,284,308","-13,873",982,"9,106,967"
Kevin Kaarl,"8,279,565","-39,334",1052,"8,492,990"
Danna Paola,"8,275,176","-36,182",531,"12,298,665"
Shafqat Amanat Ali,"8,271,000","2,903",1197,"8,333,690"
Cassie,"8,267,553","100,089",1141,"8,267,553"
Chuck Berry,"8,265,412","-7,015",204,"26,745,756"
TrapLaudo,"8,264,863","-14,410",965,"9,678,797"
FKJ,"8,262,284","-35,349",1072,"9,015,890"
Niklas Dee,"8,256,518","-18,332",1020,"9,161,160"
Lee Brice,"8,224,320","2,531",1012,"8,632,311"
Rainbow Kitten Surprise,"8,221,979","-33,169",1093,"8,812,010"
Pamungkas,"8,216,237","12,963",1137,"8,269,827"
Miranda!,"8,213,800","8,512",708,"10,227,443"
Omar Apollo,"8,201,959","24,887",592,"11,377,789"
Lainey Wilson,"8,198,365","1,053",1189,"8,218,697"
Fireboy DML,"8,194,894","-14,755",778,"10,491,359"
Uzielito Mix,"8,187,743","42,376",705,"11,822,681"
Big One,"8,181,055","-26,861",398,"16,419,449"
Tom Petty and the Heartbreakers,"8,177,152","17,835",957,"9,163,756"
Mc Dudu Sk,"8,176,221","44,195",1260,"8,176,221"
Keith Urban,"8,171,379","-11,831",909,"9,073,976"
Brando,"8,163,538","5,901",1124,"8,484,693"
DJ Sammer,"8,160,178","-18,956",943,"10,010,912"
Cafuné,"8,157,410","25,633",1213,"8,277,602"
Kiki Dee,"8,154,822","4,634",1212,"8,154,822"
Cardenales De Nuevo León,"8,141,551","-13,064",1089,"8,857,171"
Ilaiyaraaja,"8,141,444","3,664",1108,"8,717,713"
Feby Putri,"8,133,642","2,737",1169,"8,133,642"
Darius Rucker,"8,130,321","15,193",1070,"8,377,541"
Colbie Caillat,"8,127,000","-14,601",824,"10,144,142"
El Komander,"8,119,943","-31,652",1163,"8,466,229"
CERES,"8,112,087","-40,560",1240,"8,277,134"
Ikky,"8,111,929","6,004",880,"9,958,196"
Harrykahanhai,"8,107,199","-15,738",387,"17,088,524"
Sin Bandera,"8,104,294","-10,491",1050,"8,761,230"
Mc Paiva ZS,"8,102,648","-14,683",897,"9,221,771"
Nate Smith,"8,097,949","9,685",1273,"8,097,949"
Andy Grammer,"8,094,533","15,866",733,"9,853,235"
Steve Miller Band,"8,082,128","48,637",1032,"8,655,439"
Dj Lc,"8,076,543","1,980",1112,"8,849,187"
Beny Jr,"8,071,797","24,960",1281,"8,071,797"
Bronski Beat,"8,061,271","21,557",1282,"8,061,271"
Chefin,"8,038,112","-9,735",975,"9,515,372"
Mc Kadu,"8,029,870","4,769",840,"10,730,651"
Hypaton,"8,026,907","21,061",1250,"8,130,976"
Creed,"8,025,914","10,839",1218,"8,032,506"
MC Cebezinho,"8,025,111","51,624",1287,"8,025,111"
Warren Zeiders,"8,023,403","11,672",1285,"8,023,403"
The Who,"8,021,214","-13,852",937,"9,119,495"
Shiloh Dynasty,"8,018,354","12,653",724,"10,081,564"
Nakash Aziz,"8,014,489","18,039",1206,"8,014,489"
Javed-Mohsin,"7,996,900","-5,008",782,"10,392,053"
Ghost,"7,991,031","-7,597",778,"10,413,273"
Kishore Kumar,"7,988,755",-172,1162,"8,361,363"
Emmanuel,"7,988,151","8,451",1295,"7,988,151"
Jory Boy,"7,987,706","-5,374",1123,"8,419,639"
YOASOBI,"7,985,932","-38,810",760,"10,365,956"
Lola Indigo,"7,984,497","33,098",555,"12,485,738"
xxanteria,"7,981,775","3,032",1222,"8,223,239"
Akhil Sachdeva,"7,976,625","-25,599",1176,"8,358,896"
Omar Varela,"7,963,553","13,805",1130,"8,757,225"
MC TH DA SERRA,"7,963,513","44,477",1302,"7,963,513"
Last Child,"7,962,042","56,931",1289,"7,962,042"
Prezioso,"7,955,719","12,236",1189,"8,128,818"
Rocío Dúrcal,"7,949,481","9,970",1201,"7,949,481"
Powfu,"7,946,322","7,289",913,"9,427,968"
Banda El Recodo,"7,931,572","-15,179",1086,"8,164,709"
Alex Rose,"7,926,276","2,395",1213,"8,125,834"
Crystal Castles,"7,922,881","5,521",1190,"8,072,734"
Nagalli,"7,916,825","-18,298",1179,"8,367,397"
Ha*Ash,"7,909,254","-4,999",978,"9,150,285"
Baby Gang,"7,905,298","-11,991",1179,"8,309,083"
Jósean Log,"7,904,635","31,562",1313,"7,904,635"
Los Bukis,"7,903,769","-14,827",1223,"7,984,413"
Sam Hunt,"7,901,752","2,882",770,"10,404,841"
El Chapo De Sinaloa,"7,892,121","-11,798",1295,"7,980,278"
Bhavi,"7,889,943","-65,084",1143,"8,832,935"
Cazzu,"7,889,092","18,799",679,"10,701,834"
Andrés Calamaro,"7,888,444","-40,576",1144,"8,046,393"
Surfaces,"7,885,920","-2,010",1043,"8,336,270"
Joaquin Medina,"7,885,706","-2,666",847,"10,467,574"
Stealers Wheel,"7,879,630","26,104",1295,"7,879,630"
Gurinder Gill,"7,870,089","17,271",692,"11,301,680"
Davido,"7,866,041","-1,553",1003,"8,834,438"
Orochi,"7,860,648",-977,932,"8,619,053"
Xand Avião,"7,859,789","44,543",799,"9,060,333"
sped up nightcore,"7,857,921","-23,086",300,"17,931,530"
Ali Gatie,"7,853,656","4,745",756,"9,794,001"
Elderbrook,"7,841,413","-4,850",1057,"8,147,841"
Yasser Desai,"7,840,389","-3,263",827,"8,738,809"
Rise Against,"7,839,081","1,743",1158,"8,013,015"
Miguel Bosé,"7,837,052","-17,790",653,"11,632,240"
Ñejo,"7,834,747","-3,987",634,"12,006,529"
Def Leppard,"7,834,613","-7,389",994,"8,333,121"
Fujii Kaze,"7,816,852","-31,184",584,"11,578,504"
Mother Mother,"7,814,578","-6,475",1008,"8,600,568"
Mc Laranjinha,"7,811,466","50,282",1337,"7,811,466"
Tz da Coronel,"7,810,559","-17,349",1026,"9,245,497"
The All-American Rejects,"7,798,963","-3,536",1215,"8,101,795"
MC GH do 7,"7,795,514","-15,014",932,"9,797,437"
Leo Dan,"7,788,258","94,817",1278,"7,800,487"
ACRAZE,"7,785,614","9,608",577,"11,380,380"
Ferrugem,"7,784,367","36,951",956,"9,664,472"
Libianca,"7,781,271","-5,996",254,"21,800,126"
The Kooks,"7,775,045","-3,663",1222,"7,913,054"
Skylar Grey,"7,773,667","24,514",1121,"7,773,667"
Mc Poze do Rodo,"7,763,328","-15,370",1169,"8,583,708"
Pedro Lotto,"7,760,544","9,927",1134,"8,332,406"
Gryffin,"7,755,097","13,053",654,"10,446,335"
Haricharan,"7,748,497",-746,1081,"8,193,614"
Men I Trust,"7,742,638","-9,155",844,"10,199,300"
Johann Sebastian Bach,"7,740,844","-3,520",937,"9,815,773"
Tochi Raina,"7,734,846","-6,606",955,"8,968,139"
Miranda Lambert,"7,734,059","-37,324",847,"9,945,780"
Olly Murs,"7,732,355","-29,620",1298,"7,884,015"
Caralisa Monteiro,"7,728,173",-985,695,"10,073,438"
Falling In Reverse,"7,718,481","28,818",1195,"7,718,481"
Duke Dumont,"7,717,833",-489,1043,"8,520,831"
Tee Grizzley,"7,714,138","31,287",1238,"7,714,138"
Israel & Rodolffo,"7,712,367","4,567",656,"11,805,143"
Gaby Music,"7,709,674","-18,397",893,"10,224,708"
Doechii,"7,697,162",-335,334,"18,255,625"
Dom Dolla,"7,696,633","26,456",1105,"8,321,850"
Megan Moroney,"7,696,590","76,653",1357,"7,696,590"
Irene Cara,"7,695,174","2,622",1200,"7,983,150"
Neil Diamond,"7,687,898","11,212",1102,"8,108,826"
salvia palth,"7,683,295","-20,643",1334,"7,819,954"
Genesis,"7,680,638","-29,691",1096,"7,961,011"
Zoé,"7,678,826","-7,774",1153,"7,833,386"
Ricchi E Poveri,"7,665,651",762,1199,"8,225,732"
Sfera Ebbasta,"7,652,370","-11,216",703,"11,111,971"
Grey,"7,642,466","-12,431",913,"8,679,493"
bôa,"7,641,630","-22,333",1244,"8,049,666"
Dylan Scott,"7,638,007","30,297",1327,"7,724,690"
Pet Shop Boys,"7,635,145","-15,111",1304,"7,791,541"
Paul Simon,"7,629,804","-5,073",932,"9,120,134"
INTERWORLD,"7,628,880",881,711,"10,809,092"
Teto,"7,624,517",-464,981,"7,893,583"
Carlos Rivera,"7,623,777","-5,007",847,"9,143,637"
The Foundations,"7,623,142","18,129",1380,"7,623,142"
Sam Cooke,"7,623,083","-20,079",896,"10,225,079"
Sheryl Crow,"7,622,524","1,647",1054,"8,496,874"
YUNGBLUD,"7,617,241","25,188",1022,"7,679,145"
Jon Z,"7,615,136","20,485",1046,"8,483,840"
Soundgarden,"7,614,669","-2,793",1285,"7,954,842"
Kenny Dope,"7,612,192","-22,668",1356,"7,725,947"
keshi,"7,604,225","-9,293",504,"13,668,403"
Sash!,"7,584,047","-10,847",1089,"8,199,995"
Iron Maiden,"7,582,792","18,522",937,"8,544,793"
Creepy Nuts,"7,578,938","-54,048",999,"9,491,225"
Naresh Iyer,"7,573,898",-62,1152,"7,878,117"
Mika Singh,"7,573,144","2,209",1199,"7,632,598"
Zé Felipe,"7,570,476","46,482",600,"12,280,536"
Standly,"7,570,375","-9,315",438,"13,833,044"
Yot Club,"7,563,303","-6,688",1106,"8,234,421"
VIZE,"7,562,145","-41,985",916,"9,673,119"
Idina Menzel,"7,557,108","6,970",337,"20,564,676"
Humbe,"7,555,711",535,1139,"8,506,743"
Jessie Reyez,"7,554,941","87,389",241,"21,763,207"
Diego & Victor Hugo,"7,548,417","22,314",873,"10,584,752"
Calle 13,"7,542,510","9,514",1033,"8,573,634"
Missy Elliott,"7,534,123","3,649",622,"11,145,049"
Alice In Chains,"7,529,251",-839,1032,"9,331,524"
Tropa do Bruxo,"7,519,713","-9,239",1110,"8,530,062"
42 Dugg,"7,513,618","25,970",816,"9,279,623"
Kid Rock,"7,508,269","51,087",1373,"7,508,269"
Luck Ra,"7,505,421","102,633",1015,"9,308,303"
SEVENTEEN,"7,505,315","-26,862",889,"9,240,435"
Chris Isaak,"7,501,804","-26,918",1381,"7,615,124"
Ja Rule,"7,501,372",633,1266,"7,501,372"
Meet Bros.,"7,495,427","-5,813",1115,"7,991,511"
Mabel,"7,480,514","-12,931",749,"9,481,688"
The Emotions,"7,477,172","-3,871",1412,"7,481,043"
Marnik,"7,475,408","-25,094",1072,"9,016,102"
Sofi Tukker,"7,467,324","-25,834",972,"8,283,427"
Bob Seger,"7,466,123","9,223",1155,"8,248,775"
Bronco,"7,463,449","-6,061",1324,"7,617,736"
Vansire,"7,462,664","1,032",1043,"7,999,670"
Marc Seguí,"7,461,628","10,057",1213,"7,664,496"
Guaynaa,"7,446,150",850,923,"8,534,285"
Pol Granch,"7,438,784","11,552",1266,"7,510,065"
Ricky Montgomery,"7,434,469",515,1159,"7,827,885"
Don Diablo,"7,429,431","13,479",1235,"7,429,431"
Sandro Cavazza,"7,425,501","-6,834",960,"8,984,668"
Cristian Castro,"7,420,163","-15,749",1067,"7,542,953"
León Larregui,"7,412,518","11,038",1405,"7,421,855"
Ludwig van Beethoven,"7,407,827","-10,286",1120,"8,067,611"
Xamã,"7,405,519",-970,604,"10,846,179"
Clementine Douglas,"7,404,160","20,109",1314,"7,775,856"
Mondello'G,"7,402,187","-38,401",1399,"7,532,746"
Trevor Daniel,"7,402,013","-78,714",968,"8,057,301"
Fiersa Besari,"7,401,857","15,476",1154,"8,050,551"
LANY,"7,398,577","12,608",768,"9,300,075"
London Symphony Orchestra,"7,395,248","-22,207",842,"10,515,220"
SMU,"7,395,079","-12,637",1119,"8,408,740"
Supernova Ent,"7,392,962",-563,1046,"8,483,150"
Sorriso Maroto,"7,391,808","22,743",1121,"8,635,863"
Cookin' On 3 Burners,"7,388,852","26,066",1438,"7,388,852"
LISA,"7,385,823","-6,572",534,"13,364,607"
Dani Flow,"7,379,318","-8,530",477,"16,155,643"
Lady A,"7,376,673","5,939",878,"8,960,393"
Arsy Widianto,"7,372,885","-22,699",1394,"7,548,522"
Alan Menken,"7,366,427","-3,782",753,"10,625,887"
Fat Joe,"7,365,263","-4,070",1173,"8,405,240"
Iggy Azalea,"7,358,567","-2,391",1020,"8,429,721"
J Alvarez,"7,355,030","10,396",1276,"7,355,030"
Lily Allen,"7,353,409","53,040",1301,"7,789,512"
Luciano,"7,348,239","16,912",829,"9,205,446"
Rick Astley,"7,344,376","27,571",1260,"7,697,133"
Mecano,"7,338,900","-10,470",1439,"7,360,264"
Melendi,"7,332,187","10,555",1227,"7,743,125"
Five Finger Death Punch,"7,321,415","-1,094",1192,"7,365,100"
Still Woozy,"7,318,914","4,452",1406,"7,408,292"
Shweta Mohan,"7,316,907","8,320",968,"8,062,604"
Culture Club,"7,314,224","-2,350",1331,"7,382,832"
Öwnboss,"7,293,451","-48,097",1064,"7,477,810"
Murillo e LT no Beat,"7,286,314","32,839",1324,"7,799,689"
Paul Russell,"7,286,139","-12,740",546,"13,872,224"
Gloria Trevi,"7,276,801","-17,976",1248,"7,945,916"
Bryan Martin,"7,272,668","-9,524",1429,"7,392,550"
Gerardo Ortiz,"7,254,731","-18,277",888,"9,222,415"
Miggy Dela Rosa,"7,245,080","19,822",581,"11,442,944"
Afgan,"7,243,423","-8,863",1312,"7,307,832"
Supermode,"7,242,047","20,429",1426,"7,281,367"
Alex Favela,"7,233,069","-13,022",809,"10,926,428"
Franco De Vita,"7,231,360","-13,605",1167,"7,782,353"
Shakthisree Gopalan,"7,228,003","-7,780",1206,"7,684,226"
Dent May,"7,220,953","-12,124",1350,"7,636,269"
SOG,"7,220,713","-46,447",673,"11,504,536"
Luny Tunes,"7,218,381","2,964",1153,"7,813,052"
Bas,"7,217,480","-21,572",962,"9,919,637"
Matt Maltese,"7,205,449","-31,185",1189,"8,240,255"
Marisela,"7,194,327","-11,460",1461,"7,280,555"
Cali Y El Dandee,"7,186,469","-4,361",1004,"8,378,982"
MIKA,"7,182,593","-8,695",1168,"7,711,661"
Pink Sweat$,"7,181,856","-24,006",696,"10,134,814"
Kxllswxtch,"7,178,293","-25,322",1131,"8,002,307"
Stefflon Don,"7,174,210","47,881",1478,"7,174,210"
GAMPER & DADONI,"7,166,503","-2,323",1142,"7,837,654"
All Time Low,"7,150,865","-1,017",1081,"7,848,742"
Varun Jain,"7,150,229","43,066",817,"10,154,680"
Alemán,"7,148,005",-247,918,"8,226,286"
Gilberto Santa Rosa,"7,146,083","13,255",1287,"7,243,896"
4 Non Blondes,"7,145,159",18,1135,"8,354,562"
Kenshi Yonezu,"7,143,715","-10,196",1024,"7,785,393"
Leona Lewis,"7,140,274","-7,396",295,"21,982,580"
El Bogueto,"7,140,223","52,617",1083,"8,797,636"
Diana Ross,"7,134,876","-6,834",957,"8,331,381"
Tarcísio do Acordeon,"7,133,216","35,859",1294,"7,270,029"
Bacilos,"7,133,152",126,750,"10,937,343"
Paloma Faith,"7,130,718","-9,087",579,"11,429,573"
Neil Young,"7,130,266","-9,572",1486,"7,153,262"
Vijay Prakash,"7,127,380","-7,182",1273,"7,290,970"
Aaliyah,"7,124,388","-8,040",1248,"7,854,737"
Ski Aggu,"7,120,887","52,228",1495,"7,120,887"
Virlan Garcia,"7,119,122","-52,328",1332,"7,464,163"
Mustard,"7,115,831","14,402",648,"10,797,192"
DJ JOAO DA INESTAN,"7,114,625","2,588",1366,"7,615,635"
Yeri Mua,"7,113,285","-8,970",853,"10,520,428"
The Wanted,"7,107,204","3,704",1178,"7,824,686"
Trey Songz,"7,107,022","8,839",1091,"8,285,685"
Suzanne D'Mello,"7,092,564","5,282",1266,"7,169,671"
Victony,"7,091,058","3,859",1497,"7,091,058"
Takeoff,"7,079,943","-12,931",635,"10,587,587"
V,"7,075,737","-43,005",558,"13,087,990"
Dadju,"7,075,691","-9,371",1375,"7,369,953"
DYSTINCT,"7,073,519","107,300",1507,"7,073,519"
Wesley Safadão,"7,071,678","26,812",630,"11,215,568"
Apache 207,"7,070,996","-13,543",1239,"7,326,619"
Kavita Seth,"7,069,805","3,050",1046,"8,494,449"
Alexandra Stan,"7,064,839","32,169",1465,"7,088,217"
Sanjay Leela Bhansali,"7,063,220","18,011",1234,"7,529,143"
Seether,"7,058,215","2,180",1382,"7,058,723"
Sujatha,"7,055,634","2,151",1266,"7,420,655"
Internet Money,"7,051,339","3,154",587,"11,545,527"
KEVIN ROLDAN,"7,050,408","-19,130",1028,"8,619,855"
RÜFÜS DU SOL,"7,044,863","20,799",1459,"7,044,863"
Mc Kevin,"7,040,962","2,078",1418,"7,305,038"
Sofía Reyes,"7,032,838","23,451",607,"12,276,010"
Eric Carmen,"7,030,117","8,139",1520,"7,030,117"
MC Tuto,"7,018,651","61,376",1521,"7,018,651"
Perera DJ,"7,012,616","13,975",1300,"7,623,352"
Blackstreet,"7,005,525","-3,947",1519,"7,009,472"
Khruangbin,"7,001,607",970,1254,"8,062,646"
Shinedown,"6,999,047","-14,220",1511,"7,046,950"
Ayushmann Khurrana,"6,996,649","-30,743",1173,"8,010,557"
Far East Movement,"6,996,457","11,173",1274,"7,580,730"
Elevation Worship,"6,995,369","7,925",1368,"7,491,026"
Canserbero,"6,995,247",-551,1412,"7,125,255"
HYBS,"6,993,999","-28,983",1346,"7,654,400"
Pineapple StormTv,"6,993,169","3,052",1118,"8,011,329"
Cheat Codes,"6,992,497","59,422",608,"10,975,050"
Anuradha Paudwal,"6,991,906","1,909",1077,"8,340,523"
Nat King Cole,"6,987,400","-9,792",69,"43,461,147"
Eros Ramazzotti,"6,981,851","3,046",977,"8,893,059"
фрози,"6,975,598","119,442",1536,"6,975,598"
Chaka Khan,"6,973,917","44,989",1529,"6,973,917"
CamelPhat,"6,966,778","-1,521",1512,"7,035,062"
KC & The Sunshine Band,"6,960,184","-43,658",1287,"7,538,481"
The War And Treaty,"6,957,182","10,913",1465,"6,957,182"
Eddie Santiago,"6,956,795","8,385",1538,"6,956,795"
Pepe Aguilar,"6,953,356","38,009",1141,"7,962,267"
Neoni,"6,953,080","-8,651",1442,"7,270,728"
Alisha Chinai,"6,952,819","42,949",1226,"7,679,722"
Ricardo Montaner,"6,945,046","4,796",1040,"7,854,090"
Borges,"6,936,783","-10,239",914,"9,916,820"
Frankie Valli & The Four Seasons,"6,935,308",37,1112,"8,057,325"
Beck,"6,932,423","7,369",1214,"7,510,815"
The Living Tombstone,"6,930,799","19,872",738,"10,920,356"
Paulina Rubio,"6,927,120","-2,659",1085,"7,335,283"
FINNEAS,"6,919,806",-698,870,"10,100,818"
Tempoe,"6,910,477","-31,264",1406,"7,479,721"
Anand Raj Anand,"6,905,073","-13,796",1312,"7,360,802"
Robert Miles,"6,899,699","3,202",996,"8,703,859"
Hippie Sabotage,"6,895,357","1,709",1217,"7,485,526"
Hindia,"6,888,463","11,187",1045,"8,558,071"
Queens of the Stone Age,"6,876,843",76,1037,"8,472,804"
Café Tacvba,"6,876,433","-19,290",1316,"7,376,080"
Intocable,"6,874,435","-9,331",1182,"7,038,331"
Juicy Luicy,"6,872,938","27,834",1560,"6,872,938"
Lenin Ramírez,"6,871,572","-8,817",796,"9,012,853"
FMK,"6,862,206","-15,331",356,"17,577,323"
ATB,"6,857,247","-8,310",1355,"7,310,007"
Kevin AMF,"6,845,344","31,427",1564,"6,845,344"
Crazy Mano,"6,843,421","-4,184",1112,"8,116,370"
Hardwell,"6,842,728","-26,891",1070,"7,807,224"
Thullio Milionário,"6,841,847","22,081",1567,"6,841,847"
El Jordan 23,"6,837,226","-14,829",777,"11,031,020"
Sushin Shyam,"6,831,161","57,929",1569,"6,831,161"
The Magician,"6,825,872","-49,621",1544,"6,927,284"
Europe,"6,824,868","-5,547",1240,"7,290,917"
Fast & Furious: The Fast Saga,"6,820,953","-13,305",280,"20,526,487"
The Kinks,"6,817,949","16,065",1256,"7,654,624"
Gloria Gaynor,"6,817,759","-19,611",1210,"7,660,707"
JP Cooper,"6,816,484","-13,228",826,"8,964,796"
Trinix,"6,814,682","11,367",1270,"7,381,154"
Angel Y Khriz,"6,813,805","-8,836",1240,"6,996,180"
Aminé,"6,813,058","-1,818",632,"11,894,189"
Wolfgang Amadeus Mozart,"6,808,415","-3,840",1223,"7,308,681"
Mc Luki,"6,806,854","4,078",975,"9,620,064"
CURSEDEVIL,"6,804,077","35,200",1559,"6,841,945"
Skorde,"6,802,343","34,998",1563,"6,833,870"
Nadhif Basalamah,"6,799,645","-6,283",1084,"8,605,313"
George Henrique & Rodrigo,"6,793,798","-3,840",1024,"9,297,307"
Gente De Zona,"6,792,659","6,792",1162,"7,669,082"
Dennis Lloyd,"6,789,382","-5,339",1216,"7,613,609"
Jimmy Buffett,"6,788,976","31,214",1229,"7,556,191"
Lil Jon,"6,788,246","-10,931",1172,"8,330,806"
Dhanush,"6,788,164","1,904",1119,"7,751,673"
Hiphop Tamizha,"6,784,059","16,553",1237,"7,521,206"
Divya Kumar,"6,779,464","7,994",1374,"6,779,464"
Marilyn Manson,"6,776,243","1,258",1277,"7,349,476"
Reneé Rapp,"6,774,342","-24,376",902,"10,005,179"
Young the Giant,"6,774,222","-16,033",1181,"8,031,927"
reidenshi,"6,764,870","17,301",1590,"6,764,870"
Gigamesh,"6,763,430","-17,553",1478,"7,043,184"
Panter Bélico,"6,758,867","-24,967",1123,"8,452,106"
BONES,"6,758,532","-9,264",994,"7,968,560"
Wall Hein,"6,752,784","-1,632",990,"8,785,923"
Al Green,"6,752,149","-4,415",1367,"7,405,318"
Asake,"6,735,271","10,331",1488,"6,952,911"
Complexo dos Hits,"6,733,807","-18,026",1200,"8,337,760"
Randy,"6,732,925","14,860",1451,"7,210,706"
Bruno & Marrone,"6,731,468","4,339",1386,"7,370,921"
Breaking Benjamin,"6,730,294",-986,1433,"6,731,877"
Victoria Monét,"6,726,768","-34,565",764,"11,439,373"
Tinlicker,"6,722,907","18,760",1460,"6,722,907"
Edward Sharpe & The Magnetic Zeros,"6,716,108","-16,840",1575,"6,824,377"
Leo Santana,"6,708,273","-33,657",489,"12,793,052"
Lil Pump,"6,708,036","25,949",1064,"7,549,525"
The Vamps,"6,706,329","-1,545",871,"8,853,137"
6arelyhuman,"6,687,633","-5,373",1418,"7,314,583"
Tom Jones,"6,682,639","-18,017",1479,"7,112,709"
Manim Vaqueiro,"6,681,883","132,829",1614,"6,681,883"
Rizky Febian,"6,672,038","23,320",1615,"6,672,038"
La Quinta Estacion,"6,659,939","174,302",1393,"6,878,838"
Plain White T's,"6,655,109","-8,846",1345,"7,291,118"
Charlie Brown Jr.,"6,639,106","-2,619",1439,"7,095,934"
Código FN,"6,637,247","-28,247",1032,"9,044,494"
Río Roma,"6,629,527","-1,088",1021,"7,654,530"
Rob Zombie,"6,629,301","12,126",1558,"6,629,301"
JP Saxe,"6,621,333","-5,520",898,"9,580,582"
Duelo,"6,616,908","-14,860",1438,"7,115,752"
That Mexican OT,"6,616,796","-16,924",1505,"6,919,201"
Tiakola,"6,613,612","-18,708",1230,"7,581,179"
Parmish Verma,"6,595,082","-4,266",1156,"7,896,722"
DIVINE,"6,594,455","-3,217",1360,"7,059,161"
Amenazzy,"6,592,006","62,013",1628,"6,592,006"
Don McLean,"6,591,581",447,1117,"7,945,750"
Moby,"6,590,340","7,571",1354,"6,889,365"
Roar,"6,588,119","-24,906",1002,"7,895,115"
Matheus Fernandes,"6,581,739","-14,509",678,"12,407,534"
Andrea Bocelli,"6,581,633","16,698",1061,"8,952,715"
Celia Cruz,"6,578,414","3,606",1348,"6,578,414"
Faye Webster,"6,571,507","-4,869",1309,"7,491,785"
Bausa,"6,566,090","32,958",1636,"6,566,090"
Air Supply,"6,563,679","31,888",1539,"6,689,259"
Sleeping At Last,"6,559,621","-17,045",1144,"7,891,847"
Hollow Coves,"6,555,616","-11,943",1536,"6,606,049"
Zack Tabudlo,"6,553,972",764,993,"8,641,464"
Rod Wave,"6,551,719","-1,507",826,"10,144,129"
Kelsea Ballerini,"6,550,954","-7,103",649,"10,570,841"
MC G15,"6,545,165","550,822",1643,"6,545,165"
G Herbo,"6,542,881","16,898",1175,"7,665,492"
Grupo Niche,"6,541,207","14,488",1640,"6,541,207"
Palma,"6,537,475","21,529",1646,"6,537,475"
Mr. Probz,"6,536,702","18,816",1320,"7,029,177"
Lil Mosey,"6,536,439","5,490",939,"8,289,306"
Lvbel C5,"6,536,121","8,016",1643,"6,560,781"
Yeah Yeah Yeahs,"6,534,199","2,385",1253,"7,456,054"
mikeeysmind,"6,524,873","-11,600",1548,"6,752,464"
Semicenk,"6,521,625","-14,331",1540,"6,621,058"
Sonny Fodera,"6,519,788","16,174",1461,"6,996,600"
Deep Purple,"6,519,606","-13,143",1331,"6,953,828"
Vampire Weekend,"6,509,445","-3,105",1275,"7,951,323"
Frédéric Chopin,"6,504,817","-9,999",1249,"7,123,437"
Priya Saraiya,"6,495,148","-11,237",1651,"6,518,670"
Slimane,"6,493,483","14,985",1658,"6,493,483"
Krono,"6,493,431","3,707",1333,"7,709,849"
Juhn,"6,483,436","36,562",1660,"6,483,436"
Rob49,"6,483,243","-15,199",1122,"8,014,400"
Gittobeatz,"6,478,043","-25,160",850,"10,489,116"
Aaron Smith,"6,477,002","3,848",1338,"7,694,455"
Romy,"6,475,153","-1,932",1110,"7,215,349"
sped up + slowed,"6,468,550",-360,640,"11,797,289"
The Righteous Brothers,"6,460,697","21,293",1460,"7,092,058"
Lasso,"6,460,452","-30,759",750,"9,535,035"
Pailita,"6,458,992","-8,292",585,"11,280,046"
Nightcrawlers,"6,457,347","1,904",1172,"7,556,620"
La Joaqui,"6,452,748","20,713",610,"10,853,959"
Neo Pistea,"6,450,080","-67,423",1391,"7,565,820"
Social House,"6,449,984","7,996",1176,"7,198,904"
Modjo,"6,448,444","-17,917",1662,"6,470,213"
Lefty Sm,"6,445,572","-9,383",996,"8,808,088"
Clayton & Romário,"6,444,310","23,022",1280,"7,222,239"
LP,"6,444,273","-4,240",1429,"6,849,766"
BoyWithUke,"6,443,188","13,940",743,"9,580,542"
Sonder,"6,441,896","3,359",1389,"7,186,462"
Fonseca,"6,437,326","-6,246",1363,"6,757,897"
El Malilla,"6,436,058","31,677",1680,"6,436,058"
Salim Merchant,"6,434,970","-7,352",1636,"6,494,271"
The Alchemist,"6,430,929","-26,182",1120,"7,310,016"
Frankie Valli,"6,430,492","4,759",1277,"7,413,499"
