Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE
104,+3,Bad Bunny - Vete,439,36,"",1592,+15,1.616,"","","",""
105,+8,Taylor Swift - The Alchemy,47,15,"",1584,+101,0.228,149,124,"",""
106,+4,Morgan Wallen - Cowgirls,96,68,"",1582,+69,0.264,30,"","",""
107,+1,SCH - Crois-moi,5,107,"",1577,+7,0.008,"","","",""
108,+1,Teddy Swims - The Door,12,102,"",1572,+30,0.048,"",20,"",""
109,-7,Harry Styles - As It Was,793,1,(x177),1569,-93,7.836,"",89,"",167
110,+33,Eminem - Lose Yourself,64,22,"",1556,+235,0.728,"",87,"",118
111,+8,Heuss L'enfoiré - Mélanine,31,106,"",1532,+80,0.043,"","","",""
112,+4,Mrs. GREEN APPLE - ライラック,52,96,"",1500,+30,0.075,"","",1,""
113,-7,Tom Odell - Another Love,1012,6,"",1493,-96,4.263,"",115,"",92
114,=,SCH - Les hommes aux yeux noirs,5,114,"",1484,+3,0.007,"","","",""
115,-3,Creepy Nuts - Bling-Bang-Bang-Born,141,72,"",1470,-30,0.238,"","",2,""
116,+4,Sexyy Red & Drake - U My Everything,12,75,"",1466,+19,0.020,11,"","",""
117,-6,Luis R Conriquez & Neton Vega - Si No Quieres No,30,101,"",1460,-46,0.069,73,"","",""
118,+35,"The Weeknd, JENNIE & Lily Rose Depp - One Of The Girls",283,31,"",1457,+168,0.661,"","","",""
119,+17,Zach Bryan - Something in the Orange,592,41,"",1455,+98,1.226,67,"","",""
120,+11,Eminem - The Real Slim Shady,32,69,"",1454,+82,0.266,"",70,"",102
121,-4,Monetochka - Селфхарм,8,117,"",1449,-5,0.012,"","","",""
122,+1,Omoinotake - 幾億光年,112,91,"",1442,0,0.167,"","",3,""
123,-5,Michael Marcagi - Scared To Start,133,54,"",1440,-14,0.252,"",30,"",195
124,+2,JUNG KOOK & Latto - Seven,327,6,"",1437,+47,1.659,"","",78,""
