Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Szpaku - KABZZLOOK,7,"",43,"","44,680","190,898"
Kanye West - Closed On Sunday,7,"",28,"","42,032","190,714"
"Timmy Trumpet, Savage - Freaks",59,"",51,"","4,599","190,536"
Szczyl - Cień,7,"",126,"","38,048","190,513"
Katy Perry - Hot N Cold,3,"",17,"","124,892","190,379"
Pezet - Zły śpi spokojnie (prod. Mentalcut),8,"",31,"","42,757","190,182"
Błażej Król - Przyszedłem tu...,5,"",57,"","58,311","189,916"
O.S.T.R. - W Drodze Po Szczęście,18,"",48,"","15,671","189,864"
Billie Eilish - goodbye,11,"",50,"","24,822","189,790"
Olivia Rodrigo - the grudge,5,"",99,"","49,131","189,678"
White 2115 - Skrywam,7,"",66,"","43,819","189,584"
Malik Montana - Na surfera,4,"",64,"","56,750","189,341"
Young Igi - Flava,11,"",43,"","26,298","189,121"
Kizo - NA BRZEGU,4,"",94,"","56,326","189,075"
The Weeknd - Too Late,7,"",19,"","49,777","188,870"
BTS - Dionysus,10,"",13,"","40,979","188,821"
Matt Simons - We Can Do Better,22,"",82,"","12,542","188,567"
INDEB - Zodiak,6,"",131,"","38,063","188,559"
Kinny Zimmer - Ostre koło,5,"",67,"","54,699","188,365"
Oki - Kochać bloki,10,"",98,"","25,292","187,979"
Selena Gomez - Dance Again,7,"",35,"","42,540","187,862"
John Gibbons - P.Y.T. (Pretty Young Thing),38,"",107,"","6,569","187,713"
Martin Jensen - Wait,36,"",61,"","11,396","187,687"
benny blanco - I Found You,17,"",96,"","16,079","187,664"
Faul & Wad - Changes,111,"",105,"","3,360","187,601"
Kinny Zimmer - Lato cały rok,5,"",52,"","63,973","187,506"
Żabson - Afrodyzjak,5,"",113,"","46,273","187,359"
Remo Forrer - Watergun,5,"",69,"","43,759","187,128"
Alle Farben - Bad Ideas,45,"",156,"","5,590","186,879"
CatchUp - Kłopot,8,"",149,"","27,807","186,730"
Annie Lennox - I Put A Spell On You (Fifty Shades of Grey),40,1,4,"","15,710","186,533"
Szpaku - Hello Kitty,7,"",50,"","42,747","186,475"
HAŁASTRA - Zanim osiwieję,5,"",87,"","43,958","185,675"
Daria Zawiałow - Dziwna,5,"",85,"","51,226","185,477"
a-ha - Take on Me,26,"",86,"","53,191","185,371"
Quebonafide - Bollywood,37,"",109,"","7,173","184,753"
Travis Scott - MAFIA,5,"",43,"","68,983","184,580"
Pharrell Williams - Down In Atlanta,5,"",60,"","60,034","184,561"
Krzysztof Krawczyk - Gdy się Chrystus rodzi,3,"",66,"","94,434","184,244"
Paluch - Nie myśl o tym,9,"",20,"","38,736","184,235"
Drake - Slime You Out,5,"",115,"","46,603","184,193"
Przemek.pro - Afryka,5,"",100,"","54,159","184,085"
Magda Steczkowska - Z narodzenia pana,4,"",78,"","81,551","183,786"
Pitbull - International Love,5,"",134,"","43,387","183,745"
Ariana Grande - sweetener,12,"",21,"","36,916","183,687"
Kehlani - Nights Like This,14,"",114,"","14,851","183,648"
Białas - Witam Cię 2k23,4,"",53,"","55,738","183,492"
Sia - Salted Wound,42,"",12,"","11,978","183,451"
Sentino - Hurra!!!,6,"",96,"","35,451","183,326"
Szpaku - CRYSTAL,9,"",104,"","24,678","183,028"
Sentino - Hipnoza,5,"",69,"","55,836","182,991"
Jain - Come,73,"",84,"","7,612","182,973"
Young Igi - BBL,5,"",58,"","61,185","182,954"
Taylor Swift - The Alchemy,4,"",76,"","72,191","182,847"
The Weeknd - Hardest To Love,7,"",25,"","46,946","182,811"
Thirty Seconds To Mars - Walk On Water,29,"",62,"","11,686","182,789"
Aleshen - Termosfera,5,"",86,"","52,618","182,764"
Laura Welsh - Undiscovered,41,1,8,"","13,138","182,634"
Taylor Swift - I Can See You (Taylor’s Version) (From The Vault),5,"",108,"","46,645","182,454"
