Artist,Total,100M
Rocco Hunt,"1,248.6",4
Lady Antebellum,"1,247.4",2
Eurythmics,"1,243.9",1
Kid Cudi,"1,240.4",3
Baby K,"1,239.9",3
Mike Bahía,"1,239.7",4
Pipe Bueno,"1,237.4",4
Disclosure,"1,237.1",3
Basshunter,"1,235.1",2
Bonez MC,"1,234.0",4
Miguel,"1,232.3",4
The 1975,"1,231.1",""
Banda Tierra Sagrada,"1,228.0",3
Mero,"1,226.5",3
Lauren Daigle,"1,226.1",2
Alex Campos,"1,225.9",2
Hoobastank,"1,223.1",1
DMX,"1,216.7",4
Gym Class Heroes,"1,215.7",2
Léo Santana,"1,215.5",2
Led Zeppelin,"1,212.8",4
Humberto e Ronaldo,"1,210.0",1
James Bay,"1,204.7",2
Enhypen,"1,203.4",3
Sido,"1,202.6",""
Anavitória,"1,200.4",3
Måneskin,"1,200.0",3
MIKA,"1,195.7",2
Yella Beezy,"1,194.8",2
Lizzo,"1,194.8",4
Marama,"1,194.2",2
Zak Chumpae,"1,192.4",3
Charli XCX,"1,192.1",3
Momoland,"1,191.5",2
August Alsina,"1,190.2",2
RASA,"1,186.8",3
João Bosco e Vinícius,"1,183.2",3
Ludacris,"1,182.8",1
Creedence Clearwater Revival,"1,182.6",3
Yellow Claw,"1,182.6",3
Leandro Borges,"1,180.2",1
Birdy,"1,178.6",4
Alkilados,"1,176.2",4
Lil Tecca,"1,174.3",1
Bích Phương,"1,174.2",2
Lexa,"1,173.4",3
Dan + Shay,"1,170.7",3
The Vamps,"1,170.1",2
The Strokes,"1,170.0",3
Weird Al Yankovic,"1,169.3",2
Bazzi,"1,167.0",4
Trúc Nhân,"1,166.7",4
GFriend,"1,163.7",""
R. City,"1,162.4",1
Sam Hunt,"1,161.8",3
Rema,"1,158.3",1
Wale,"1,157.0",3
Ultimo,"1,156.6",""
Spice Girls,"1,154.3",1
Ben Fero,"1,153.1",3
Dido,"1,151.9",3
Tiziano Ferro,"1,144.3",""
DJ Hamida,"1,141.7",1
Julieta Venegas,"1,139.8",3
Boy Panomprai,"1,138.0",3
MC Poze do Rodo,"1,136.2",3
Dev Negi,"1,135.3",2
Sonu Nigam,"1,135.0",2
SAINt JHN,"1,133.1",2
Tame Impala,"1,131.9",4
Blueface,"1,131.2",2
Alesso,"1,130.9",2
Ghali,"1,130.4",2
Param Singh,"1,128.8",1
Bigflo & Oli,"1,124.9",1
DVBBS,"1,124.1",1
Mumford & Sons,"1,121.2",2
Bhad Bhabie,"1,118.8",2
Dillon Francis,"1,118.2",3
Papa Roach,"1,117.2",3
Bobby Shmurda,"1,116.5",1
Sefo,"1,116.3",4
Café Tacvba,"1,115.1",1
Sigala,"1,114.8",3
Vegedream,"1,114.3",2
John Mayer,"1,113.6",2
MC Stan,"1,113.6",3
Creed,"1,112.3",3
Bryant Oden,"1,110.6",2
Min,"1,108.8",5
Pooh Shiesty,"1,107.7",2
Fedez,"1,106.4",2
Kali Uchis,"1,100.8",4
AJR,"1,099.7",2
CKay,"1,099.5",4
Phan Mạnh Quỳnh,"1,098.8",2
Lost Frequencies,"1,097.1",3
Enzo Rabelo,"1,095.1",3
Vengaboys,"1,094.7",3
Siti Badriah,"1,091.5",1
Tate McRae,"1,090.2",2
João Neto e Frederico,"1,087.5",2
Hamza Namira,"1,085.4",2
Aleyna Tilki,"1,082.4",3
Kaaris,"1,080.2",2
Rich The Kid,"1,078.0",2
Busta Rhymes,"1,077.3",1
ScHoolboy Q,"1,076.7",3
Boyz II Men,"1,076.2",4
Marco Mengoni,"1,075.5",3
IZ*ONE,"1,074.4",4
AnnenMayKantereit,"1,073.2",2
Rusherking,"1,072.9",3
Jasmine Sandlas,"1,072.7",2
Monsta X,"1,071.8",1
Potato,"1,071.1",1
Leslie Grace,"1,068.1",3
Savage Garden,"1,065.3",3
Sasa Kovacevic,"1,064.4",""
K Camp,"1,064.4",2
Cher Lloyd,"1,056.9",5
Abu,"1,056.8",2
Jannine Weigel,"1,052.6",1
DNCE,"1,052.6",3
Metro Boomin,"1,052.1",""
Alonzo,"1,050.5",3
Bomba Estéreo,"1,046.3",3
Miranda Lambert,"1,044.0",3
Gen Hoshino,"1,043.5",1
Yash Narvekar,"1,036.7",2
Alex Sensation,"1,035.7",2
Duran Duran,"1,034.4",3
Wonder Girls,"1,031.8",2
Ivete Sangalo,"1,031.0",""
Ja Rule,"1,031.0",3
Michael Bolton,"1,031.0",3
Bump of Chicken,"1,028.6",1
Isaias Saad,"1,027.4",3
John Lennon,"1,024.9",4
Olly Murs,"1,023.0",3
Soobin Hoàng Sơn,"1,021.9",1
Of Monsters and Men,"1,012.6",2
25hours,"1,007.9",1
Ana Carolina,"1,006.9",2
Fly Project,"1,005.8",1
Seether,"1,005.7",1
Kizz Daniel,"1,005.4",2
Jamiroquai,"1,004.8",1
Rich Gang,"1,002.7",2
RKM & Ken-Y,"1,000.8",3
Fat Joe,999.7,2
Capital Cities,998.4,2
TLC,996.9,3
Mahmut Orhan,989.5,3
Lil Yachty,987.9,1
Brad Paisley,987.3,2
Years & Years,987.1,3
Henrique & Diego,985.5,2
Tony Kakkar,984.1,2
Keen'V,982.1,1
MC Doni,981.3,3
Rachel Platten,979.9,2
Axel,979.2,2
Apink,977.0,""
Culture Club,976.6,2
Why Don't We,976.1,1
Kenny Chesney,973.3,1
Steve Aoki,973.0,1
Leo Rojas,971.7,2
"Tyler, The Creator",970.4,2
Daughtry,970.0,3
The Cure,960.4,4
Tulus,957.7,2
Mario,956.1,2
Jay Sean,953.6,2
Pet Shop Boys,952.0,3
The Wanted,951.6,2
Delia,950.8,1
Burak Yeter,946.9,1
Midian Lima,941.8,2
The White Stripes,941.5,1
Tuğçe Kandemir,940.5,3
Tinie Tempah,939.4,2
Big Ass,939.1,2
Kool & The Gang,938.0,4
Vasco Rossi,937.9,""
La Quinta Estación,936.3,2
Pikotaro,935.4,3
Juicy J,932.4,1
Lilly Wood & The Prick,931.5,1
The Prodigy,931.3,1
Polina Gagarina,930.9,1
Jess Glynne,930.7,4
Altamash Faridi,929.9,1
Tony Dize,927.8,3
Eric Clapton,923.6,3
Vance Joy,921.0,1
KSI,919.5,1
JustaTee,916.9,3
Mr Probz,916.7,1
LANY,913.9,""
The Fugees,913.2,2
Marcela Gándara,911.8,2
X Ambassadors,908.5,2
AOA,907.9,1
Sum 41,907.6,2
Kiesza,907.5,2
M83,904.5,2
Iron Maiden,904.2,""
gnash,904.1,1
Spitz,901.8,2
KC Rebell,901.6,""
Jassi Gill,897.8,1
Tina Turner,896.7,2
Il Volo,896.7,1
Heart,896.2,2
Utada Hikaru,895.8,1
Kodaline,894.8,2
Bob Sinclar,890.8,2
Tinashe,890.6,1
Maite Perroni,888.4,3
deadmau5,885.2,""
SanLuis,885.1,2
NAV,883.9,""
PARTYNEXTDOOR,883.9,3
J Soul Brothers,877.0,1
Breaking Benjamin,876.2,2
Lenny Tavárez,875.6,1
Cigarettes After Sex,875.0,1
PnB Rock,874.1,""
Tayrone,873.4,1
Weezer,872.9,1
Blue,872.3,3
ChocQuibTown,869.8,1
Prince,869.0,1
Stormzy,868.5,3
Faydee,868.0,1
Irama,867.7,2
Goo Goo Dolls,867.7,1
Big Time Rush,867.6,1
Atitude 67,867.1,1
Thaeme & Thiago,867.0,""
Dave,866.7,1
La Factoría,866.0,1
Far East Movement,865.2,2
Queen Naija,864.4,3
Niall Horan,864.3,1
T-ara,863.6,""
365 DaBand,863.4,1
Pepe Quintana,862.3,3
AAA,861.5,2
Sekai no Owari,860.5,1
O.T. Genasis,860.3,2
MEDUZA,860.1,3
BNK48,859.8,2
Deorro,859.0,2
NiziU,858.5,2
Louis Tomlinson,858.3,1
Kungs,856.8,1
Wegz,856.0,2
KYLE,855.9,2
Lil Xan,855.7,2
Yuuri,855.0,2
MC Hammer,854.9,1
JayDaYoungan,854.8,1
Douzi,854.4,1
Oras Sattar,851.9,2
Kalash,849.0,1
Redfoo,844.9,3
O Rappa,844.5,1
Hebe Tien,843.9,1
SCH,843.2,1
Ace of Base,841.6,4
Pearl Jam,839.0,2
Zac Brown Band,839.0,1
Keri Hilson,838.8,2
Takagi & Ketra,838.2,3
Loredana Zefi,836.2,1
EXID,836.1,1
Bullet For My Valentine,835.2,1
Eric Church,834.4,""
John Denver,831.8,1
MC Rogerinho,831.7,3
Andy & Lucas,831.2,2
Lola Indigo,831.1,2
Pia Mia,830.8,1
Sofia Carson,829.0,3
Paulina Rubio,828.0,1
alt-J,824.1,1
Pawni Pandey,823.9,1
Leonard Cohen,822.8,2
Within Temptation,822.6,1
GTK,820.5,2
Cascada,819.4,1
Don Toliver,818.1,1
Trio Parada Dura,816.9,3
Rich Homie Quan,812.8,3
Tiago Iorc,809.3,2
T_T,808.7,2
Lilly Goodman,807.5,1
Alessandra Amoroso,807.3,1
India Martínez,798.8,2
Murat Boz,796.8,3
Jordin Sparks,796.8,2
Sophia Grace,796.2,1
Bella Poarch,792.5,2
Osmani Garcia,792.3,1
Ozan Doğulu,791.3,3
Extreme,789.4,1
KAZKA,788.4,1
City Girls,783.5,1
Dean Lewis,783.5,2
Maxim Fadeev,783.2,2
A Great Big World,780.7,1
Staind,778.2,2
Helene Fischer,777.8,1
Nicky Romero,774.9,1
UB40,774.6,1
Silva Gunbardhi,774.6,1
Oriente,771.5,3
Bloodhound Gang,768.4,1
t.A.T.u.,767.6,2
Jeremy Zucker,765.4,1
Saif Nabeel,764.7,3
Modà,763.5,""
Annalisa,762.1,""
La Fouine,761.6,1
Monica,760.0,3
Snow Patrol,758.0,1
Çağatay Akman,757.8,3
Blondie,756.8,1
The Fray,756.2,2
Fantasia,754.4,1
OrelSan,754.2,1
KeBlack,753.9,2
Nico & Vinz,753.3,1
Lali,752.9,1
Fireboy DML,748.9,2
Thiago Brava,745.6,1
Belanova,745.5,1
6LACK,745.0,2
Cleber e Cauan,744.6,2
Jovanotti,744.4,""
Gabriel Diniz,744.4,3
Jessi,744.3,3
Marina and the Diamonds,742.4,1
Little Big Town,741.5,3
Sarah Farias,739.9,2
K.A.R.D,738.4,""
Paty Cantú,737.2,""
Daoko,736.3,1
Travie McCoy,734.6,1
Yemi Alade,733.9,1
Pamungkas,733.7,1
Mustard,732.5,2
24kGoldn,732.3,1
Rise Against,730.7,2
Jain,729.9,2
Lily Allen,728.7,2
Bảo Anh,728.3,1
Ece Seçkin,727.6,3
Fleetwood Mac,726.4,1
M.I.A.,725.9,2
Sophana,725.5,3
Reyli Barba,725.0,1
Pink Floyd,724.9,2
Felix Jaehn,723.0,1
BABYMETAL,722.7,1
Kevvo,721.8,1
Adam Lambert,718.2,3
Haikaiss,716.0,1
Magic System,711.9,1
Alanis Morissette,711.5,1
The Chipettes,710.2,1
Norm Ender,709.5,1
Livres,708.4,1
Perfume,708.2,""
Burak King,708.2,2
Kyary Pamyu Pamyu,707.9,1
Sak Noel,707.3,1
MC Rodolfinho,706.2,2
Smash Mouth,705.9,2
SDP,705.7,""
Feduk,705.6,2
MGMT,705.5,4
Ski Mask the Slump God,705.0,3
Iyaz,703.6,3
Shiina Ringo,703.3,""
Luther Vandross,702.9,2
Nicole Scherzinger,702.8,2
Heuss L'Enfoiré,702.8,2
IAmChino,700.5,1
Julia Michaels,698.9,1
Madcon,696.1,3
Armada,694.3,2
Ace Hood,694.2,1
ZAZ,693.8,2
DJ Antoine,693.5,2
Charlie Brown Jr.,692.2,1
Chung Ha,691.8,1
Brent Faiyaz,690.8,""
The Smashing Pumpkins,687.7,1
The Black Keys,687.2,1
Enya,687.1,1
Sinéad O'Connor,685.7,2
blackbear,684.8,2
Dawin,684.0,2
RIDSA,684.0,1
Khaled,681.9,1
Dierks Bentley,681.8,1
Sylwia Grzeszczak,681.8,1
Fabri Fibra,681.0,""
Starship,680.0,2
Masked Wolf,679.4,2
Richard Marx,678.8,1
Anna Kendrick,676.9,1
Matchbox Twenty,675.9,3
Hoàng Thuỳ Linh,672.3,1
Cro,670.6,""
AWOLNATION,669.3,1
Biel,668.2,1
Scooter,666.2,""
Martin Solveig,664.1,2
George Strait,663.3,1
Louane,663.1,1
Sakanaction,662.0,1
ZHU,661.7,2
Loubet,661.2,""
Johnny Cash,660.4,2
Lil Jon,658.8,2
Mark Forster,658.4,1
La Joaqui,656.0,2
Pentagon,651.7,1
DeJ Loaf,651.2,2
2PM,651.0,""
Bob Dylan,650.4,""
Empire Of The Sun,649.6,3
Mithoon,649.4,1
Summer Cem,648.8,1
LOONA,647.8,""
Stefflon Don,647.2,2
Bizzey,646.7,1
Millind Gaba,645.9,1
Fabio Rovazzi,644.5,3
Netta,643.3,2
BOL4,641.5,2
Alexio La Bestia,638.9,2
Conan Gray,638.4,2
Noah Cyrus,638.0,2
Kat DeLuna,635.2,2
The Calling,635.1,1
K'Naan,633.3,1
Judas Priest,633.3,""
Block B,632.6,""
Ashanti,632.3,1
Max Jenmana,631.2,2
Amit Mishra,630.2,2
Marracash,628.6,""
Beast,626.2,1
Bone Thugs-N-Harmony,625.3,2
Sumit Goswami,624.7,1
Rascal Flatts,624.5,1
Ligabue,619.6,""
BlocBoy JB,618.3,1
Gradur,618.2,2
Vũ Duy Khánh,618.1,1
Rei,617.8,2
E-Girls,616.1,""
Paul Van Dyk,614.0,1
Nekfeu,613.9,1
R.I.O.,610.6,1
Portugal. The Man,609.7,1
Vázquez Sounds,609.6,1
Ketsumeishi,609.1,2
Emis Killa,608.9,""
Simon & Garfunkel,607.8,2
Bow Wow,605.3,2
Kelly Rowland,604.8,1
Paloma Faith,604.5,1
Sevyn Streeter,604.1,1
Cher,602.9,1
miss A,601.8,1
Toygar Işıklı,601.5,1
Zaho,600.8,1
Meat Loaf,600.3,2
Cheat Codes,598.9,2
Kemilly Santos,594.0,1
Beastie Boys,593.1,1
The All-American Rejects,592.6,2
Rage Against The Machine,592.4,1
WALK THE MOON,589.2,1
Girl's Day,588.7,""
Malú,588.0,""
Y2K,587.9,1
Soundgarden,585.9,1
GReeeeN,585.9,""
Coez,584.6,1
Sara Bareilles,584.4,2
Ahmed Chawki,583.1,2
Queens of the Stone Age,581.6,1
Jacob Forever,581.1,2
Playboi Carti,580.3,1
Emma Marrone,577.5,""
MC Brinquedo,577.5,1
Lary Over,577.0,1
Derya Uluğ,576.5,2
Pollo,575.8,2
Erol Evgin,575.8,1
TVXQ,575.4,""
Jimi Hendrix,574.6,1
Colbie Caillat,573.8,2
Lou Bega,573.4,1
D.R.A.M.,573.3,1
Ayumi Hamasaki,572.4,""
Eiffel 65,572.2,2
Zay & Zayion,570.6,1
Aminé,569.8,1
Cole Swindell,569.7,1
Deep Purple,568.8,2
Daniel Caesar,567.4,2
GloRilla,566.6,1
Las Ketchup,565.8,2
Take That,565.0,1
f(x),563.1,1
Jefferson Moraes,562.0,1
Ailee,560.5,1
Kay One,560.1,2
Lilit Hovhannisyan,559.3,1
Vanilla Ice,558.8,1
Bridgit Mendler,557.0,2
R-chord,555.1,""
Paloma Mami,554.3,2
Playa Limbo,553.0,1
Rochak Kohli,552.5,1
Ayra Starr,552.3,1
Sławomir,551.2,1
BTOB,551.0,""
Ton Carfi,550.7,2
Chi Dân,550.0,1
Pusho,548.3,1
UM44K,547.6,2
Amir,547.3,2
Munhoz & Mariano,546.9,1
Hinder,546.6,1
Wanna One,545.8,1
Gülben Ergen,544.0,1
Boef,542.3,""
Simple Minds,540.4,2
Marc Seguí,539.6,1
K. Michelle,539.2,""
Luma Elpidio,539.0,2
Elisa,538.4,""
Blackstreet,536.9,1
back number,534.7,1
Ofenbach,534.0,2
Momoiro Clover Z,532.5,""
Sachet Tandon,531.7,1
Bonde da Stronda,529.7,1
Grimes,529.0,""
KARA,523.8,1
The xx,522.8,""
Young Money,521.5,1
Eve,521.5,1
Gianluca Grignani,521.4,2
Andreas Gabalier,521.4,1
Janet Jackson,517.9,""
Aun Feeble Heart,517.4,1
Negramaro,516.5,""
Rex Orange County,516.1,1
Theory of a Deadman,515.5,1
Mohombi,514.5,2
Kell Smith,513.8,1
OK Go,512.5,""
Alligatoah,512.4,""
Zendaya,512.4,1
Rob Zombie,512.2,1
Cage the Elephant,512.1,""
Billy Currington,511.7,1
Karmin,510.3,1
Diddy – Dirty Money,509.1,1
Bappi Lahiri,507.8,2
Hayley Kiyoko,507.3,1
Colonel Reyel,504.6,1
Nimo,501.2,""
Fridaynight to Sunday,500.8,1
Superfly,499.3,1
Salmo,497.9,""
Discopraise,496.7,1
K-Ci & JoJo,495.4,1
Whitesnake,495.1,2
Tyrese,494.5,1
Eva,492.4,1
December Avenue,490.9,2
Showtek,490.0,2
A.R. Rahman,489.9,1
Anastacia,489.0,1
Max Pezzali,487.9,""
Route 94,487.1,1
Grace,486.0,1
Retrospect,485.9,1
Gliss,485.8,2
Big Shaq,485.2,1
Tokio Hotel,484.9,""
Kate Bush,484.4,1
Hương Tràm,483.5,2
Parampara Tandon,482.8,1
Chance the Rapper,481.8,1
Sugarland,479.0,1
Hilary Duff,475.7,""
Tom Petty,474.0,1
Anaïs Delva,473.1,1
Cheryl,472.5,1
Counting Crows,469.5,1
Brandy,467.2,1
Aastha Gill,466.8,1
Gnarls Barkley,466.3,2
Akcent,465.4,2
Vinod Kumavat,464.8,1
MØ,464.6,1
Konshens,464.4,1
Vald,464.2,1
Sam Tsui,463.7,""
Jaden Smith,462.6,1
Eagles,459.1,1
Łobuzy,459.0,2
Mario Bautista,458.8,1
Güliz Ayla,458.5,2
The Smiths,458.3,""
Sigma,457.4,1
Lalo Ebratt,456.3,1
Nek,454.1,1
MC Guimê,454.1,1
Vanessa Carlton,451.8,1
Sheck Wes,451.4,1
Jazmine Sullivan,448.9,1
Elettra Lamborghini,447.9,1
Skylar Grey,446.4,1
Frank Ocean,444.3,""
Veysel,443.9,""
Banda Vingadora,443.7,1
Jay Rock,442.0,1
Natalie Imbruglia,441.9,1
Yinglee Srijumpol,441.8,1
Francesco Gabbani,441.6,1
Normani,439.1,2
Thegiornalisti,435.9,1
Maejor Ali,435.9,1
Onze:20,435.4,""
Village People,435.0,1
Grebz,434.9,1
Jojo Maronttinni,434.2,1
P-HOT,433.3,1
Aaliyah,433.1,""
Massive Attack,432.5,""
Sarah Connor,430.8,""
Bomfunk MC's,425.2,1
Lil' Kleine,424.8,""
Kelsea Ballerini,424.4,""
Shivam Pathak,423.3,1
Eypio,423.1,1
La Ley,423.0,1
Enigma,421.9,1
Loreen,421.1,1
3OH!3,421.1,1
Eva Simons,419.9,2
Kavinsky,419.0,1
Ruth B,417.5,1
The Band Perry,417.3,1
Example,415.2,1
Technotronic,414.9,1
Lifehouse,414.6,1
Azealia Banks,414.5,1
Cassie,413.6,1
Infinite,412.8,""
Amy Macdonald,412.7,1
Emeli Sandé,412.5,""
Wagakki Band,411.3,1
Jack Johnson,410.9,""
Warren G,409.2,1
Vitaa,408.4,2
Bella Thorne,408.4,1
Sukima Switch,406.5,1
Beck,405.2,1
Lupe Fiasco,404.9,1
Alice Merton,402.7,1
RUN-DMC,401.2,1
Nargiz,400.0,1
VIXX,399.9,""
K.Will,398.3,1
Alice Cooper,398.2,1
Guru Josh,398.1,1
Lamyai Haithongkham,396.6,1
MC Tati Zaqui,395.8,""
London Grammar,395.2,""
Arizona Zervas,394.6,1
Woodkid,394.2,2
American Authors,393.1,1
Margaret,392.0,""
Giorgia,391.8,""
Namika,391.7,2
Thepparit Imsudsumran,390.9,1
Farid Bang,390.2,""
James Morrison,388.8,1
Dosseh,387.3,1
Bad Meets Evil,386.7,2
Gesu no Kiwami Otome,381.3,1
Seeed,381.0,""
Apocalyptica,380.1,""
Claudio Capéo,378.4,1
Belinda,377.8,""
Rednex,376.4,1
Olexesh,375.1,1
Natasha Bedingfield,374.5,1
Mika Singh,374.4,1
Priyanka Chopra,373.4,1
Misia,373.3,""
Hurts,370.3,""
Twister El Rey,369.5,1
Tom and Angela,368.4,1
Icona Pop,367.9,1
Alien Ant Farm,362.7,1
Wyclef Jean,362.1,2
Janelle Monáe,359.4,""
Rebecca Black,358.9,1
Matt Hunter,358.8,1
Gianluca Vacchi,355.1,1
Feder,353.3,2
Chase Atlantic,350.2,""
Salt-N-Pepa,350.1,2
MC João,349.4,1
Sage The Gemini,349.0,2
Elle King,347.4,1
O-Zone,347.2,1
Tacabro,346.5,2
Lena,344.9,""
Yohani,343.5,1
Die Toten Hosen,342.6,""
Paolo Nutini,338.1,""
Hooverphonic,336.0,1
Adel Tawil,335.3,""
Fifty Fifty,332.4,1
Kardinal Offishall,332.1,1
Robert Miles,332.0,1
Echosmith,330.8,1
CLC,330.1,""
The-Dream,329.7,""
Cee Lo Green,329.5,1
Estelle,328.0,1
Klingande,326.9,1
Francesco Renga,326.1,""
Robyn,325.2,""
Afroman,323.5,1
Faithless,322.8,1
Claudia Leitte,322.2,""
Jidenna,320.1,""
Ronnie Flex,319.4,""
BoA,319.3,""
Ryan Higa,318.7,""
Evaluna Montaner,317.7,2
Lykke Li,317.6,""
Ráfaga,315.9,1
Shontelle,315.9,1
Near,315.6,1
Kelis,315.2,""
Cleopatra Stratan,313.6,""
Flower,312.7,""
Mac DeMarco,312.4,""
Pacheco,311.7,1
Ermal Meta,311.2,""
Midnight Oil,309.8,1
The Veronicas,308.9,1
Bausa,308.8,1
Vanessa Hudgens,307.3,1
Darude,306.7,1
MC Gui,305.0,""
Brandon Beal,304.0,1
Israel Novaes,303.3,""
Jeff Buckley,302.0,1
Ashley Tisdale,301.2,""
Wheatus,300.1,1
Manu Gavassi,299.8,""
Daniel Powter,299.6,1
Spyair,299.0,""
DJ Sem,297.9,1
Paul McCartney,296.1,""
Trịnh Đình Quang,296.0,1
Isyana Sarasvati,295.9,1
Aloe Blacc,294.4,""
Anahí,294.2,""
Stereoact,293.7,1
Chyno Miranda,293.3,1
Arcade Fire,290.0,""
Plain White T's,289.5,1
Veysel Mutlu,288.1,1
Charly Black,287.0,""
After School,285.7,1
Mylène Farmer,285.1,""
N.E.R.D,284.0,1
Marvin Gaye,283.7,1
Natalie La Rose,281.5,1
Hunter Hayes,280.6,""
Paweł Domagała,279.9,1
Clementino,279.9,""
Phillip Phillips,278.0,1
Nick Cave & The Bad Seeds,276.9,""
Anastasija Ražnatović,276.5,""
Hanson,276.4,1
Doğukan Manço,275.4,1
MCs Pikeno e Menor,274.8,1
Willow Smith,271.9,1
Kristína,270.2,""
Ayse Hatun Önal,268.6,1
Mitski,267.2,""
Yeah Yeah Yeahs,266.2,""
Marteria,264.6,""
David Bowie,264.2,""
NU'EST,263.5,1
Steps,262.5,""
Brockhampton,260.7,""
Francesca Michielin,258.5,""
Ella Henderson,258.0,1
Cobra Starship,257.5,1
The Kolors,256.9,""
Cesare Cremonini,256.4,""
Giusy Ferreri,256.3,""
Juan Karlos,255.8,1
Ayaka,254.0,""
Steve Lacy,251.3,1
Dev,251.0,""
I LOVE MAKONNEN,250.4,1
Kiiara,249.5,1
Kwabs,249.3,1
Max Gazzè,247.9,""
Hoa Vinh,247.2,1
Ghetto Phénomène,244.6,1
Alle Farben,243.5,""
B.A.P,243.2,""
Soul Asylum,242.7,1
Tay Zonday,240.4,1
Glasperlenspiel,239.4,1
David Archuleta,238.5,1
MC Bin Laden,238.3,1
amazarashi,237.5,""
Xantos,237.2,1
Suiyoubi no Campanella,237.2,""
Martin Tungevaag,237.0,1
Bon Iver,236.9,1
Max Giesinger,235.6,""
Daya,234.8,""
HAIM,233.1,""
The Avener,231.9,""
Ludovico Einaudi,229.7,""
Frank Sinatra,229.6,""
Psirico,229.1,1
Pardison Fontaine,227.6,1
Alex Mica,227.2,1
Gestört aber GeiL,227.2,""
MC Lon,224.8,""
Rick James,224.4,1
Tiê,224.4,1
Rockwell,220.0,1
Dulce María,219.6,""
Pietro Lombardi,218.2,""
Crayon Pop,216.8,""
Sugababes,216.1,""
Iuliana Beregoi,215.4,""
Snakehips,214.9,""
Duffy,214.0,1
Sheppard,213.0,""
Noemi,212.4,""
Fuse ODG,211.9,""
Alex Clare,211.1,""
Valesca Popozuda,209.3,1
Trouble Maker,204.5,1
Andreas Bourani,204.2,""
Pixie Lott,203.3,""
Tim Bendzko,201.4,""
