Artist,Total,100M
Machine Gun Kelly,"5,013.9",10
Rammstein,"5,006.0",17
Harry Styles,"5,003.7",10
Yuridia,"4,994.9",12
Sech,"4,991.4",12
Jubin Nautiyal,"4,965.9",6
Pablo Alborán,"4,964.5",11
Backstreet Boys,"4,957.3",9
TINI,"4,945.4",17
LMFAO,"4,936.9",6
Morat,"4,917.3",9
ZAYN,"4,896.6",5
Kenshi Yonezu,"4,882.2",13
Saad Lamjarred,"4,880.0",14
El Alfa,"4,876.3",13
Kanye West,"4,851.6",16
Dhanush,"4,843.6",8
Silvestre Dangond,"4,832.1",7
Seventeen,"4,830.2",7
Simone & Simaria,"4,806.2",11
Gorillaz,"4,789.7",11
Pop Smoke,"4,740.5",13
El Chombo,"4,654.7",1
Hussain Al Jassmi,"4,635.9",7
Lil Durk,"4,625.8",6
Meet Bros,"4,611.0",12
Adexe & Nau,"4,600.4",8
Rod Wave,"4,590.3",8
Lil Pump,"4,575.8",11
Kevin Roldan,"4,572.7",11
Hungria Hip Hop,"4,571.7",14
Céline Dion,"4,567.9",11
NCT,"4,554.8",12
Zion & Lennox,"4,531.6",10
Mon Laferte,"4,438.2",9
Bryan Adams,"4,432.1",10
Passenger,"4,412.4",1
Santa Fe Klan,"4,409.7",7
Yandel,"4,402.5",8
21 Savage,"4,362.9",8
La Adictiva Banda San José de Mesillas,"4,330.0",8
Halsey,"4,301.7",8
Atif Aslam,"4,277.8",9
System of a Down,"4,262.1",9
Melendi,"4,250.1",4
Chayanne,"4,247.8",14
Bruno e Marrone,"4,246.8",7
Ludmilla,"4,245.5",10
Carlos Rivera,"4,200.5",17
Slipknot,"4,162.1",10
Alejandro Fernández,"4,157.5",7
Nelly,"4,156.9",8
Rae Sremmurd,"4,150.6",10
Kendrick Lamar,"4,140.8",13
Fuerza Regida,"4,131.1",13
Lil Uzi Vert,"4,102.8",9
Dalex,"4,078.3",8
Luis Miguel,"4,050.6",10
Tiësto,"4,010.9",8
Panic! at the Disco,"3,980.3",7
Nour Al Zain,"3,971.2",8
Nickelback,"3,965.3",11
DaBaby,"3,961.1",7
Jhay Cortez,"3,927.1",5
Christina Aguilera,"3,924.5",12
Iggy Azalea,"3,872.9",9
Melanie Martinez,"3,867.2",11
Cali y El Dandee,"3,865.9",9
Marco Antonio Solís,"3,859.0",14
J.Fla,"3,853.5",6
Young Thug,"3,848.2",10
Arctic Monkeys,"3,842.0",6
Ariel Camacho y Los Plebes Del Rancho,"3,836.2",9
Abba,"3,831.1",11
Emiway Bantai,"3,820.6",8
Jonas Blue,"3,780.8",7
Little Big,"3,775.8",9
Cosculluela,"3,771.9",7
Grupo Frontera,"3,756.3",9
Peso Pluma,"3,749.6",12
Evanescence,"3,744.5",7
Lindsey Stirling,"3,743.8",9
Duki,"3,738.1",10
Justin Quiles,"3,731.7",5
Banda Los Recoditos,"3,729.7",11
Kurt Hugo Schneider,"3,706.8",5
Danny Ocean,"3,703.2",6
C-Kan,"3,670.4",8
Bebe Rexha,"3,660.4",5
Christina Perri,"3,652.8",3
John Legend,"3,637.4",4
Green Day,"3,633.0",7
LP,"3,615.7",7
Meek Mill,"3,611.7",8
Bryant Myers,"3,591.7",10
Lil Peep,"3,591.4",8
Soolking,"3,589.2",10
NF,"3,586.9",6
Alejandro Sanz,"3,568.3",6
MC Livinho,"3,566.5",10
Stromae,"3,566.1",6
Pharrell Williams,"3,558.6",6
Tribo da Periferia,"3,548.3",8
Pedro Capó,"3,533.1",2
