Artist,Total,Today,1M,2M,3M,4M,5M
Jason Derülo,"4,346,434",0,2,0,0,0,0
Mariah Carey,"4,332,042",0,1,1,1,1,0
George Ezra,"4,331,321",0,1,1,0,0,0
Tom Odell,"4,320,851","1,494",1,1,1,1,0
Rita Ora,"4,297,832",244,2,0,0,0,0
"benny blanco, Halsey & Khalid","4,290,670",0,1,1,1,1,0
Ado,"4,277,304","1,444",0,0,0,0,0
6ix9ine,"4,246,766",0,1,0,0,0,0
The Weeknd & Ariana Grande,"4,179,883",0,1,1,1,0,0
Rauw Alejandro,"4,145,820","3,436",1,0,0,0,0
Lil Durk,"4,143,140",87,0,0,0,0,0
P!nk,"4,136,324",0,1,0,0,0,0
ZAYN,"4,120,207",0,1,1,1,0,0
Jonas Blue,"4,095,985",0,2,1,0,0,0
Rod Wave,"4,060,138",0,0,0,0,0,0
Marshmello,"4,056,355",0,2,1,0,0,0
Dean Lewis,"3,918,691",308,1,1,0,0,0
Daddy Yankee,"3,912,845",64,1,1,0,0,0
Tiësto,"3,908,058",186,1,1,1,0,0
Polo G,"3,884,814",0,0,0,0,0,0
24kgoldn,"3,880,146",0,1,1,1,0,0
LE SSERAFIM,"3,862,856","2,414",0,0,0,0,0
Damso,"3,860,499",129,0,0,0,0,0
Lauv,"3,853,478",8,1,0,0,0,0
Luciano,"3,802,525",204,0,0,0,0,0
Migos,"3,780,374",0,0,0,0,0,0
A Boogie wit da Hoodie,"3,741,413",105,0,0,0,0,0
Meek Mill,"3,727,488",0,1,0,0,0,0
Lost Frequencies & Calum Scott,"3,711,040",0,1,1,1,0,0
Drake & 21 Savage,"3,674,553",0,1,0,0,0,0
HammAli & Navai,"3,649,455",876,0,0,0,0,0
Kodak Black,"3,623,189",300,1,0,0,0,0
Regard,"3,585,095",0,1,1,1,0,0
Zivert,"3,573,594",770,0,0,0,0,0
Anne-Marie,"3,573,134",24,1,1,0,0,0
Artik & Asti,"3,557,236",830,0,0,0,0,0
Niska,"3,531,034",45,0,0,0,0,0
Mabel,"3,511,393",0,1,1,0,0,0
Young Thug,"3,509,409",158,1,0,0,0,0
5 Seconds of Summer,"3,508,615",58,1,1,0,0,0
Dadju,"3,508,286",164,0,0,0,0,0
Bad Bunny & Jhay Cortez,"3,485,048",0,1,0,0,0,0
Nicki Minaj,"3,464,766",28,0,0,0,0,0
林俊杰,"3,463,819","2,695",0,0,0,0,0
Gazo,"3,453,664",372,0,0,0,0,0
Lil Nas X & Jack Harlow,"3,443,143",0,1,1,1,0,0
The Kid LAROI,"3,433,187",0,1,0,0,0,0
ANNA ASTI,"3,419,544","2,666",0,0,0,0,0
David Guetta & Bebe Rexha,"3,352,531",496,1,1,1,0,0
21 Savage,"3,331,642",832,0,0,0,0,0
Sam Smith & Kim Petras,"3,291,449",0,1,1,1,0,0
Booba,"3,264,937",174,0,0,0,0,0
Dave,"3,248,734",111,1,0,0,0,0
Meduza,"3,243,837",0,2,0,0,0,0
Three Man Down,"3,204,467",659,0,0,0,0,0
IVE,"3,200,202","2,222",0,0,0,0,0
Ultimo,"3,199,285","1,374",0,0,0,0,0
J Balvin & Bad Bunny,"3,196,975",379,1,0,0,0,0
Jony,"3,141,804",761,0,0,0,0,0
Rihanna,"3,140,082","1,583",0,0,0,0,0
Megan Thee Stallion,"3,134,122",0,0,0,0,0,0
Rudimental,"3,131,491",0,1,1,0,0,0
Rema & Selena Gomez,"3,089,685",330,1,1,1,0,0
James Arthur,"3,082,019",18,1,0,0,0,0
Stormzy,"3,068,324",0,1,0,0,0,0
Danny Ocean,"3,053,590",63,1,0,0,0,0
"Bruno Mars, Anderson .Paak & Silk Sonic","3,045,711",0,1,1,0,0,0
Dear Jane,"3,003,110",791,0,0,0,0,0
Werenoi,"2,962,703","2,372",0,0,0,0,0
Farruko,"2,946,932",0,1,1,0,0,0
Sam Smith & Normani,"2,936,597",0,1,1,0,0,0
Dermot Kennedy,"2,924,205",0,0,0,0,0,0
Topic & A7S,"2,897,589",0,1,1,0,0,0
Manuel Turizo,"2,894,433",767,1,0,0,0,0
LiSA,"2,888,365",0,0,0,0,0,0
"Zedd, Maren Morris & Grey","2,881,283",0,1,1,0,0,0
Jah Khalib,"2,873,233",145,0,0,0,0,0
Selena Gomez & Marshmello,"2,860,056",0,1,1,0,0,0
Dynoro & Gigi d'Agostino,"2,837,405",0,1,1,0,0,0
Lady Gaga & Ariana Grande,"2,826,941",0,1,1,0,0,0
Maes,"2,819,416",220,0,0,0,0,0
Billie Eilish & Khalid,"2,798,079",185,1,1,0,0,0
Myke Towers,"2,766,761","2,956",0,0,0,0,0
Troye Sivan,"2,763,983",106,0,0,0,0,0
Dennis Lloyd,"2,763,447",0,1,1,0,0,0
Gayle,"2,763,229",0,1,1,0,0,0
米津玄師,"2,760,849",806,0,0,0,0,0
Jawsh 685 x Jason Derulo,"2,759,357",0,1,1,0,0,0
周興哲,"2,753,053",91,0,0,0,0,0
Loud Luxury,"2,743,731",0,1,1,0,0,0
Vance Joy,"2,715,796",917,1,1,0,0,0
Katy Perry,"2,707,201",185,0,0,0,0,0
ITZY,"2,703,150",0,0,0,0,0,0
"Calvin Harris, Sam Smith","2,688,364",0,1,1,0,0,0
陳奕迅,"2,655,957","1,148",0,0,0,0,0
Bazzi,"2,642,388",0,1,0,0,0,0
Marília Mendonça,"2,636,330",359,0,0,0,0,0
Anuel AA,"2,631,366",424,0,0,0,0,0
Rosalía,"2,617,716",0,0,0,0,0,0
Jorge & Mateus,"2,605,501",639,0,0,0,0,0
Saucy Dog,"2,601,256",657,1,0,0,0,0
Benson Boone,"2,581,240","14,748",1,0,0,0,0
J Balvin & Willy William,"2,576,058",31,1,1,0,0,0
Panic! At the Disco,"2,526,324",0,1,1,0,0,0
Marshmello & Anne-Marie,"2,518,597",0,1,1,0,0,0
Naps,"2,513,975",0,0,0,0,0,0
Red Velvet,"2,503,106",0,0,0,0,0,0
Robin Schulz,"2,498,501",0,0,0,0,0,0
Тима Белорусских,"2,496,633",0,0,0,0,0,0
Justin Timberlake,"2,494,623",0,1,0,0,0,0
Tyga,"2,491,979",0,1,0,0,0,0
NCT DREAM,"2,477,899",0,0,0,0,0,0
Masked Wolf,"2,476,415",0,1,1,0,0,0
Sfera Ebbasta,"2,468,095",925,0,0,0,0,0
Ariana Grande & Justin Bieber,"2,443,106",751,1,1,0,0,0
林家謙,"2,442,749","1,033",0,0,0,0,0
PLK,"2,440,134",245,0,0,0,0,0
SDM,"2,415,138",605,0,0,0,0,0
Little Mix,"2,401,687",0,0,0,0,0,0
Henrique & Juliano,"2,387,844",783,0,0,0,0,0
Djadja & Dinaz,"2,362,733",87,0,0,0,0,0
マカロニえんぴつ,"2,360,370",607,0,0,0,0,0
"Metro Boomin, The Weeknd & 21 Savage","2,350,415",71,1,1,0,0,0
Christian Nodal,"2,316,829",0,0,0,0,0,0
Wham!,"2,315,870",0,1,1,0,0,0
Ezhel,"2,313,303",82,0,0,0,0,0
Ufo361,"2,267,644",0,0,0,0,0,0
Amr Diab,"2,247,403",332,0,0,0,0,0
Arizona Zervas,"2,241,218",0,1,1,0,0,0
Capo Plaza,"2,240,886","3,280",0,0,0,0,0
Central Cee,"2,229,297",0,0,0,0,0,0
Angèle,"2,218,258",0,0,0,0,0,0
The Killers,"2,216,297","1,223",1,1,0,0,0
Tiakola,"2,207,420",113,0,0,0,0,0
Mark Ronson,"2,203,179",0,1,0,0,0,0
Tiësto & Ava Max,"2,193,022",0,1,1,0,0,0
Major Lazer,"2,175,014",0,0,0,0,0,0
Zé Neto & Cristiano,"2,166,817",995,0,0,0,0,0
MC 張天賦,"2,160,229","2,772",0,0,0,0,0
Pinguini Tattici Nucleari,"2,159,704",226,0,0,0,0,0
PNL,"2,154,924",0,0,0,0,0,0
Paulo Londra,"2,138,634",0,0,0,0,0,0
Sech,"2,138,356",143,0,0,0,0,0
Егор Крид,"2,130,236",0,0,0,0,0,0
SCH,"2,119,259","18,704",0,0,0,0,0
Lana Del Rey,"2,110,590",740,0,0,0,0,0
Pashanim,"2,107,620","3,800",0,0,0,0,0
Tory Lanez,"2,100,474",90,0,0,0,0,0
姜濤,"2,096,229","1,683",0,0,0,0,0
菅田 将暉,"2,094,555",0,0,0,0,0,0
Dave & Central Cee,"2,088,610",461,1,0,0,0,0
Trevor Daniel,"2,085,505",0,1,1,0,0,0
Rema,"2,044,583",116,1,0,0,0,0
AYLIVA,"2,025,392",502,0,0,0,0,0
레드벨벳,"2,022,909",0,0,0,0,0,0
