Artist and Title,Days,Pk,(x?),Total,Today
Marshmello & Anne-Marie - FRIENDS,244,1,(x7),"2,213,760",0
Sia - Elastic Heart,221,8,"","2,211,350",69
Bruno Mars - That's What I Like,302,6,"","2,210,568",0
"Calvin Harris, Rag’n’Bone Man - Giant",286,4,"","2,205,987",0
Jonas Blue - Fast Car,232,9,"","2,203,786",0
Lady GaGa - Alejandro,263,6,"","2,202,234",0
Eagles - Hotel California,33,8,"","2,198,549",338
Jason Derülo - Swalla,228,6,"","2,187,764",54
Jesse & Joy - ¡Corre,266,53,"","2,179,220",368
Sam Smith - Writing's on the Wall,188,1,(x1),"2,178,287",0
Drake - God's Plan,230,2,(x9),"2,176,013",0
Ed Sheeran - Perfect Duet,276,1,(x9),"2,174,776",70
Lady Gaga - I'll Never Love Again,447,4,"","2,170,968",0
Rudimental - These Days,288,4,"","2,169,713",0
Sia - The Greatest,189,1,(x9),"2,169,499",0
Kings of Leon - Sex On Fire,217,41,"","2,166,352",61
Daddy Yankee - Limbo,114,67,"","2,161,841",15
DJ Snake - Taki Taki,226,2,(x18),"2,157,593",0
Dua Lipa - Physical,309,3,(x1),"2,156,640",0
B.o.B - Airplanes,190,3,(x2),"2,156,326",0
"Drake - Hold On, We're Going Home",214,11,"","2,154,054",0
Maroon 5 - Don't Wanna Know,190,4,"","2,146,647",0
Calvin Harris - Sweet Nothing,257,10,"","2,140,564",257
Meghan Trainor - Made You Look,241,2,(x2),"2,135,901",353
Gusttavo Lima - Balada,282,11,"","2,132,023",0
Farruko - Pepas,453,9,"","2,125,862",0
Katy Perry - Teenage Dream,202,4,"","2,125,487",0
Shakira - Can't Remember To Forget You,137,1,(x2),"2,122,300",0
Bruno Mars - It Will Rain,199,10,"","2,108,596",204
Zara Larsson - Lush Life,352,23,"","2,101,007",0
Pitbull - Hey Baby,290,10,"","2,099,661",13
David Guetta & Nicki Minaj - Turn Me On,275,8,"","2,090,186",0
Maroon 5 - What Lovers Do,237,4,"","2,088,442",0
Skrillex - Bangarang,423,35,"","2,087,193",263
Justin Bieber - Beauty and a Beat,257,9,"","2,084,642",0
Dean Lewis - Be Alright,348,11,"","2,076,683",0
Lady GaGa - Bad Romance,295,30,"","2,072,049",0
Meghan Trainor - Like I'm Gonna Lose You,309,34,"","2,071,147",271
Enrique Iglesias - SÚBEME LA RADIO,248,14,"","2,068,003",12
Katy Perry - Last Friday Night,235,5,"","2,066,562",0
French Montana - Unforgettable,304,10,"","2,065,346",0
Kygo & Whitney Houston - Higher Love,290,5,"","2,048,406",0
Enrique Iglesias - Tonight,228,6,"","2,047,924",0
Duke Dumont - Ocean Drive,341,31,"","2,040,998",0
Desiigner - Panda,225,10,"","2,034,286",0
Tom Walker - Leave a Light On,504,17,"","2,029,521",0
Sak Noel - Loca People,253,10,"","2,026,971",43
Harry Styles - Adore You,389,5,"","2,024,592",0
David Guetta - Lovers on the Sun,196,9,"","2,016,914",14
Chris Brown - Yeah 3X,262,9,"","2,003,601",0
Shawn Mendes - In My Blood,279,1,(x6),"2,001,828",0
Taylor Swift - Bad Blood,159,1,(x2),"2,000,177",0
Ed Sheeran - Afterglow,242,1,(x14),"1,999,532",0
Katy Perry - California Gurls,206,2,(x5),"1,996,122",0
DJ Khaled - Wild Thoughts,167,2,(x4),"1,995,798",38
Selena Gomez & The Scene - Love You Like a Love Song,402,31,"","1,995,167",0
Britney Spears - Till the World Ends,198,3,(x1),"1,994,272",0
Jessie J - Flashlight,221,13,"","1,987,269",0
"Bruno Mars, Anderson .Paak & Silk Sonic - Leave The Door Open",236,1,(x18),"1,984,505",0
James Bay - Hold Back the River,270,9,"","1,983,207",0
Nelly - Just a Dream,224,6,"","1,974,503",181
Romeo Santos - Propuesta Indecente,2,79,"","1,961,987",493
Ed Sheeran - The a Team,327,27,"","1,959,670",0
Calvin Harris - My Way,174,2,(x1),"1,958,387",0
Taylor Swift - Look What You Made Me Do,178,1,(x20),"1,954,132",0
Calum Scott - Dancing on My Own,332,25,"","1,949,539",151
Ariana Grande - Side To Side,193,9,"","1,946,631",0
Marshmello - Silence,280,13,"","1,945,443",0
Taylor Swift - Wildest Dreams,219,1,(x1),"1,945,331",0
Liam Payne & Rita Ora - For You,215,1,(x6),"1,943,349",0
