Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
132,NEW,"Lucio Battisti - Lucio Battisti, Vol. 4",9,107,"",1759,+1759,0.025,"","","",19,""
133,-113,Kep1er - Kep1going On,2,20,"",1753,-3715,0.007,175,"","","",""
134,NEW,Мот - Наизнанку,67,78,"",1729,+712,0.842,"","","","",23
135,+9,Various Artists - Fussball Sommerparty 2024,4,135,"",1725,+98,0.007,"",20,"","",""
136,NEW,Jon Muq - Flying Away,1,136,"",1725,+1725,0.002,"","",20,"",""
137,NEW,W24 - Memory Making Moment - EP,1,137,"",1725,+1725,0.002,"","","",20,""
138,-38,Crowded House - Gravity Stairs,5,19,"",1703,-363,0.019,22,"","","",""
139,=,Prince - Ultimate,303,2,(x3),1699,+15,2.261,"","","","",""
140,+61,Simply Red - The Greatest Hits,820,10,"",1695,+394,3.505,73,48,"","",""
141,+9,Various Artists - Songs for the Car,521,54,"",1692,+96,1.193,21,"","","",""
142,NEW,Ensemble Giardino di Delizie & Ewa Anna Augustynowicz - Colista: Cantatas & Arias,1,142,"",1692,+1692,0.002,"","","",21,""
143,NEW,Udo Juergens - Best of Udo Jürgens,145,41,"",1690,+1690,0.591,"",167,"","",""
144,NEW,Jasper Høiby - 3Elements: Like Water,1,144,"",1659,+1659,0.002,"","","",22,""
145,NEW,"Basta - Баста 5, Часть 2",42,82,"",1659,+726,0.989,"","","","",22
146,-79,Metallica - 72 Seasons,148,1,(x13),1642,-874,1.023,"",24,"","",""
147,-4,Eminem - The Marshall Mathers LP,13,44,"",1627,0,0.429,23,"","","",""
148,-38,Étienne Daho - L'homme qui marche - Best of Etienne Daho,28,58,"",1627,-312,0.139,"","",23,"",""
149,NEW,Mad Hatter - Oneironautics,1,149,"",1627,+1627,0.002,"","","",23,""
150,+83,Armin van Buuren - Intense,331,2,(x1),1617,+450,3.098,"","","","",60
151,-40,Girls Aloud - Ten,32,79,"",1596,-305,0.080,24,"","","",""
152,NEW,Nirvana - MTV Unplugged in New York,557,11,"",1596,+1596,2.630,"","",24,"",""
153,NEW,Peyman Kafshdoozha - Chiaroscuro,1,153,"",1596,+1596,0.002,"","","",24,""
154,NEW,Iowa - Export,38,86,"",1596,+698,1.061,"","","","",24
155,+52,Various Artists - Intouchables,187,36,"",1575,+291,2.687,"","",165,"",""
156,+63,Workout Remix Factory - Best Workout 2024,26,114,"",1566,+348,0.065,25,"","","",""
157,NEW,Apache 207 - Gartenstadt,152,19,"",1566,+500,0.423,"",25,"","",""
158,-46,Michel Sardou - Les grands moments : Best of Sardou,106,61,"",1566,-335,0.242,"","",25,"",""
159,NEW,Yelawolf & Shooter Jennings - Sometimes Y,4,14,"",1566,+1566,0.013,"","","",25,""
160,NEW,L'One - Одинокая вселенная,35,77,"",1566,+684,1.050,"","","","",25
161,NEW,Gossip - Music for Men,45,92,"",1539,+735,1.020,"",183,"","",""
162,+5,Various Artists - Dave Pearce Dance Anthems,270,73,"",1536,+59,0.786,26,"","","",""
163,NEW,Dolores Olioso - Canzoni sottovoce,1,163,"",1536,+1536,0.002,"","","",26,""
164,NEW,RAYE - My 21st Century Blues,125,1,(x1),1506,+555,0.492,27,"","","",""
165,-50,"Various Artists - Sing meinen Song - Das Tauschkonzert, Vol. 11",19,34,"",1506,-359,0.043,"",27,"","",""
166,-3,Dalida - Forever Dalida,83,51,"",1506,0,0.327,"","",27,"",""
167,NEW,Andrew Oldham Orchestra & Chorus - 16 Hip Hits,1,167,"",1506,+1506,0.002,"","","",27,""
168,NEW,Shaka Ponk - Shaka Ponk,177,20,"",1477,+1477,0.412,"","",28,"",""
169,NEW,"Françoise Kubler, Cécile Daroux & Armand Angster - Dillon: Chamber Music",1,169,"",1477,+1477,0.001,"","","",28,""
170,NEW,"Die Toten Hosen - ""Ballast der Republik"" plus Jubiläums-Album ""Die Geister, die wir riefen""",9,88,"",1457,+713,0.919,"",166,"","",""
171,NEW,Chris Rea - Road Songs for Lovers,11,11,"",1449,+1449,0.079,"","","",29,""
172,NEW,Elvis Presley - Elv1s: 30 #1 Hits,980,10,"",1421,+311,3.362,111,"","","",""
173,NEW,The Cure - The Cure: Greatest Hits,1232,11,"",1421,+1247,5.048,30,"","","",""
174,-34,Matthias Reim - Zeppelin,20,35,"",1421,-238,0.052,"",30,"","",""
175,NEW,Jacques Brel - Quinze ans d'amour,20,97,"",1421,+1421,0.224,"","",30,"",""
176,NEW,Meditative Mind - A Chant for Inner Happiness,1,176,"",1421,+1421,0.001,"","","",30,""
177,+9,Sting & The Police - The Very Best of Sting & The Police,1442,5,"",1413,+39,4.719,32,"","","",""
178,NEW,Various Artists - Pacha Ibiza Classics,104,77,"",1394,+716,0.611,31,"","","",""
179,NEW,Various Artists - Let's Dance - Das Tanzalbum 2024,5,76,"",1394,+621,0.019,"",31,"","",""
180,NEW,Natural Sounds - Authentic Natural Sounds: The Underwater World of Dolphins & Whales,1,180,"",1394,+1394,0.001,"","","",31,""
181,-48,Willie Nelson - The Border,5,30,"",1367,-328,0.015,"",32,"","",""
182,NEW,Jacques Brel - 50 plus belles chansons,14,98,"",1367,+1367,0.112,"","",32,"",""
183,NEW,Dan Gibson's Solitudes - Shimmer,1,183,"",1367,+1367,0.001,"","","",32,""
184,NEW,Elka - #Небы,17,88,"",1367,+594,0.772,"","","","",32
185,NEW,Pearl Jam - Dark Matter,44,2,(x5),1366,+841,0.327,63,75,"","",""
186,-31,Various Artists - NOW That's What I Call a Sizzling Summer,128,60,"",1341,-225,0.272,33,"","","",""
187,NEW,Stereoact - #Schlager,106,20,"",1341,+960,0.580,"",33,"","",""
188,-15,Jeck - Moi c'est Jeck,5,94,"",1341,-108,0.009,"","",33,"",""
189,NEW,Donald Glaude - This Is Me,1,189,"",1341,+1341,0.001,"","","",33,""
190,NEW,Artik & Asti - Здесь и сейчас,49,67,"",1341,+583,1.036,"","","","",33
191,-138,Kings of Leon - Can We Please Have Fun,26,1,(x2),1338,-1752,0.149,61,85,"","",""
192,NEW,Energy 52 - The Best of Cafe del Mar - The Remixes,54,67,"",1320,+225,1.584,"","","","",""
193,-119,Enigma - The Platinum Collection,454,59,"",1316,-1087,2.414,"","","","",34
194,+5,Slimane - Essentiels,21,7,"",1291,-25,0.071,"","",35,"",""
195,NEW,Ligabue - Mondovisione,99,57,"",1291,+1291,1.857,"","","",35,""
196,NEW,Various Artists - Suicide Squad: The Album,183,1,(x15),1288,+1231,2.207,"","","","",38
197,NEW,Григорий Лепс - Гангстер №1,8,94,"",1275,+490,0.638,"","","","",41
198,-26,Roy Bianco & Die Abbrunzati Boys - Kult,5,122,"",1266,-183,0.008,"",36,"","",""
199,NEW,Various Artists - NRJ Hit Music Only 2024,38,75,"",1266,+1266,0.076,"","",36,"",""
200,NEW,Boris Grebenshchikov - СОЛЬ,20,62,"",1266,+479,0.933,"","","","",44
