Artist,Total,Today,1M,2M,3M,4M,5M
Artisti Vari,"4,306,574",274,0,0,0,0,0
Пошлая Молли,"4,280,009",591,2,0,0,0,0
Tayc,"4,259,471",0,2,0,0,0,0
Zivert,"4,251,148","1,670",2,0,0,0,0
Metallica,"4,150,151","4,865",2,0,0,0,0
"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya","4,124,010",0,1,1,1,1,0
Bibi und Tina,"4,122,334",0,0,0,0,0,0
Artik & Asti,"4,120,807","1,303",2,0,0,0,0
Gemitaiz,"4,084,807",791,1,0,0,0,0
Multi-interprètes,"4,069,866",114,0,0,0,0,0
Camila Cabello,"4,060,647",0,1,1,0,0,0
Nicki Minaj,"4,044,416","1,085",2,1,0,0,0
Sia,"4,029,372",632,1,1,0,0,0
MAC MILLER,"4,027,678",15,2,1,0,0,0
George Ezra,"3,979,413",0,1,1,1,0,0
Capo Plaza,"3,977,759","3,869",2,1,0,0,0
D-Block Europe,"3,962,549",612,0,0,0,0,0
Boulevard Depo,"3,942,100",373,1,0,0,0,0
Playboi Carti,"3,909,851",97,2,1,0,0,0
RIN,"3,905,251",0,1,0,0,0,0
Jah Khalib,"3,896,081",220,1,0,0,0,0
Gazo,"3,885,043",878,2,1,0,0,0
SDM,"3,882,655","1,031",2,1,0,0,0
ЛСП,"3,874,729",653,1,0,0,0,0
Cro,"3,873,447",0,2,0,0,0,0
Werenoi,"3,870,666","7,323",1,0,0,0,0
TKKG,"3,855,052",0,0,0,0,0,0
Rkomi,"3,850,385",0,1,0,0,0,0
21 Savage,"3,808,717",632,3,0,0,0,0
Koba laD,"3,774,309",0,0,0,0,0,0
Kinder Lieder,"3,770,403","3,041",1,1,0,0,0
Future,"3,737,686",99,1,0,0,0,0
Fleetwood Mac,"3,725,474","2,223",1,1,1,0,0
Stray Kids,"3,712,198",243,0,0,0,0,0
DaBaby,"3,707,914",0,2,0,0,0,0
A$AP Rocky,"3,696,368",90,1,1,0,0,0
Little Mix,"3,687,966",0,2,0,0,0,0
Sido,"3,682,954",281,2,0,0,0,0
ATL,"3,654,869",345,1,0,0,0,0
Labrinth,"3,638,751",0,1,1,1,0,0
NF,"3,628,341",0,1,0,0,0,0
A Boogie wit da Hoodie,"3,614,450",963,1,1,0,0,0
Coez,"3,521,074",0,1,0,0,0,0
Roddy Ricch,"3,518,262",0,1,1,0,0,0
MORGENSHTERN,"3,470,185",0,1,0,0,0,0
Bruce Springsteen,"3,464,784",681,1,0,0,0,0
Big Baby Tape,"3,431,574","2,010",1,0,0,0,0
DJ Khaled,"3,430,572",0,1,0,0,0,0
Gzuz,"3,417,187",0,1,0,0,0,0
Skryptonite,"3,386,918","2,792",0,0,0,0,0
Tory Lanez,"3,385,389",0,0,0,0,0,0
Taco Hemingway,"3,377,115","1,862",0,0,0,0,0
Lorde,"3,369,889",27,1,1,0,0,0
Lil Baby,"3,326,106",0,2,0,0,0,0
Polo G,"3,316,362",301,1,0,0,0,0
AnnenMayKantereit,"3,249,301",127,1,0,0,0,0
Geolier,"3,246,864","2,198",1,1,0,0,0
Drake & 21 Savage,"3,241,472",128,1,1,1,0,0
Детские сны Звезда Academy,"3,226,039","1,865",1,1,1,0,0
Maître Gims,"3,212,419",0,1,1,0,0,0
Avicii,"3,203,018",0,2,0,0,0,0
Trippie Redd,"3,202,210",0,0,0,0,0,0
Stormzy,"3,201,645",0,1,0,0,0,0
Kollegah,"3,185,068",0,0,0,0,0,0
Niro,"3,179,129",0,0,0,0,0,0
Leto,"3,177,789",117,0,0,0,0,0
Ernia,"3,175,558",107,1,0,0,0,0
JACKBOYS & Travis Scott,"3,165,300",22,1,1,1,0,0
Sam Fender,"3,119,363",0,2,0,0,0,0
Stromae,"3,105,805",54,1,1,0,0,0
Maluma,"3,103,722",0,1,0,0,0,0
Calvin Harris,"3,088,662",0,1,0,0,0,0
Central Cee,"3,087,004",0,2,0,0,0,0
Franglish,"3,076,612",720,0,0,0,0,0
MARKUL,"3,052,030",25,2,0,0,0,0
Lil Nas X,"3,031,380",0,1,1,0,0,0
Summer Walker,"3,025,330",0,1,0,0,0,0
BLACKPINK,"3,011,482",0,2,0,0,0,0
Guè Pequeno,"3,009,023",0,1,0,0,0,0
Josman,"2,987,911",589,0,0,0,0,0
Face,"2,985,306",251,0,0,0,0,0
Lil Uzi Vert,"2,978,950",13,2,0,0,0,0
Muse,"2,967,586",16,2,0,0,0,0
