Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
174,+7,Rose Villain - RADIO SAKURA,88,64,"",1725,+66,0.206,"","","",20,""
175,-13,BATO - Другой,5,152,"",1725,-119,0.009,"","","","",20
176,+50,Lana Del Rey - Ultraviolence,185,44,"",1725,+373,1.256,190,"","",144,69
177,-40,Paul Weller - 66,12,22,"",1717,-295,0.054,39,"","","",""
178,+6,M Huncho & Potter Payper - 36 Hours,26,47,"",1714,+87,0.068,22,"","","",""
179,-65,Marcus & Martinus - Unforgettable,5,80,"",1696,-719,0.013,"","","","",""
180,+17,"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson - Hamilton: An American Musical",670,37,"",1684,+105,1.650,34,"","","",""
181,+15,Metro Boomin - HEROES & VILLAINS,545,1,(x46),1671,+91,5.907,"",123,"",126,""
182,+56,Aarne - AA LANGUAGE 2,217,25,"",1661,+367,0.550,"","","","",24
183,+2,Papa V & Fritu - Trap Fatta Bene,46,87,"",1659,+32,0.093,"","","",22,""
184,+4,Basta & Guf - Basta / Guf,49,156,"",1649,+42,0.542,"","","","",29
185,-45,La superstar des comptines rondes et berceuses - Comptines et chansons pour enfants,357,78,"",1643,-351,1.731,"","",41,"",""
186,-53,Arooj Aftab - Night Reign,5,118,"",1637,-394,0.010,"","","","",""
187,-7,AYLIVA - Schwarzes Herz,302,25,"",1635,-31,1.089,"",33,"","",""
188,-19,"Peter Plate, Ulf Leo Sommer & Bibi und Tina - Bibi und Tina",225,86,"",1632,-160,0.852,"",36,"","",""
189,NEW,Zartmann - dafür bin ich frei,7,129,"",1628,+602,0.016,"",39,"","",""
190,+11,Mida - IL SOLE DENTRO - EP,18,132,"",1627,+91,0.035,"","","",23,""
191,-9,белый шум для детей - Дождь,99,125,"",1627,-32,0.637,"","","","",23
192,+30,Tiakola - X - EP,88,15,"",1619,+243,0.321,"","",33,"",""
193,+9,Werenoi - Carré,450,29,"",1609,+85,1.584,"","",34,"",""
194,-2,Taylor Swift - Red,572,1,(x7),1606,+9,3.036,78,196,"","",""
195,+14,SCH - JVLIVS,203,29,"",1602,+139,1.424,"","",29,"",""
196,-38,Saltatio Mortis - Finsterwacht,3,158,"",1598,-275,0.007,"",26,"","",""
197,-29,Mikush & Timon - CAPO DELLA JERSEY,5,137,"",1596,-197,0.009,"","","",24,""
198,-3,Ninho - Jefe,909,14,"",1595,+9,3.094,"","",32,"",""
199,-23,Big Baby Tape & kizaru - BANDANA I,797,31,"",1581,-97,2.282,"","","","",35
200,+12,Ollane - Notes - EP,1,200,"",1576,+133,0.003,"","","","",26
