Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
DaBaby - ROCKSTAR,72,22,1,(x7),"41,679,959","1,215,705,911"
Justin Bieber - Peaches,77,14,1,(x3),"52,357,127","1,213,245,560"
Tate McRae - greedy,37,29,1,(x4),"40,228,313","1,205,067,669"
Imagine Dragons - Thunder,143,3,8,"","21,076,623","1,201,237,576"
Halsey - Without Me,121,16,4,"","27,576,694","1,192,139,465"
Bad Bunny - Ojitos Lindos,70,16,3,(x2),"38,207,348","1,182,016,397"
The Weeknd - The Hills,183,11,3,(x1),"14,363,491","1,175,554,743"
Lewis Capaldi - Before You Go,122,"",19,"","16,267,082","1,171,062,417"
Arctic Monkeys - 505,125,"",43,"","11,501,038","1,164,489,369"
Dua Lipa - New Rules,104,23,2,(x3),"26,215,788","1,159,764,804"
Doja Cat - Woman,77,7,6,"","29,648,304","1,111,134,654"
"Ariana Grande - thank u, next",87,17,1,(x8),"59,975,503","1,109,308,699"
Bad Bunny - Yonaguni,83,9,3,(x3),"45,173,496","1,098,151,668"
Måneskin - Beggin',66,15,1,(x4),"52,160,401","1,094,371,409"
Farruko - Pepas,70,16,4,"","30,119,703","1,093,539,197"
Luis Fonsi - Despacito - Remix,64,19,1,(x14),"54,729,818","1,092,396,262"
Maroon 5 - Girls Like You,100,14,2,(x1),"29,296,811","1,086,166,262"
Arctic Monkeys - Do I Wanna Know?,214,"",38,"","9,385,028","1,080,106,135"
Lil Uzi Vert - XO TOUR Llif3,121,2,10,"","19,373,632","1,077,596,021"
Eslabon Armado - Ella Baila Sola,46,18,1,(x9),"56,584,925","1,076,299,892"
David Kushner - Daylight,59,11,5,"","32,418,390","1,074,279,616"
Olivia Rodrigo - deja vu,89,8,3,(x1),"45,060,633","1,065,409,828"
Billie Eilish - when the party's over,122,1,9,"","22,448,428","1,064,339,831"
Imagine Dragons - Bones,99,"",26,"","16,322,618","1,058,534,428"
XXXTENTACION - Moonlight,134,2,2,(x1),"27,497,557","1,055,535,621"
Doja Cat - Paint The Town Red,43,16,1,(x4),"54,379,342","1,038,043,329"
The Walters - I Love You So,107,"",21,"","14,526,745","1,023,080,544"
Kendrick Lamar - HUMBLE.,98,12,1,(x1),"41,269,524","1,012,434,273"
Bad Bunny - Efecto,59,14,6,"","26,720,466","1,012,068,903"
Lil Nas X - Old Town Road - Remix,68,19,2,(x4),"36,616,698","1,010,618,722"
Powfu - death bed,79,17,4,"","30,329,811","1,008,962,364"
Arizona Zervas - ROXANNE,70,16,2,(x5),"34,104,838","1,006,176,752"
Imagine Dragons - Demons,220,6,8,"","10,387,924","1,005,911,528"
Harry Styles - Adore You,108,1,6,"","25,393,341","1,005,016,773"
Trevor Daniel - Falling,76,12,5,"","29,862,206","1,004,734,702"
French Montana - Unforgettable,91,15,3,(x1),"25,652,839","1,002,282,557"
Justin Bieber - Love Yourself,113,22,1,(x3),"28,218,558","994,490,256"
KAROL G - Tusa,73,14,3,(x2),"41,434,019","994,146,025"
Post Malone - Congratulations,128,"",20,"","15,632,229","990,710,095"
Lauv - I Like Me Better,159,"",29,"","12,704,967","990,348,614"
Olivia Rodrigo - traitor,78,4,7,"","32,922,131","987,929,423"
5 Seconds of Summer - Youngblood,120,1,8,"","22,841,733","984,672,105"
Taylor Swift - Blank Space,108,"",27,"","16,946,544","984,200,574"
benny blanco - Eastside,95,11,4,"","24,227,312","979,529,313"
d4vd - Romantic Homicide,85,"",17,"","17,688,935","977,968,998"
SZA - Snooze,75,"",27,"","17,296,437","965,455,826"
Olivia Rodrigo - vampire,48,14,1,(x1),"52,036,833","964,692,922"
Post Malone - Wow.,84,14,2,(x1),"31,165,644","962,552,357"
Ava Max - Sweet but Psycho,98,7,6,"","22,400,542","951,420,265"
Eminem - Mockingbird,81,"",24,"","17,746,120","951,419,112"
J Balvin - LA CANCIÓN,110,"",17,"","15,922,336","948,477,868"
Justin Bieber - Sorry,92,21,1,(x8),"34,283,993","945,730,140"
Travis Scott - HIGHEST IN THE ROOM,90,7,1,(x1),"48,161,108","941,850,339"
Eminem - Lose Yourself,236,"",44,"","10,904,034","940,081,099"
The Police - Every Breath You Take,129,"",77,"","12,041,387","939,325,154"
The Chainsmokers - Don't Let Me Down,93,22,3,(x2),"20,867,984","937,382,310"
Bruno Mars - Locked out of Heaven,140,"",39,"","14,578,223","934,894,054"
Coldplay - Viva La Vida,96,"",53,"","14,067,196","934,410,830"
Bruno Mars - That's What I Like,108,9,6,"","23,602,385","932,399,178"
Steve Lacy - Dark Red,116,"",66,"","10,059,878","930,768,523"
JVKE - golden hour,70,"",14,"","21,078,730","925,466,265"
Arctic Monkeys - Why'd You Only Call Me When You're High?,123,"",95,"","10,312,381","921,875,058"
Ariana Grande - positions,79,13,1,(x2),"41,862,937","918,652,702"
Major Lazer - Lean On,120,33,1,(x10),"18,924,031","916,566,107"
Joji - Glimpse of Us,54,10,1,(x1),"57,470,492","912,030,588"
Post Malone - Psycho,80,14,2,(x6),"45,142,484","911,952,857"
Cardi B - I Like It,74,14,2,(x1),"27,369,377","908,062,879"
Rauw Alejandro - Todo De Ti,62,10,2,(x4),"47,564,794","904,188,121"
Dean Lewis - Be Alright,123,"",12,"","17,708,246","904,001,655"
Grupo Frontera - un x100to,46,12,1,(x2),"56,685,409","902,327,561"
DJ Snake - Taki Taki,62,18,1,(x4),"40,931,264","896,064,520"
Chris Brown - Under The Influence,61,7,6,"","26,896,173","892,423,448"
Mike Posner - I Took A Pill In Ibiza - Seeb Remix,99,22,2,(x3),"23,018,299","891,175,647"
Mitski - My Love Mine All Mine,36,18,3,(x2),"31,544,921","889,944,316"
Brenda Lee - Rockin' Around The Christmas Tree,48,15,3,(x5),"62,796,483","882,335,652"
d4vd - Here With Me,69,"",14,"","21,588,435","881,634,185"
Eminem - The Real Slim Shady,121,"",51,"","12,550,236","879,593,971"
Coldplay - My Universe,72,6,3,(x1),"32,790,116","872,919,779"
DJ Snake - Let Me Love You,69,22,2,(x1),"32,792,765","872,673,709"
Yng Lvcas - La Bebe - Remix,43,17,3,(x7),"40,885,774","872,337,549"
Ed Sheeran - Beautiful People,71,16,3,(x3),"36,721,702","868,100,792"
Jimin - Like Crazy,62,"",15,"","23,325,668","867,547,087"
Cigarettes After Sex - Apocalypse,98,"",79,"","11,956,845","866,985,052"
Morgan Wallen - Last Night,66,"",14,"","22,261,083","862,446,679"
Internet Money - Lemonade,65,13,2,(x2),"30,094,068","854,723,643"
KAROL G - TQG,44,12,1,(x1),"57,131,424","852,277,014"
Bruno Mars - When I Was Your Man,135,"",38,"","15,866,628","852,257,435"
Drake - In My Feelings,52,15,1,(x8),"67,499,798","850,630,308"
Cardi B - WAP,55,15,1,(x5),"45,977,242","848,831,566"
Regard - Ride It,98,"",12,"","17,371,573","845,193,360"
Lana Del Rey - Summertime Sadness,94,"",83,"","10,683,039","844,900,720"
Lord Huron - The Night We Met,84,"",28,"","17,739,564","844,798,613"
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",46,7,3,(x1),"37,492,095","838,569,090"
Michael Bublé - It's Beginning to Look a Lot Like Christmas,60,13,6,"","44,884,310","836,355,672"
Avicii - Wake Me Up,194,13,3,(x2),"20,549,219","834,577,316"
Billie Eilish - Happier Than Ever,70,4,6,"","33,200,672","834,352,850"
Ariana Grande - Santa Tell Me,58,12,3,(x1),"48,192,239","834,113,736"
Billie Eilish - everything i wanted,76,5,2,(x1),"40,323,676","833,351,012"
KAROL G - PROVENZA,59,4,6,"","26,685,343","833,130,132"
KAROL G - QLONA,42,7,5,"","29,546,576","826,127,873"
Macklemore & Ryan Lewis - Can't Hold Us,101,"",86,"","11,223,314","824,198,521"
Panic! At The Disco - High Hopes,99,1,9,"","19,643,546","822,525,134"
"Tyler, The Creator - See You Again",66,"",16,"","20,536,166","819,719,705"
Doja Cat - Need To Know,60,3,6,"","29,990,272","818,770,638"
Drake - Jimmy Cooks,81,1,7,"","31,710,710","818,017,175"
Lil Mosey - Blueberry Faygo,68,5,8,"","25,687,351","816,131,839"
Major Lazer - Cold Water,60,17,1,(x5),"39,612,302","815,313,617"
Myke Towers - LALA,37,13,1,(x1),"41,556,972","814,637,777"
Benson Boone - Beautiful Things,19,14,1,(x6),"55,391,293","814,530,164"
Bruno Mars - Leave The Door Open,63,11,5,"","26,025,274","807,466,173"
Stephen Sanchez - Until I Found You,64,1,10,"","21,822,777","804,541,052"
Twenty One Pilots - Stressed Out,120,12,6,"","18,271,666","803,866,217"
The Weeknd - Stargirl Interlude,96,"",42,"","11,079,510","803,201,945"
Luis Fonsi - Despacito (Featuring Daddy Yankee),62,15,4,"","27,082,220","802,424,995"
Bobby Helms - Jingle Bell Rock,49,12,4,"","51,705,845","801,808,880"
Dua Lipa - Dance The Night (From Barbie The Album),48,9,5,"","33,252,200","800,461,212"
Feid - Classy 101,54,3,8,"","27,370,842","799,428,245"
The Weeknd - One Of The Girls,34,12,3,(x1),"33,826,703","795,186,396"
Tate McRae - you broke me first,83,"",12,"","18,627,585","791,460,924"
The Weeknd - Popular,52,"",12,"","26,312,521","785,110,071"
BTS - Butter,63,7,2,(x1),"58,122,349","784,885,473"
Taylor Swift - Don’t Blame Me,86,"",71,"","11,362,647","781,096,195"
Sam Smith - Too Good At Goodbyes,109,6,3,(x2),"28,527,847","780,246,421"
Masked Wolf - Astronaut In The Ocean,55,13,3,(x3),"30,035,792","778,977,393"
GAYLE - abcdefu,44,20,1,(x3),"34,440,025","778,710,435"
Maluma - Hawái,60,12,2,(x2),"41,071,843","777,609,130"
Bad Bunny - Moscow Mule,44,13,2,(x2),"51,387,060","775,724,415"
Joel Corry - Head & Heart,71,"",11,"","20,052,875","775,241,250"
Taylor Swift - cardigan,70,2,1,(x1),"35,783,009","774,765,157"
Steve Lacy - Bad Habit,50,3,10,"","22,880,789","774,633,569"
Imagine Dragons - Enemy,61,13,3,(x4),"26,745,557","774,575,795"
Bad Bunny - Callaita,71,8,7,"","22,380,052","773,877,306"
Sia - Cheap Thrills,83,18,3,(x1),"22,704,478","771,328,890"
Justin Bieber - What Do You Mean?,76,24,1,(x8),"29,264,063","767,171,936"
Eminem - Godzilla,87,3,4,"","40,637,125","766,797,511"
Ozuna - Hey Mor,51,"",14,"","20,388,083","766,223,621"
Dua Lipa - IDGAF,78,12,4,"","23,715,748","765,728,252"
Lost Frequencies - Where Are You Now,70,"",18,"","14,503,805","765,580,936"
Tiësto - The Business,72,2,9,"","19,493,924","765,387,748"
The Weeknd - Call Out My Name,83,4,1,(x1),"40,628,023","764,808,848"
Jawsh 685 - Savage Love (Laxed - Sired Beat),55,15,1,(x2),"34,310,255","763,557,902"
One Direction - Night Changes,111,"",25,"","12,413,589","760,211,456"
Daddy Yankee - Con Calma,55,15,2,(x3),"31,111,446","759,270,487"
Jonas Brothers - Sucker,70,11,2,(x2),"34,629,196","756,754,337"
Kate Bush - Running Up That Hill (A Deal With God),34,14,1,(x3),"57,221,016","753,614,642"
Post Malone - I Fall Apart,87,1,10,"","17,129,238","750,917,723"
Tears For Fears - Everybody Wants To Rule The World,88,"",91,"","10,654,407","750,801,419"
blackbear - hot girl bummer,84,3,9,"","20,814,917","749,077,366"
Zedd - The Middle,82,7,6,"","22,125,746","741,276,314"
Topic - Breaking Me,71,5,8,"","20,464,143","737,669,655"
"Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53",31,11,2,(x3),"80,646,962","737,502,479"
Keane - Somewhere Only We Know,84,"",80,"","11,650,746","734,822,518"
Charlie Puth - Attention,64,13,5,"","22,888,447","734,225,981"
Rosa Linn - SNAP,58,"",16,"","18,664,457","731,846,561"
Future - Life Is Good,70,5,3,(x1),"39,404,104","730,795,312"
Taylor Swift - Lover,64,1,2,(x1),"29,990,567","723,908,619"
Sabrina Carpenter - Nonsense,71,"",17,"","20,784,498","722,597,860"
ROSALÍA - DESPECHÁ,44,8,5,"","30,330,456","721,187,001"
DJ Khaled - I'm the One,51,16,2,(x7),"40,519,723","720,238,325"
Shawn Mendes - Treat You Better,82,13,5,"","20,386,073","717,975,045"
The Killers - Mr. Brightside,146,"",94,"","9,948,722","715,415,962"
Lil Nas X - THATS WHAT I WANT,55,3,3,(x1),"32,546,474","714,973,753"
Marshmello - FRIENDS,67,13,4,"","25,664,581","714,909,410"
Shawn Mendes - There's Nothing Holdin' Me Back,78,5,5,"","22,413,521","713,619,572"
Calvin Harris - This Is What You Came For,64,18,2,(x11),"26,378,633","710,707,296"
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",78,14,3,(x6),"24,236,034","707,632,576"
J Balvin - Mi Gente,57,15,1,(x4),"32,361,062","706,648,562"
Alan Walker - Faded,91,15,7,"","17,656,352","705,007,917"
Stephen Sanchez - Until I Found You,60,"",20,"","17,126,410","703,398,307"
Anuel AA - China,53,12,2,(x4),"33,436,706","703,150,756"
Sam Smith - Dancing With A Stranger,76,10,7,"","23,144,963","702,710,293"
Andy Williams - It's the Most Wonderful Time of the Year,50,6,7,"","44,800,288","702,600,707"
Fifth Harmony - Work from Home,74,20,2,(x3),"22,851,136","698,301,324"
Noah Kahan - Stick Season,34,8,6,"","28,868,638","698,171,316"
Lukas Graham - 7 Years,86,14,2,(x1),"21,578,772","691,799,286"
Tyga - Taste,67,4,6,"","24,591,233","690,276,332"
Bebe Rexha - Meant to Be,87,"",18,"","14,838,238","688,386,937"
Bad Bunny - MIA,51,14,1,(x1),"39,639,615","688,289,134"
Pedro Capó - Calma - Remix,61,9,5,"","23,772,814","687,647,813"
Justin Bieber - Intentions,54,9,5,"","35,379,447","686,857,521"
Ariana Grande - no tears left to cry,61,8,2,(x1),"38,925,971","685,597,568"
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),68,14,2,(x2),"30,694,422","682,354,310"
FIFTY FIFTY - Cupid - Twin Ver.,38,12,4,"","36,319,569","682,233,804"
Marshmello - Silence,71,8,8,"","20,339,368","681,892,436"
Doja Cat - Say So,60,8,6,"","25,776,622","678,877,812"
Drake - Toosie Slide,46,14,2,(x4),"45,292,273","677,398,639"
Miguel - Sure Thing,63,"",14,"","21,796,337","677,061,849"
Dynoro - In My Mind,66,10,6,"","22,288,306","676,704,919"
Adele - Hello,74,15,1,(x3),"44,785,665","674,927,785"
Dua Lipa - Break My Heart,65,2,7,"","25,320,233","674,770,728"
Clean Bandit - Rockabye,65,14,3,(x3),"22,798,862","674,373,152"
Juice WRLD - Robbery,95,"",18,"","16,634,927","673,474,919"
Kenya Grace - Strangers,33,7,4,"","31,732,751","673,225,048"
Kygo - It Ain't Me,55,14,2,(x2),"31,981,993","668,193,646"
PinkPantheress - Boy's a liar Pt. 2,35,10,3,(x1),"39,475,419","666,819,252"
Bad Bunny - PERRO NEGRO,33,6,4,"","37,721,190","666,779,986"
Lil Tecca - Ransom,60,10,3,(x2),"27,574,962","665,791,210"
Elley Duhé - MIDDLE OF THE NIGHT,59,"",11,"","17,828,258","663,695,650"
Zach Bryan - Something in the Orange,73,"",57,"","10,534,114","662,625,394"
The Weeknd - Save Your Tears,47,2,5,"","27,611,013","661,883,213"
Pop Smoke - For The Night,59,4,7,"","22,837,971","659,826,820"
Gunna - fukumean,40,6,9,"","25,894,699","657,904,584"
Hotel Ugly - Shut up My Moms Calling,73,"",82,"","11,403,782","657,824,619"
Teddy Swims - Lose Control,29,9,5,"","33,398,917","657,632,054"
Post Malone - Goodbyes (Feat. Young Thug),47,13,2,(x1),"37,067,320","654,675,084"
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),52,3,7,"","30,313,629","652,871,153"
Rihanna - Work,60,15,1,(x9),"33,662,868","652,396,816"
Maroon 5 - What Lovers Do,68,10,5,"","23,951,075","651,050,835"
Jack Harlow - Lovin On Me,29,10,3,(x2),"34,044,101","645,447,637"
Feid - Feliz Cumpleaños Ferxxo,54,"",32,"","16,329,306","645,307,890"
Anne-Marie - 2002,87,"",27,"","13,698,716","644,432,285"
Shawn Mendes - Stitches,100,20,5,"","15,301,964","643,947,324"
Harry Styles - Late Night Talking,48,3,2,(x1),"46,528,433","643,040,689"
The Weeknd - Can't Feel My Face,84,29,1,(x1),"19,390,352","641,671,404"
Danny Ocean - Me Rehúso,69,"",20,"","13,515,074","640,056,355"
Adele - Set Fire to the Rain,75,"",61,"","11,540,759","637,103,225"
Taylor Swift - august,63,"",11,"","21,018,440","636,496,094"
Tyla - Water,36,"",12,"","24,826,187","631,445,235"
Yandel - Yandel 150,35,7,8,"","26,978,839","631,334,119"
Logic - 1-800-273-8255,62,9,5,"","23,662,238","629,521,089"
Twenty One Pilots - Heathens,61,13,4,"","26,546,200","629,357,576"
Charlie Puth - We Don't Talk Anymore,97,1,9,"","18,248,508","624,294,216"
Calle 24 - Que Onda,39,"",16,"","20,983,757","621,462,568"
Xavi - La Diabla,25,10,1,(x4),"39,499,314","620,696,712"
Rauw Alejandro - Desesperados,53,8,8,"","19,550,632","619,973,040"
Desiigner - Panda,72,13,3,(x1),"24,034,197","618,141,508"
The Weeknd - I Feel It Coming,68,8,4,"","22,658,206","614,496,718"
Quevedo - Columbia,35,8,7,"","29,578,111","614,422,607"
Olivia Rodrigo - happier,69,"",12,"","27,142,760","611,454,554"
Y2K - Lalala,56,5,4,"","23,833,624","610,441,444"
Billie Eilish - bury a friend,58,7,2,(x1),"35,408,536","608,548,861"
Major Lazer - Light It Up,73,"",11,"","15,684,172","604,569,611"
The Neighbourhood - Daddy Issues,100,"",99,"","6,905,403","603,808,704"
Rihanna - We Found Love,79,"",59,"","12,488,268","603,010,469"
Zach Bryan - I Remember Everything,40,"",20,"","18,293,011","601,914,130"
Khalid - Better,64,2,7,"","21,831,365","601,815,595"
Bruno Mars - Just the Way You Are,82,"",39,"","15,907,942","600,003,290"
Lady Gaga - Rain On Me,55,7,1,(x1),"41,627,044","597,587,263"
iñigo quintero - Si No Estás,31,8,1,(x1),"40,037,629","596,769,089"
Drake - Hotline Bling,80,19,2,(x1),"20,870,154","596,313,469"
Drake - Nice For What,42,11,1,(x2),"41,781,391","594,741,215"
Khalid - Young Dumb & Broke,76,"",12,"","15,871,063","594,366,159"
Djo - End of Beginning,15,8,3,(x4),"54,716,193","594,059,694"
Lizzo - About Damn Time,43,2,9,"","25,698,594","591,468,747"
The Weeknd - Die For You,37,4,3,(x1),"43,830,141","588,484,750"
Peso Pluma - LADY GAGA,37,2,9,"","23,357,869","587,911,236"
Mark Ronson - Uptown Funk,103,23,1,(x8),"15,350,322","586,491,435"
Zedd - Stay,55,11,7,"","23,118,329","586,299,104"
Selena Gomez - Wolves,57,14,3,(x1),"24,355,051","586,228,775"
Sam Smith - Stay With Me,146,26,2,(x4),"8,537,137","585,430,499"
Kendrick Lamar - All The Stars,52,7,2,(x2),"31,352,011","583,464,207"
Future - Mask Off,58,9,5,"","25,847,893","582,487,201"
Tainy - Lo Siento BB:/,53,"",12,"","22,347,970","581,354,380"
Martin Garrix - In the Name of Love,59,10,6,"","21,797,864","581,181,619"
Nio Garcia - Te Boté - Remix,53,2,8,"","19,829,896","580,565,818"
Black Eyed Peas - RITMO (Bad Boys For Life),48,5,9,"","23,528,266","579,778,398"
Riton - Friday,51,"",15,"","19,050,193","577,050,376"
cassö - Prada,41,"",17,"","18,856,031","575,924,599"
FloyyMenor - Gata Only,16,11,3,(x1),"54,990,825","574,378,173"
Sia - Unstoppable,78,"",96,"","9,448,455","574,347,693"
Camila Cabello - Bam Bam,41,4,5,"","21,135,422","571,221,486"
Pop Smoke - What You Know Bout Love,50,6,6,"","24,810,100","570,820,904"
Travis Scott - FE!N,37,1,5,"","36,391,896","570,272,115"
Avicii - The Nights,115,"",18,"","11,612,203","568,813,908"
JP Saxe - If The World Was Ending,79,"",38,"","11,350,099","566,684,070"
"G-Eazy - Me, Myself & I",70,14,4,"","17,839,641","564,775,200"
Bad Bunny - WHERE SHE GOES,26,9,2,(x3),"43,622,686","564,223,147"
KAROL G - AMARGURA,54,"",53,"","12,695,923","563,950,380"
Clean Bandit - Symphony,60,"",11,"","21,433,880","561,744,393"
Kali Uchis - Moonlight,49,"",37,"","15,163,247","561,191,462"
Jason Derulo - Swalla,54,6,6,"","21,809,411","560,860,745"
BlocBoy JB - Look Alive,57,6,6,"","22,486,856","557,605,940"
Feid - LUNA,25,4,9,"","28,125,311","557,515,743"
Dave - Sprinter,33,4,6,"","27,650,530","553,546,418"
Bad Bunny - Neverita,45,"",15,"","24,810,933","552,086,741"
Zara Larsson - Lush Life,93,"",15,"","12,272,269","551,641,716"
Frank Ocean - Pink + White,57,"",69,"","12,489,197","551,504,859"
Jhayco - No Me Conoce - Remix,59,"",20,"","14,989,110","548,583,436"
Alec Benjamin - Let Me Down Slowly,80,"",27,"","14,487,348","547,574,289"
DNCE - Cake By The Ocean,82,"",12,"","15,222,959","547,344,387"
Harry Styles - Falling,88,"",29,"","14,809,370","547,095,456"
