Artist,Total,Today,1M,2M,3M,4M,5M
Dermot Kennedy,"5,799,184",0,2,1,0,0,0
Armin van Buuren,"5,753,292",120,2,0,0,0,0
Dynoro & Gigi d'Agostino,"5,691,989",639,1,1,1,1,1
Calvin Harris & Disciples,"5,435,804",0,1,1,1,1,1
Purple Disco Machine & Sophie and the Giants,"5,380,934",148,2,2,1,0,0
Shawn Mendes & Camila Cabello,"5,355,707",371,1,1,1,1,1
Burak Yeter,"5,353,166",748,1,1,1,1,1
Klingande,"5,347,158",213,1,1,1,1,0
Olly Murs,"5,254,427",625,2,0,0,0,0
DJ Khaled,"5,181,235",0,2,1,0,0,0
Bastille,"5,175,948",0,2,0,0,0,0
Louane,"5,048,253",759,0,0,0,0,0
Feder,"5,040,235",82,1,1,1,0,0
Indila,"5,014,022",0,1,1,1,0,0
Jax Jones,"4,946,320",0,2,1,0,0,0
Angèle,"4,942,185",0,2,0,0,0,0
Jessie J,"4,938,711",0,1,1,0,0,0
Lykke Li,"4,927,921","1,161",1,1,1,1,0
Ultimo,"4,911,167","2,042",0,0,0,0,0
Jess Glynne,"4,862,882",0,1,0,0,0,0
Alicia Keys,"4,843,348",196,2,1,0,0,0
Fun.,"4,835,892","2,325",1,1,1,1,0
Jain,"4,796,593",0,2,1,0,0,0
Michel Teló,"4,793,965",176,1,1,1,1,0
Annalisa,"4,773,576","2,561",0,0,0,0,0
Linkin Park,"4,709,125",582,0,0,0,0,0
Michael Bublé,"4,686,429",0,1,0,0,0,0
Olivia Rodrigo,"4,675,719","1,037",3,0,0,0,0
Paul McCartney,"4,666,775",0,1,1,1,1,0
Daddy Yankee,"4,641,077",768,1,1,0,0,0
U2,"4,603,576",0,1,0,0,0,0
Doja Cat,"4,597,250",240,2,0,0,0,0
Christina Perri,"4,581,088","1,845",1,1,1,0,0
Tom Walker,"4,531,187",0,1,1,1,0,0
SAINt JHN,"4,518,791",90,1,1,1,1,0
Aya Nakamura,"4,510,022",0,1,0,0,0,0
Years & Years,"4,478,690",0,1,0,0,0,0
James Blunt,"4,451,890",114,1,0,0,0,0
