Artist and Title,Days,Pk,(x?),Total,Today
Ariana Grande - Problem,266,3,(x1),"2,581,547",0
Nico & Vinz - Am I Wrong,279,10,"","2,572,876",40
Sia - The Greatest,206,1,(x14),"2,570,347",0
Coldplay - Paradise,161,32,"","2,566,347",37
Pascal Letoublon - Friendships,610,14,"","2,557,070",0
Shawn Mendes - There's Nothing Holdin' Me Back,262,2,(x1),"2,552,734",0
The Avener - Fade Out Lines,285,9,"","2,544,274",0
David Guetta - Hey Mama,221,2,(x1),"2,541,547",0
Dua Lipa - Be the One,278,10,"","2,534,911",0
Michael Jackson & Justin Timberlake - Love Never Felt So Good,182,3,(x2),"2,523,211",142
Helene Fischer - Atemlos durch die Nacht,386,53,"","2,507,357",188
David Guetta - Lovers on the Sun,197,2,(x23),"2,480,492",0
Pedro Capó & Farruko - Calma,308,7,"","2,476,974",40
Rihanna - We Found Love,71,52,"","2,475,772",0
Madcon - Don't Worry,309,11,"","2,473,249",93
Calvin Harris - Blame,183,2,(x18),"2,470,543",0
Calvin Harris - My Way,194,2,(x1),"2,465,107",0
Imagine Dragons - On Top of the World,344,28,"","2,464,790",0
Jason Derülo - Wiggle,216,3,(x3),"2,455,371",0
Liam Payne & Rita Ora - For You,226,1,(x31),"2,449,924",0
Dua Lipa - Dance The Night,343,1,(x10),"2,442,395","1,216"
Sam Smith - Writing's on the Wall,197,1,(x2),"2,436,353",0
Maroon 5 - Sugar,231,7,"","2,432,842",0
Lady Gaga - I'll Never Love Again,523,6,"","2,432,782",0
The Lumineers - Ho Hey,210,8,"","2,431,253",0
Lady Gaga - Applause,164,1,(x1),"2,430,623",0
Bruno Mars - Treasure,273,7,"","2,429,312",0
Jason Derülo - Swalla,225,4,"","2,425,681",0
"Jessie J, Ariana Grande & Nicki Minaj - Bang Bang",262,3,(x1),"2,421,314",0
Kygo & Whitney Houston - Higher Love,267,3,(x1),"2,417,803",0
P!nk & Willow Sage Hart - Cover Me In Sunshine,304,2,(x3),"2,417,318",0
Drake - Hotline Bling,230,3,(x2),"2,414,466",0
Calvin Harris - Outside,217,4,"","2,413,265",0
Dvbbs & Borgeous - Tsunami,273,14,"","2,403,800",0
Taylor Swift - Anti-Hero,462,3,(x3),"2,400,639",751
Elley Duhé - MIDDLE OF THE NIGHT,917,13,"","2,397,636","1,726"
Ed Sheeran - Sing,317,5,"","2,395,465",0
Dua Lipa - New Rules,314,8,"","2,394,407",0
Capital Cities - Safe and Sound,306,13,"","2,390,570",121
Minelli - Rampampam,992,20,"","2,375,864","1,927"
Purple Disco Machine & Sophie and the Giants - In The Dark,343,4,"","2,375,752",148
The Script - Hall of Fame,120,26,"","2,367,540","1,348"
Alvaro Soler - La Cintura,259,5,"","2,362,854",0
DNCE - Cake By the Ocean,224,8,"","2,350,462",0
Mabel - Don't Call Me Up,337,6,"","2,349,123",0
Alicia Keys - Girl On Fire,127,32,"","2,348,058",0
Sam Smith & Kim Petras - Unholy,244,2,(x16),"2,339,983",525
Glass Animals - Heat Waves,467,6,"","2,334,236",555
Rosa Linn - SNAP,331,4,"","2,324,230",0
Jennifer Lopez - Ain't Your Mama,253,9,"","2,323,072",109
Adele - When We Were Young,248,2,(x3),"2,293,341",0
Masked Wolf - Astronaut In the Ocean,295,1,(x3),"2,292,432",326
WALK THE MOON - Shut Up and Dance,239,13,"","2,287,227",180
ZAYN & Taylor Swift - I Don't Wanna Live Forever,182,1,(x2),"2,283,537",0
Shawn Mendes - Stitches,234,5,"","2,275,685",0
OneRepublic - Love Runs Out,199,10,"","2,267,795",0
DJ Khaled - Wild Thoughts,161,2,(x28),"2,267,421",0
J Balvin & Willy William - Mi Gente,219,1,(x1),"2,266,197",0
Stevie Wonder - Happy Birthday,532,20,"","2,266,014",345
R. City - Locked Away,223,3,(x6),"2,253,947",0
Jain - Makeba,170,1,(x13),"2,248,287",0
Sia - Elastic Heart,175,7,"","2,244,137",72
James Bay - Hold Back the River,242,8,"","2,240,639",0
French Montana - Unforgettable,297,10,"","2,238,472",0
ZAZ - Je veux,138,50,"","2,229,366",0
Justin Timberlake - Say Something,220,2,(x8),"2,222,259",0
Ed Sheeran - Afterglow,244,1,(x17),"2,209,361",0
Ariana Grande - No Tears Left to Cry,229,1,(x7),"2,200,452",0
Duke Dumont - I Got U,195,12,"","2,200,080",0
DJ Snake - Taki Taki,219,1,(x1),"2,194,776",0
Keala Settle & The Greatest Showman Ensemble - This Is Me,520,17,"","2,191,658",339
Major Lazer - Light It Up,247,6,"","2,191,556",0
Miley Cyrus - We Can't Stop,217,5,"","2,188,316",0
Billie Eilish & Khalid - lovely,656,21,"","2,187,165",244
Dermot Kennedy - Kiss Me,348,4,"","2,178,807",0
Dua Lipa - Houdini,208,1,(x21),"2,177,052","4,409"
Avicii - Waiting for Love,194,2,(x1),"2,171,919",0
Calvin Harris - I Need Your Love,220,7,"","2,171,130",168
Maroon 5 - Moves Like Jagger,74,48,"","2,168,050",0
Rihanna - Lift Me Up,211,1,(x19),"2,159,429",0
Cassette - My Way,1036,54,"","2,145,635","1,725"
Marshmello & Bastille - Happier,315,8,"","2,141,060",0
Meduza - Piece Of Your Heart,250,6,"","2,134,321",0
Udo Lindenberg & Apache 207 - Komet,501,10,"","2,130,421","2,390"
The Weeknd - The Hills,297,14,"","2,127,292",50
Nathan Evans - Wellerman,474,7,"","2,126,194",154
Ariana Grande - Break Free,250,7,"","2,124,668",0
David Guetta - Play Hard,184,7,"","2,117,955",0
Rita Ora - Anywhere,273,6,"","2,116,338",35
Ed Sheeran - Beautiful People,239,5,"","2,109,214",0
David Guetta & Sia - Let's Love,226,1,(x4),"2,107,952",0
Robin Schulz - OK,230,12,"","2,106,024",0
Axwell Λ Ingrosso - More Than You Know,257,9,"","2,102,372",0
Rema & Selena Gomez - Calm Down,546,7,"","2,097,417",351
Miley Cyrus - Midnight Sky,238,1,(x2),"2,094,822",0
Chaël - Don't Speak,965,68,"","2,088,698","1,865"
Tommee Profitt - In the End,751,19,"","2,078,790",0
Charlie Puth - We Don’t Talk Anymore,210,4,"","2,077,606",0
PSY - Gentleman,140,1,(x4),"2,072,955",0
"Cardi B, Bad Bunny & J Balvin - I Like It",291,4,"","2,072,688",46
Major Lazer - Cold Water,172,1,(x10),"2,072,261",0
Pharrell Williams - Freedom,193,2,(x6),"2,055,186",226
Sam Smith & Normani - Dancing with a Stranger,238,2,(x1),"2,047,648",0
Jonas Blue - Perfect Strangers,216,7,"","2,047,282",0
Dennis Lloyd - Nevermind,273,8,"","2,044,229",543
Eminem - Lose Yourself,158,5,"","2,040,349",895
Imany - You Will Never Know,144,58,"","2,038,044",0
Robin Schulz - Sun Goes Down,271,14,"","2,032,255",151
Rihanna - Work,181,1,(x8),"2,026,828",0
James Arthur - Say You Won't Let Go,224,8,"","2,018,773",253
Dean Lewis - Be Alright,263,9,"","2,014,086",0
Shouse - Love Tonight,279,4,"","2,001,422",0
Coldplay X BTS - My Universe,236,1,(x4),"1,999,973",0
Benson Boone - Beautiful Things,138,1,(x5),"1,998,801","14,521"
Matt Simons - Catch & Release,270,11,"","1,997,136",0
Julia Michaels - Issues,287,17,"","1,994,605",0
David Guetta - Shot Me Down,212,5,"","1,978,577",0
Fifth Harmony - Work from Home,194,6,"","1,976,473",0
ZHU - Faded,222,21,"","1,976,139",188
Sam Smith - Too Good at Goodbyes,178,2,(x1),"1,974,888",0
Zoe Wees - Control,386,12,"","1,970,184",0
AWOLNATION - Sail,221,32,"","1,968,833",203
Avicii - The Nights,249,11,"","1,966,726",0
Drake - God's Plan,215,2,(x10),"1,962,610",0
Jonas Blue - Mama,211,11,"","1,958,843",0
The Kolors - Italodisco,392,3,(x1),"1,950,781","2,658"
Emma Louise - Jungle,754,58,"","1,941,563","1,829"
Justin Bieber & BloodPop® - Friends,213,1,(x3),"1,941,451",0
"Fergie, Q-Tip & GoonRock - A Little Party Never Killed Nobody",252,29,"","1,934,230",0
Selena Gomez & Marshmello - Wolves,198,1,(x2),"1,933,550",0
Shakira - Can't Remember To Forget You,137,2,(x20),"1,932,185",0
Flo Rida - Whistle,31,55,"","1,931,032","1,195"
Shawn Mendes - Treat You Better,224,3,(x1),"1,924,984",0
Ed Sheeran - Perfect Duet,198,1,(x6),"1,921,901",0
"Black Eyed Peas, Shakira & David Guetta - DON'T YOU WORRY",264,2,(x1),"1,915,631",0
U2 - Ordinary Love,173,7,"","1,913,812",0
Years & Years - King,205,10,"","1,908,845",0
Andreas Gabalier - Hulapalu,190,55,"","1,908,559",0
Ed Sheeran - Overpass Graffiti,273,6,"","1,905,640",0
Skrillex & Diplo - Where Are Ü Now,232,11,"","1,904,941",0
Bastille - Pompeii,210,17,"","1,900,973",0
Anna Naklab - Supergirl,260,17,"","1,899,227",53
Ofenbach - Overdrive,243,2,(x2),"1,880,658","2,915"
Post Malone - Circles,232,7,"","1,877,603",0
Lady Gaga - Do What U Want,159,1,(x3),"1,873,577",0
Jason Derülo - Take You Dancing,273,5,"","1,873,538",0
Marshmello & Anne-Marie - FRIENDS,198,3,(x8),"1,873,047",0
ANIVAR - Любимый человек,593,67,"","1,871,832",666
Purple Disco Machine & Kungs - Substitution,265,4,"","1,864,133",535
Jason Derulo & Nuka - Love Not War,278,5,"","1,854,319",0
Måneskin - I WANNA BE YOUR SLAVE,242,3,(x2),"1,853,694",0
BTS - Dynamite,219,1,(x11),"1,847,541",0
Stromae - Formidable,328,32,"","1,841,466",0
MAGIC! - Rude,200,7,"","1,840,890",0
Kate Bush - Running Up That Hill,204,1,(x1),"1,835,911",0
Beyoncé - Drunk in Love,162,6,"","1,834,125",103
"Drake - Hold On, We're Going Home",205,14,"","1,827,925",0
Öwnboss & SEVEK - Move Your Body,731,17,"","1,826,374","1,566"
Rihanna - Love on the Brain,244,22,"","1,824,580",0
Beyoncé - TEXAS HOLD 'EM,114,1,(x18),"1,823,725","11,055"
Eminem - River,175,2,(x3),"1,812,956",0
Fifth Harmony - Worth It,229,13,"","1,811,054",0
Shawn Mendes - In My Blood,264,1,(x4),"1,802,694",0
AC/DC - Highway to Hell,115,1,(x2),"1,801,414","1,600"
Cyril - Stumblin' In,201,5,"","1,791,812","12,070"
Nicky Jam & J Balvin - X,196,6,"","1,782,801",0
BENNETT - Vois sur ton chemin,305,1,(x1),"1,773,210","3,162"
David Guetta - 2U,150,1,(x2),"1,755,334",0
George Ezra - Paradise,356,17,"","1,753,999",0
Lady Gaga - Million Reasons,236,4,"","1,751,402",0
DJ Snake & Lil Jon - Turn Down For What,200,24,"","1,749,945",45
Armin van Buuren - This Is What It Feels Like,224,17,"","1,746,142",0
Coldplay - Higher Power,234,1,(x7),"1,744,852",0
Chris Rea - Driving Home for Christmas,319,7,"","1,744,746",0
Måneskin - THE LONELIEST,307,2,(x2),"1,738,498",0
James Hype & Miggy Dela Rosa - Ferrari,266,3,(x6),"1,735,780",0
Eminem - Love the Way You Lie,91,41,"","1,730,165",0
Zivert - Life,414,54,"","1,723,543",348
Jonas Brothers - Sucker,231,2,(x2),"1,720,005",0
"Nathan Evans, 220 KID & Billen Ted - Wellerman",261,6,"","1,715,922",0
Lady Gaga & Ariana Grande - Rain On Me,185,1,(x8),"1,714,474",0
Adam Lambert - Ghost Town,249,17,"","1,704,300",63
Desiigner - Panda,210,13,"","1,703,172",0
Pitbull - Fireball,214,12,"","1,697,750",135
Ed Sheeran & Andrea Bocelli - Perfect Symphony,260,2,(x2),"1,692,539",321
LSD - Thunderclouds,250,9,"","1,692,307",0
Queen - Don't Stop Me Now,293,23,"","1,689,548",218
Sean Paul - No Lie,277,10,"","1,683,402",0
Rita Ora - Let You Love Me,195,6,"","1,683,399",0
Peggy Gou - (It Goes Like) Nanana,186,1,(x10),"1,680,449",0
David Guetta - This One's for You,133,2,(x6),"1,678,559",0
Michael Bublé - It's Beginning To Look a Lot Like Christmas,252,4,"","1,678,153",0
Stromae - Tous les mêmes,273,30,"","1,677,621",0
Iggy Azalea - Black Widow,184,8,"","1,674,025",0
Maroon 5 - Animals,203,4,"","1,671,566",0
"Meduza, Becky Hill & GOODBOYS - Lose Control",221,9,"","1,669,585",0
Jax Jones - Breathe,235,8,"","1,668,975",0
David Guetta & Showtek - Bad,199,9,"","1,667,881",0
Elton John & Britney Spears - Hold Me Closer,178,1,(x6),"1,667,057",0
Ariana Grande - 7 rings,178,1,(x5),"1,661,844",0
Labrinth - Beneath Your Beautiful,79,38,"","1,661,783",611
Lauren Daigle - You Say,339,18,"","1,657,108",0
Klangkarussell - Sonnentanz,248,23,"","1,656,272",0
Ava Max - So Am I,220,10,"","1,654,943",0
Adele - Send My Love,197,13,"","1,654,216",0
Alvaro Soler - El Mismo Sol,208,16,"","1,644,449",0
Maroon 5 - What Lovers Do,196,7,"","1,642,966",0
Aya Nakamura - Djadja,503,27,"","1,642,241",0
Ed Sheeran - Celestial,229,3,(x3),"1,637,658",0
