Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
161,+1,Tedua - Jolly Roger,12,101,"",1793,0,0.026,"","","",18,""
162,-1,Basta - На заре,189,57,"",1787,-8,0.484,"","","","",24
163,+3,"NILETTO, Oleg Miami & Lesha Svik - Громче города",60,72,"",1772,+14,0.141,"","","","",23
164,-1,Green Montana - barcelona92,60,44,"",1760,-33,0.160,"","",41,"",""
165,+8,Три дня дождя & MONA - Прощание,227,55,"",1759,+61,0.602,"","","","",25
166,-14,Annalisa - Sinceramente,119,46,"",1759,-141,0.323,"","","",19,""
167,-11,Olivia Rodrigo - vampire,336,2,(x16),1758,-72,2.940,90,141,"","",""
168,-1,reezy - BIG BOY MAYBACH,12,71,"",1754,0,0.028,"",33,"","",""
169,-1,Taylor Swift - Guilty as Sin,45,12,"",1750,+17,0.278,67,"","","",""
170,+17,Bouss - Parler tout bas,10,162,"",1746,+187,0.033,"","",39,"",""
171,-2,Alessandra Amoroso - Mezzo Rotto,4,168,"",1725,0,0.008,"","","",20,""
172,-2,Lewis Capaldi - Someone You Loved,1374,5,"",1707,-10,8.492,98,187,"","",""
173,+5,"Tony Effe, Bresh & Tedua - DOPO LE 4",82,93,"",1692,+65,0.172,"","","",21,""
174,-2,"Disclosure - She’s Gone, Dance On",4,166,"",1687,-19,0.007,33,"","","",""
175,+46,Sophie Ellis-Bextor - Murder on the Dancefloor,152,2,(x1),1686,+323,1.191,79,109,"","",""
176,+4,PASHANIM - Ms. Jackson,220,32,"",1682,+77,0.687,"",39,"","",""
177,-6,Mahmood - TUTA GOLD,119,33,"",1681,-29,0.361,"","","",23,""
178,-14,Newera - Birds In The Sky,62,92,"",1675,-115,0.142,27,"","","",""
179,-3,Luciano & Omah Lay - Another Vibe,104,48,"",1675,+6,0.315,"",43,"","",""
180,-5,ANNA ASTI - По барам,733,60,"",1673,-13,1.780,"","","","",26
181,-7,Angelina Mango - melodrama,11,149,"",1659,-33,0.020,"","","",22,""
182,+2,Zola & Koba LaD - Temps en temps,144,31,"",1632,+58,0.461,"","",59,"",""
183,+17,Jul - J'fais plaisir à la zone,180,40,"",1624,+142,0.545,"","",29,"",""
184,-3,Tedua - Kill Bill,12,111,"",1596,0,0.024,"","","",24,""
185,-2,5UTRA - Давай сбежим,261,70,"",1592,+7,0.583,"","","","",27
186,+5,Ninho - La vie qu'on mène,1144,43,"",1585,+57,3.392,"","",50,"",""
187,+2,MACAN - ASPHALT 8,431,48,"",1569,+24,1.053,"","","","",29
188,-3,Angelina Mango - uguale a me,4,180,"",1566,0,0.008,"","","",25,""
189,+5,VEN1 - Hakayet,12,120,"",1559,+48,0.050,"","",46,"",""
190,-4,АКУЛИЧ & Молодой Платон - ПОДАРОК,58,72,"",1552,-8,0.129,"","","","",28
191,NEW,Кравц & Гио ПиКа - Где прошла ты,43,119,"",1535,+1535,0.089,"","","","",30
192,+5,Ninho - Tout en Gucci,760,47,"",1535,+34,2.255,"","",45,"",""
193,+20,Zed - Solitaire,1,193,"",1528,+128,0.006,"","",34,"",""
194,+7,MiyaGi & Эндшпиль - I Got Love,1015,87,"",1515,+33,3.532,"","","","",32
195,+10,Dadju & Tayc - I love you,179,32,"",1512,+78,0.654,"","",44,"",""
196,-14,Dardan & Azet - Bebe,11,79,"",1510,-81,0.025,"",47,"","",""
197,+19,Bresh - Torcida,20,155,"",1506,+112,0.040,"","","",27,""
198,-8,SCH - La renaissance,4,159,"",1494,-46,0.008,"","",40,"",""
199,-3,"Geolier - I P’ ME, TU P’ TE",117,49,"",1477,-29,0.280,"","","",28,""
200,-1,ALMARY - До скорых встреч,106,80,"",1459,-28,0.236,"","","","",31
