Artist,Streams,Daily,As lead,Solo,As feature
Ak4:20,961.8,0.852,593.4,336.4,368.3
Silent Sanctuary,961.6,0.965,959.0,896.3,2.7
Dj Guuga,961.4,0.259,847.4,180.6,114.0
SB Maffija,960.9,0.516,948.3,1.8,12.6
Gang Starr,960.7,0.519,960.7,703.0,""
Rhye,960.0,0.268,884.0,700.0,75.9
Sarcastic Sounds,959.6,0.244,426.7,306.3,532.9
Sarah McLachlan,959.6,0.397,768.4,750.2,191.2
Kotim,959.5,0.660,57.5,0.1,901.9
Yasin,958.8,0.654,854.3,700.5,104.5
Gilberto Gil,958.5,0.427,648.5,540.6,310.0
Jamie xx,958.3,0.355,784.3,287.5,174.0
Jagged Edge,958.3,0.364,663.4,346.0,294.9
Not3s,958.3,0.139,421.4,236.6,536.9
TATOOL,958.3,0.887,"","",958.3
Neoni,958.1,1.145,470.0,408.4,488.1
Unknown Mortal Orchestra,957.0,0.262,790.5,787.1,166.5
Jet,956.7,0.453,942.8,933.4,13.9
Elisa,955.7,0.359,637.5,428.3,318.1
Chord Overstreet,955.3,0.483,955.3,925.8,""
A-Trak,955.3,0.349,202.0,0.7,753.3
Alida,955.2,0.262,10.7,10.5,944.5
Liberación,955.1,0.798,954.3,888.4,0.8
DigDat,954.1,0.004,197.2,81.6,757.0
Rixton,953.8,0.310,950.8,949.8,3.0
Héctor Lavoe,953.0,0.737,528.4,359.8,424.6
GoonRock,952.8,0.420,"","",952.8
Marteria,952.7,0.246,817.8,423.6,134.9
Banda Pequeños Musical,952.5,0.954,951.4,933.6,1.1
Justin Hurwitz,952.5,0.514,952.5,887.3,""
reidenshi,952.4,3.485,35.3,32.3,917.1
The Internet,952.3,0.295,933.6,577.7,18.7
MC G15,952.3,2.318,460.9,253.0,491.3
D'Angelo,952.1,0.292,738.8,725.5,213.3
Bobby Shmurda,951.9,0.195,678.6,616.9,273.3
Steve Void,951.9,0.160,228.9,37.0,722.9
SHAED,951.3,0.202,938.4,287.3,12.9
Oruam,951.2,1.943,282.1,"",669.1
Niro,951.1,0.449,844.0,570.3,107.1
Soft Cell,951.0,0.756,951.0,922.1,""
P.O.D.,950.5,0.402,934.7,918.0,15.9
Brandon Lake,950.5,1.222,351.3,300.3,599.1
DYSTINCT,950.4,2.233,720.9,115.1,229.6
Gojira,950.4,0.469,948.9,948.9,1.5
Shirin David,950.1,0.269,718.0,610.5,232.1
Escape the Fate,949.7,0.395,943.9,916.5,5.8
BK,949.7,1.005,626.9,8.5,322.7
"Crosby, Stills, Nash & Young",949.6,0.366,949.6,949.0,""
Randy Travis,949.3,0.626,935.9,916.9,13.4
Hayden James,949.3,0.429,926.0,271.1,23.4
Eiffel 65,949.1,0.380,862.5,63.3,86.6
Enigma Norteño,948.3,0.762,762.2,412.3,186.1
Vini Vici,948.2,0.513,200.2,57.7,748.0
El Guincho,948.0,0.257,22.7,20.9,925.3
Miss Li,947.8,0.480,656.2,631.8,291.6
Fleurie,947.7,0.345,291.3,95.6,656.5
Régulo Caro,947.5,0.243,849.4,765.4,98.0
Callejeros,947.3,0.488,947.3,947.3,""
FRENSHIP,946.9,0.104,917.2,221.0,29.7
3robi,946.5,0.363,208.8,109.8,737.6
Baby Bash,946.0,0.431,861.2,14.9,84.9
MoStack,945.5,0.173,318.3,208.6,627.2
Luis Alfonso Partida El Yaki,943.7,0.540,465.4,215.4,478.3
Borges,943.5,1.328,391.0,1.0,552.5
Marcynho Sensação,943.3,0.207,190.3,149.7,753.0
Rob $tone,942.9,0.223,942.9,18.2,""
Yung Hurn,942.8,0.345,685.2,528.7,257.6
Carl Brave,942.4,0.203,653.7,211.2,288.7
Tierry,942.2,0.343,747.1,497.0,195.1
Gabby Barrett,941.5,0.471,916.5,815.8,25.1
Asha Bhosle,941.2,1.100,529.8,102.2,411.4
GIULIA BE,940.8,0.378,851.6,770.4,89.3
The Proclaimers,940.8,0.417,940.8,940.4,""
Haddaway,940.7,0.856,915.2,912.7,25.6
Tritonal,940.4,0.492,748.4,93.8,191.9
t-low,940.3,0.482,629.6,413.2,310.7
ARASHI,940.2,0.514,940.2,933.8,""
Bankrol Hayden,939.9,0.176,889.6,559.9,50.3
RL Grime,939.6,0.325,735.0,100.6,204.6
Clayton & Romário,939.4,1.681,719.9,424.7,219.5
Alexandre Desplat,939.4,0.308,939.1,636.0,0.3
Above & Beyond,938.9,0.253,923.9,348.7,15.0
Ñejo & Dalmata,938.5,0.805,853.0,520.4,85.5
Dinos,938.3,0.436,842.4,533.1,96.0
Tom MacDonald,938.0,0.534,924.9,687.5,13.1
Jubël,938.0,0.344,929.9,306.1,8.2
Blood Orange,937.5,0.650,843.6,674.8,93.9
BIN,937.3,0.569,678.2,7.0,259.1
SoMo,937.1,0.130,930.0,889.2,7.2
Javier Rosas Y Su Artillería Pesada,937.0,0.695,591.5,379.8,345.5
The Pointer Sisters,936.6,0.412,936.0,936.0,0.6
Banda Carnaval,935.7,0.393,861.8,830.2,73.9
HBz,935.6,0.866,607.6,134.8,328.0
Mark Knopfler,935.4,0.465,868.8,746.5,66.7
Nickoog Clk,935.4,0.800,394.2,138.5,541.2
Alter Bridge,935.4,0.314,935.4,914.2,""
MercyMe,935.2,0.470,931.1,911.2,4.1
Devi Sri Prasad,935.0,1.389,792.3,127.5,142.7
Renée Elise Goldsberry,934.9,0.403,623.8,"",311.1
Freya Ridings,934.5,0.251,890.1,838.8,44.4
André 3000,933.9,0.584,34.0,34.0,899.8
Charlie Wilson,933.9,0.400,205.1,173.7,728.8
Chris Isaak,933.5,0.739,918.7,914.0,14.8
ILOVEMAKONNEN,933.4,0.181,372.4,104.2,561.0
Last Child,933.4,2.070,919.0,793.8,14.4
Vianney,932.9,0.568,866.9,470.7,66.0
Baby Rasta & Gringo,932.7,0.537,614.6,448.6,318.1
Agnes Obel,931.6,0.248,931.6,929.8,""
Al James,931.2,1.515,611.7,438.1,319.5
Alan Menken,931.2,0.463,707.3,128.3,223.8
Elodie,931.1,0.579,560.5,353.7,370.5
Isadora Pompeo,931.0,0.983,649.6,558.8,281.5
Harris & Ford,930.9,0.611,444.0,55.1,487.0
Yung Joc,930.8,0.413,194.9,20.0,735.9
KC & The Sunshine Band,930.1,0.623,929.4,927.7,0.8
Christopher,929.9,0.337,717.9,560.7,212.1
RY X,928.9,0.359,841.4,752.8,87.5
Reyli Barba,928.7,0.448,888.5,715.2,40.1
Jack Stauber,928.5,0.289,928.5,928.5,""
Jone Quest,928.4,0.477,0.7,"",927.7
A Touch Of Class,928.3,0.456,215.0,3.6,713.4
Eraserheads,927.7,0.576,927.7,927.7,""
Hev Abi,927.6,4.515,634.0,524.0,293.6
Extremoduro,927.0,0.442,927.0,920.3,""
Björk,925.6,0.393,911.9,797.0,13.8
DEV,925.6,0.383,157.4,90.0,768.2
Local Natives,925.1,0.187,920.0,843.0,5.1
Justice,924.4,0.833,902.9,728.7,21.5
Redimi2,924.2,0.555,592.0,159.9,332.2
Lloyd Banks,924.1,0.378,453.8,215.6,470.4
Mula B,924.0,0.310,379.0,226.0,545.0
Sueco,923.4,0.351,744.7,585.9,178.7
Grupo Recluta,923.4,0.548,540.6,500.2,382.8
Bigflo & Oli,923.1,0.375,852.4,628.7,70.7
Glenn Fredly,922.8,0.680,580.9,490.3,341.9
Bootsy Collins,922.8,0.697,86.2,72.0,836.5
LOONA,922.7,0.168,922.7,898.6,""
Alice Cooper,922.5,0.590,904.2,900.7,18.3
BABYMETAL,922.5,0.822,693.7,615.3,228.8
Daniel Hope,922.4,0.553,"","",922.4
Artemas,922.3,7.785,921.6,914.5,0.7
Julien Baker,921.8,0.814,222.4,221.5,699.4
LIZOT,921.8,0.639,586.6,49.4,335.1
Chris Rea,920.8,0.230,917.8,917.8,3.0
Three 6 Mafia,920.7,0.475,778.1,468.6,142.6
Zé Ramalho,920.7,0.529,568.9,526.9,351.7
Hornet La Frappe,920.5,0.187,707.7,446.5,212.8
Marcos Witt,919.8,0.644,835.9,615.6,83.9
Bloodhound Gang,919.6,0.396,919.6,910.1,""
PVRIS,919.3,0.366,684.2,653.2,235.1
Pi’erre Bourne,919.2,0.364,619.7,403.8,299.5
FAST BOY,919.0,1.063,122.5,16.1,796.5
187 Strassenbande,918.8,0.290,881.1,42.2,37.7
Mark Morrison,918.3,0.453,469.0,453.1,449.3
VillaBanks,918.1,0.717,710.3,136.0,207.8
Die Toten Hosen,917.9,0.491,909.7,900.0,8.2
Antonio Orozco,917.6,0.284,634.9,469.5,282.7
NOFX,916.5,0.371,916.0,910.9,0.5
NGHTMRE,916.4,0.185,479.8,29.7,436.7
Flux Pavilion,916.4,0.153,577.0,266.6,339.4
MamboLosco,916.1,0.396,501.1,123.5,415.1
Slimane,916.0,1.438,381.1,323.5,534.9
Grupo Los de la O,915.1,0.634,873.8,661.1,41.3
Faith No More,914.6,0.381,911.3,909.3,3.3
Hiroyuki Sawano,914.3,0.573,907.3,894.4,7.0
Bombay Bicycle Club,914.3,0.199,914.3,847.6,""
The Monkees,914.2,0.422,914.2,914.0,""
PA Sports,914.1,0.198,613.3,231.6,300.9
01099,913.1,1.530,568.4,46.0,344.7
Aaron Smith,912.3,0.369,912.3,"",""
Young T & Bugsey,912.2,0.151,664.8,110.5,247.4
Ruelle,912.2,0.373,749.8,710.1,162.4
Steppenwolf,911.9,0.414,911.0,906.0,0.9
Jaideep Sahni,911.5,1.097,"","",911.5
La Roux,911.2,0.501,811.6,569.7,99.6
DEAN,910.4,0.334,718.9,296.9,191.5
Luciano Pereyra,910.2,0.439,850.8,700.5,59.4
Abhijeet,909.7,1.366,646.1,411.1,263.6
Hande Yener,909.5,1.217,894.7,814.5,14.8
Ben Rector,908.8,0.246,903.2,861.9,5.6
Eno,907.5,0.230,671.6,375.6,235.9
Dvicio,907.4,0.142,862.2,459.6,45.2
Assassin's Creed,907.0,0.453,"","",907.0
KVSH,906.8,0.345,666.3,15.6,240.6
AgroPlay,906.7,1.839,858.4,"",48.2
TAEYANG,905.4,0.499,862.1,441.5,43.3
Harrdy Sandhu,905.4,0.679,764.2,236.3,141.2
DrefQuila,904.9,1.126,605.3,449.7,299.6
Caravan Palace,904.4,0.358,893.4,854.2,11.0
The Roots,903.6,0.278,799.5,195.1,104.1
Sabino,903.5,0.658,806.5,599.6,97.0
Ice Nine Kills,903.2,0.538,835.9,683.3,67.3
Maty Noyes,903.2,0.066,225.6,216.7,677.6
MC Rick,903.0,0.688,362.5,204.3,540.5
Jackson Browne,902.6,0.315,879.8,871.2,22.8
SAYGRACE,902.6,0.371,858.9,253.1,43.6
Mimi Webb,902.5,0.295,902.5,902.5,""
Jain,902.5,0.570,894.0,823.3,8.5
Syn Cole,902.3,0.124,775.5,304.2,126.8
Bagua Records,902.3,0.364,7.2,"",895.1
dodie,902.1,0.153,846.5,793.5,55.6
Aluna,902.1,0.516,249.6,44.1,652.5
Joan Jett & the Blackhearts,901.8,0.893,858.6,854.0,43.2
Q-Tip,901.8,0.255,189.9,156.9,711.8
Delacruz,901.7,0.764,385.7,133.7,516.0
Victor Leksell,901.3,0.489,693.2,622.2,208.2
Annalisa,901.3,0.814,639.5,514.2,261.8
Bloc Party,901.1,0.357,901.1,895.6,""
Muni Long,901.1,1.176,509.8,475.2,391.3
Harry Nach,901.0,0.597,624.0,376.2,277.0
Ryan Adams,901.0,0.165,901.0,901.0,""
Guyon Waton,900.5,1.779,778.4,679.4,122.1
Klangkarussell,899.9,0.407,894.1,407.3,5.9
Night Skinny,899.9,0.549,583.9,0.4,316.0
Erik Satie,899.9,0.536,899.9,1.7,""
Madvillain,899.7,0.610,897.9,6.3,1.8
Krono,899.4,0.347,19.1,0.5,880.2
Nils Frahm,899.2,0.244,767.2,751.5,131.9
Leslie Grace,899.1,0.147,538.4,67.2,360.8
Alexander 23,899.0,0.263,799.2,761.9,99.8
Guy Sebastian,897.8,0.194,886.4,449.7,11.4
Pat Benatar,897.4,0.479,897.0,897.0,0.4
MC Joãozinho VT,897.4,1.067,208.8,9.8,688.7
Young Buck,897.0,0.367,622.4,163.4,274.6
Marco Borsato,896.7,0.169,877.7,523.2,19.0
Kubi Producent,896.6,0.893,108.3,0.1,788.3
LCD Soundsystem,896.2,0.293,883.9,876.3,12.3
James Carter,896.1,0.821,320.4,59.1,575.7
Dr. Dog,895.5,0.484,895.2,895.2,0.4
Irshad Kamil,895.3,1.649,"","",895.3
The Glitch Mob,895.3,0.233,441.5,311.8,453.8
Alta Consigna,894.4,0.488,890.8,890.2,3.6
Styles Of Beyond,894.3,0.296,78.4,16.4,815.9
Nea,893.7,0.149,722.7,289.1,170.9
Toploader,893.6,0.735,893.6,893.5,""
Nora En Pure,893.4,0.298,815.4,714.0,78.0
Encanto - Cast,893.1,0.399,"","",893.1
The War On Drugs,893.0,0.290,890.5,860.4,2.6
Zak Abel,892.7,0.851,271.0,213.3,621.7
DaniLeigh,892.6,0.193,838.8,305.8,53.8
Ícaro e Gilmar,892.5,1.055,763.1,683.4,129.4
Jesse McCartney,892.5,0.317,892.5,854.3,""
Yuri,892.4,0.411,789.7,518.4,102.7
Richard Marx,892.3,0.531,890.4,869.0,2.0
Alan Gomez,892.3,0.466,504.9,59.0,387.5
Payung Teduh,891.9,0.884,891.9,801.1,""
Switchfoot,891.7,0.311,883.1,804.4,8.6
GZA,891.2,0.367,360.8,119.9,530.5
Sam Tinnesz,891.1,0.587,709.2,291.4,181.9
Kraantje Pappie,890.8,0.362,407.7,189.8,483.1
Of Mice & Men,890.7,0.364,888.1,882.4,2.6
StaySolidRocky,890.6,0.394,884.4,740.7,6.2
Hollow Coves,890.5,0.855,846.6,830.7,43.9
Yahritza Y Su Esencia,890.3,0.574,839.1,333.5,51.2
IZAL,890.2,0.386,871.1,860.2,19.1
John Summit,890.0,1.764,711.3,191.2,178.8
Juicy Luicy,890.0,2.292,846.3,822.4,43.7
Pras,888.1,0.459,205.5,3.6,682.6
Pk,888.0,0.431,587.1,16.1,300.9
Mumuzinho,887.6,0.377,641.1,567.9,246.4
Los Panchos,887.5,0.911,783.4,609.0,104.2
Crazy Mano,887.1,1.347,13.6,11.9,873.5
Boomdabash,886.7,0.398,715.1,269.6,171.6
Walk off the Earth,886.4,0.322,801.0,662.4,85.4
The Hollies,886.0,0.550,886.0,886.0,""
Diego Verdaguer,885.0,0.651,844.5,763.3,40.5
Andre Hazes,884.9,0.368,873.2,818.2,11.7
Uncle Kracker,884.8,0.444,746.3,742.9,138.5
Leonardo,884.5,0.523,650.2,197.6,234.3
Salaam Remi,883.8,0.542,57.2,"",826.6
Bad Wolves,883.7,0.746,869.2,803.8,14.6
Natalie Imbruglia,882.8,0.659,881.5,880.8,1.3
City and Colour,882.5,0.193,882.5,882.5,""
Light,881.9,0.879,528.2,199.3,353.8
Stunna 4 Vegas,881.9,0.334,320.3,59.1,561.6
Unlike Pluto,881.1,0.303,852.5,434.3,28.5
Prezioso,879.9,0.812,237.7,2.3,642.2
Azealia Banks,879.7,0.483,797.7,507.4,81.9
Sidoka,879.3,0.289,749.5,539.4,129.8
Faye Webster,878.4,1.523,854.9,840.9,23.5
Jack Stauber's Micropop,877.5,0.619,877.5,877.5,""
Drowning Pool,877.5,0.452,868.2,868.2,9.3
Count Basie,876.9,0.414,117.2,109.5,759.8
Ludwig Göransson,876.4,0.676,730.7,635.6,145.8
Skip Marley,876.1,0.242,201.8,58.1,674.3
JayDaYoungan,875.7,0.468,857.0,744.2,18.7
Maikel Delacalle,875.7,0.516,546.5,374.8,329.2
Fidel Rueda,875.5,0.676,868.6,864.9,6.9
Amaranthe,875.5,0.290,874.5,839.4,0.9
Ulises Bueno,875.3,0.804,529.8,512.9,345.5
Los Palmeras,874.9,0.391,713.3,446.4,161.6
Charles Aznavour,874.9,0.992,861.9,830.8,13.0
BIBI,874.6,0.911,603.0,577.7,271.6
Mayday,874.0,0.456,866.7,805.8,7.3
Julie Bergan,873.7,0.178,312.0,252.8,561.7
Ben Platt,873.1,0.233,865.3,586.7,7.7
Raymix,873.1,0.469,763.0,522.4,110.1
IZ*ONE,872.9,0.333,859.9,859.9,13.1
Roar,872.7,0.765,872.7,867.7,""
Kizz Daniel,872.7,1.350,731.2,452.7,141.4
Ace Hood,872.0,0.160,800.0,439.5,72.0
Naiara Azevedo,871.9,0.226,761.9,286.3,110.0
t.A.T.u.,871.6,0.456,866.4,847.6,5.2
salem ilese,871.5,0.406,577.4,399.3,294.2
Güneş,871.4,0.723,667.4,492.3,204.0
Josh Groban,871.0,0.231,834.5,625.1,36.5
