Artist,Streams,Daily,As lead,Solo,As feature
Young Thug,"23,957.9",7.677,"8,037.2","2,017.0","15,920.7"
Shawn Mendes,"23,871.4",6.508,"23,192.6","17,846.0",678.8
Sam Smith,"23,541.1",7.556,"19,942.5","14,876.8","3,598.6"
KAROL G,"23,532.5",16.277,"17,332.8","7,875.3","6,199.6"
Farruko,"22,866.1",6.794,"6,256.1","3,512.8","16,610.0"
SZA,"22,700.1",21.846,"14,752.0","11,291.9","7,948.1"
Queen,"22,391.6",9.648,"22,330.1","20,609.1",61.5
Myke Towers,"22,375.3",15.321,"8,001.1","5,686.9","14,374.2"
Doja Cat,"22,139.0",11.373,"18,116.8","13,053.3","4,022.2"
Harry Styles,"21,814.3",10.634,"21,814.3","21,814.3",""
Lady Gaga,"21,548.5",10.824,"21,080.1","14,138.1",468.4
Selena Gomez,"21,259.8",6.424,"12,681.4","9,184.4","8,578.4"
One Direction,"21,138.1",10.021,"21,138.1","21,055.0",""
Ty Dolla $ign,"20,958.8",7.912,"4,171.3",282.7,"16,787.5"
Adele,"20,828.5",9.344,"20,786.3","20,653.7",42.2
Feid,"20,775.5",24.433,"11,114.3","6,007.7","9,661.2"
Nicky Jam,"20,716.8",5.458,"8,372.1","2,193.0","12,344.7"
Halsey,"20,657.5",5.542,"11,347.2","10,031.5","9,310.3"
Shakira,"20,617.7",11.474,"15,654.3","7,296.1","4,963.4"
Katy Perry,"19,495.2",9.592,"17,088.9","13,084.7","2,406.3"
Wiz Khalifa,"19,232.8",6.394,"8,716.3","3,275.5","10,516.5"
Metro Boomin,"19,208.3",23.418,"9,352.6",96.2,"9,855.7"
The Beatles,"19,195.3",9.275,"19,193.1","19,005.2",2.2
Linkin Park,"19,153.8",11.684,"17,806.0","16,746.1","1,347.8"
Gunna,"19,048.1",15.483,"6,764.4","3,853.0","12,283.7"
The Chainsmokers,"18,955.6",6.697,"18,335.2","3,269.4",620.5
Marshmello,"18,710.8",8.088,"13,749.1","1,501.3","4,961.7"
Arijit Singh,"18,473.3",23.153,"7,250.4","3,705.1","11,222.9"
Cardi B,"18,454.4",5.004,"8,534.7","3,394.2","9,919.8"
Arctic Monkeys,"18,430.8",10.975,"18,430.8","18,430.8",""
Miley Cyrus,"18,131.5",8.349,"15,590.9","13,678.5","2,540.6"
JAY-Z,"17,619.7",7.931,"9,694.0","2,136.7","7,925.7"
Olivia Rodrigo,"17,497.2",16.991,"17,495.1","16,078.2",2.1
Camila Cabello,"17,283.9",5.609,"9,879.4","5,084.6","7,404.5"
DaBaby,"17,252.8",4.066,"8,015.7","4,473.1","9,237.1"
A$AP Rocky,"16,928.3",9.404,"9,289.6","3,636.1","7,638.6"
Avicii,"16,764.0",6.006,"15,719.5","10,660.5","1,044.5"
Pitbull,"16,714.4",9.754,"11,652.3","1,513.6","5,062.1"
Kygo,"16,269.1",5.554,"14,575.0",212.6,"1,694.1"
Twenty One Pilots,"16,222.4",11.650,"16,218.7","16,161.7",3.7
Quavo,"16,219.8",3.923,"2,015.7",692.9,"14,204.0"
Sech,"15,958.1",5.677,"6,335.1","2,007.8","9,623.1"
Frank Ocean,"15,857.1",12.364,"12,629.7","11,657.2","3,227.4"
Morgan Wallen,"15,786.4",24.252,"13,899.9","12,903.9","1,886.5"
"Tyler, The Creator","15,668.2",10.787,"13,177.5","6,849.7","2,490.7"
OneRepublic,"15,283.7",9.861,"14,000.4","12,291.0","1,283.3"
Red Hot Chili Peppers,"15,250.8",7.710,"15,250.8","15,250.0",""
Tyga,"15,130.3",3.771,"6,546.8","2,462.5","8,583.5"
Snoop Dogg,"15,028.0",6.653,"5,734.8","1,360.5","9,293.2"
Trippie Redd,"14,957.6",5.615,"9,544.9","4,962.2","5,412.7"
Jason Derulo,"14,691.4",3.575,"11,225.6","6,748.6","3,465.8"
Peso Pluma,"14,589.1",20.090,"6,825.9","1,252.7","7,763.2"
Arcángel,"14,534.7",8.315,"5,624.0","1,412.6","8,910.8"
Michael Jackson,"14,356.0",6.955,"13,666.4","12,612.8",689.6
Mac Miller,"14,351.8",6.690,"13,264.3","9,503.0","1,087.5"
Bebe Rexha,"14,282.3",5.554,"5,126.9","2,462.8","9,155.3"
A Boogie Wit da Hoodie,"14,008.3",5.084,"9,167.9","4,887.7","4,840.5"
Demi Lovato,"14,001.2",3.280,"9,217.4","8,083.1","4,783.8"
$uicideboy$,"13,961.4",10.666,"13,556.1","10,913.8",405.3
Charlie Puth,"13,887.3",5.967,"11,034.2","6,517.7","2,853.1"
Swae Lee,"13,856.4",5.557,398.5,121.0,"13,457.8"
Playboi Carti,"13,854.0",14.576,"8,930.0","5,928.9","4,924.1"
Pop Smoke,"13,841.7",4.653,"12,490.1","6,635.1","1,351.6"
Tiësto,"13,810.9",9.912,"10,700.0","2,825.5","3,110.9"
Elton John,"13,759.8",7.115,"12,423.3","8,670.4","1,336.6"
YoungBoy Never Broke Again,"13,639.5",5.864,"10,052.9","8,799.9","3,586.6"
50 Cent,"13,521.4",8.407,"9,256.9","5,504.8","4,264.5"
Big Sean,"13,486.2",2.611,"6,268.9","1,996.9","7,217.3"
Migos,"13,466.6",2.709,"9,063.4","4,192.4","4,403.2"
Kodak Black,"13,400.7",5.166,"8,842.5","5,453.8","4,558.2"
Sebastian Yatra,"13,293.0",5.020,"8,791.8","3,666.6","4,501.2"
Pritam,"13,236.6",15.981,"11,282.2",6.0,"1,954.4"
BLACKPINK,"13,120.4",5.542,"12,111.2","11,345.7","1,009.2"
Manuel Turizo,"12,961.8",7.185,"6,295.2","4,161.1","6,666.6"
Junior H,"12,957.7",20.105,"8,354.1","5,641.0","4,603.6"
Metallica,"12,915.5",6.674,"12,871.5","12,706.9",44.1
Romeo Santos,"12,863.9",7.014,"8,895.5","5,016.8","3,968.4"
G-Eazy,"12,696.9",3.891,"9,504.1","1,424.3","3,192.7"
Diplo,"12,618.5",3.986,"4,187.9",30.7,"8,430.6"
Daft Punk,"12,593.8",5.552,"7,487.9","4,498.9","5,105.8"
Ellie Goulding,"12,537.5",4.363,"8,971.0","6,884.1","3,566.5"
Jhayco,"12,456.9",7.265,"5,213.4","1,348.6","7,243.5"
Justin Timberlake,"12,454.2",5.285,"9,008.0","6,388.0","3,446.2"
Die drei ???,"12,436.2",6.733,"12,436.2","12,386.9",""
Polo G,"12,414.7",4.784,"8,771.4","5,703.2","3,643.3"
Gucci Mane,"12,402.7",3.073,"5,862.1","1,206.6","6,540.6"
Alan Walker,"12,380.5",5.540,"10,284.2","3,821.5","2,096.3"
P!nk,"12,353.0",5.247,"11,162.5","8,380.9","1,190.4"
DJ Snake,"12,347.4",4.103,"9,336.0",444.5,"3,011.5"
Sean Paul,"12,161.9",5.338,"6,046.9","2,488.9","6,115.1"
The Neighbourhood,"12,107.7",9.495,"12,101.2","11,661.0",6.5
James Arthur,"12,011.0",5.910,"10,883.8","9,518.4","1,127.2"
2 Chainz,"11,963.9",2.383,"3,627.1",808.6,"8,336.8"
Marília Mendonça,"11,939.2",4.447,"8,652.2","5,863.6","3,287.0"
Justin Quiles,"11,915.5",5.354,"3,562.5","1,601.1","8,352.9"
AC/DC,"11,782.0",7.600,"11,782.0","11,782.0",""
Tory Lanez,"11,733.7",5.435,"7,683.1","5,111.3","4,050.6"
Bizarrap,"11,703.9",8.353,"9,871.5",72.2,"1,832.4"
Panic! At The Disco,"11,694.0",3.085,"10,838.2","10,505.9",855.8
Offset,"11,632.5",4.784,"3,079.1",513.2,"8,553.4"
Logic,"11,537.3",1.982,"9,283.1","4,910.0","2,254.2"
Luis Miguel,"11,502.9",6.846,"11,492.6","11,481.4",10.3
Lil Durk,"11,498.1",5.386,"4,919.9","2,020.7","6,578.2"
USHER,"11,482.8",6.315,"8,392.9","3,643.3","3,089.9"
Disney,"11,382.0",6.195,"","","11,382.0"
Lil Nas X,"11,364.5",2.838,"11,350.7","6,441.3",13.8
Roddy Ricch,"11,347.1",3.308,"5,396.2","3,967.1","5,950.9"
Luke Combs,"11,337.1",11.858,"10,810.3","10,239.3",526.8
Lil Peep,"11,231.6",5.771,"10,657.5","5,369.3",574.1
Fall Out Boy,"11,193.0",4.498,"10,107.2","9,354.5","1,085.9"
Martin Garrix,"11,171.6",2.594,"10,092.1",789.1,"1,079.5"
Kid Cudi,"11,169.9",4.200,"8,043.6","4,411.7","3,126.3"
Pharrell Williams,"11,153.7",4.137,"2,770.6","2,060.8","8,383.0"
NF,"10,978.1",4.240,"10,808.7","9,732.4",169.4
Major Lazer,"10,966.7",3.119,"9,598.4",33.5,"1,368.3"
Duki,"10,964.6",6.675,"5,242.3","2,294.4","5,722.3"
Nirvana,"10,884.6",5.805,"10,884.6","10,884.1",""
Don Omar,"10,874.5",7.998,"8,798.8","4,695.9","2,075.7"
Britney Spears,"10,788.3",5.739,"9,339.2","8,810.9","1,449.1"
Lenny Tavárez,"10,784.8",5.830,866.4,154.3,"9,918.4"
Akon,"10,776.8",6.824,"5,058.5","2,652.3","5,718.3"
John Mayer,"10,713.2",3.036,"9,991.6","9,723.9",721.5
Lewis Capaldi,"10,709.8",4.696,"10,709.8","10,282.8",""
Anitta,"10,687.1",5.050,"5,300.7","2,326.7","5,386.4"
Joji,"10,667.1",4.040,"9,859.9","8,711.4",807.2
The Kid LAROI,"10,621.8",4.633,"9,329.8","3,834.6","1,292.0"
Wisin,"10,582.3",2.849,"3,841.9",507.4,"6,740.3"
blackbear,"10,579.3",2.008,"7,275.2","5,841.5","3,304.1"
Henrique & Juliano,"10,554.4",7.670,"8,645.6","8,355.7","1,908.8"
Flo Rida,"10,508.5",5.164,"8,479.9","3,233.6","2,028.6"
Kali Uchis,"10,439.6",9.040,"6,204.1","4,297.8","4,235.5"
Green Day,"10,438.2",4.969,"10,350.4","10,350.4",87.8
mgk,"10,436.2",3.132,"8,966.5","3,448.0","1,469.7"
Black Eyed Peas,"10,417.2",5.230,"10,060.2","7,099.0",357.0
Becky G,"10,408.4",4.334,"6,717.5","1,701.3","3,690.9"
5 Seconds of Summer,"10,353.9",2.826,"9,703.8","9,239.5",650.1
Natanael Cano,"10,344.0",17.945,"7,074.3","4,028.2","3,269.6"
Anne-Marie,"10,316.6",3.880,"4,194.6","3,193.6","6,122.0"
ROSALÍA,"10,286.6",4.044,"6,957.7","3,712.4","3,328.9"
Hozier,"10,265.1",13.362,"9,514.2","9,254.4",750.9
Fleetwood Mac,"10,215.9",6.298,"10,215.8","10,215.3",0.2
Bob Marley & The Wailers,"10,213.0",7.424,"10,098.6","9,351.2",114.4
Macklemore,"10,204.7",4.889,"2,460.1",356.9,"7,744.7"
Lil Yachty,"10,137.4",4.194,"4,143.1","1,732.4","5,994.3"
Robin Schulz,"10,109.4",2.938,"5,983.6",332.5,"4,125.8"
Camilo,"10,013.7",5.198,"6,055.1","2,695.8","3,958.5"
Zedd,"10,013.1",2.202,"6,801.5",215.1,"3,211.6"
ZAYN,"9,990.6",3.615,"9,012.7","4,590.4",977.9
Lil Tjay,"9,937.3",3.554,"6,724.2","3,789.9","3,213.0"
Lauv,"9,898.8",2.385,"8,888.0","5,973.3","1,010.9"
Jack Harlow,"9,891.4",5.248,"6,616.5","4,266.1","3,274.9"
Zara Larsson,"9,890.8",3.578,"6,600.0","4,847.1","3,290.8"
Chance the Rapper,"9,885.8",1.948,"3,876.2",646.7,"6,009.6"
Jorge & Mateus,"9,775.5",5.207,"7,270.6","7,131.7","2,504.9"
Zion & Lennox,"9,768.8",2.849,"3,638.4","1,839.7","6,130.4"
French Montana,"9,748.6",2.993,"4,823.3",296.9,"4,925.3"
Morat,"9,747.5",5.849,"7,953.9","5,742.7","1,793.6"
John Legend,"9,618.9",2.691,"6,007.4","4,794.5","3,611.5"
Childish Gambino,"9,616.1",4.775,"8,812.5","7,918.1",803.6
Ne-Yo,"9,604.7",6.630,"4,637.2","4,064.4","4,967.6"
Bryson Tiller,"9,580.3",7.268,"6,224.1","5,960.6","3,356.2"
2Pac,"9,574.2",4.753,"9,361.4","3,936.7",212.8
Christian Nodal,"9,565.5",6.103,"6,720.5","5,740.1","2,844.9"
Little Mix,"9,563.6",2.001,"8,251.9","6,003.9","1,311.7"
DJ Khaled,"9,556.0",2.833,"8,890.3",535.2,665.7
Michael Bublé,"9,535.0",2.006,"9,040.7","7,824.5",494.3
Pink Floyd,"9,505.2",4.117,"9,505.2","9,503.2",""
Dr. Dre,"9,477.2",5.603,"6,179.0",435.6,"3,298.3"
Guns N' Roses,"9,437.6",5.212,"9,437.6","9,437.5",""
Ava Max,"9,435.3",5.081,"6,410.5","5,953.4","3,024.8"
Skrillex,"9,368.5",2.857,"4,464.5",779.0,"4,904.1"
Enrique Iglesias,"9,360.9",4.158,"7,871.3","2,280.4","1,489.6"
Mariah Carey,"9,336.1",3.672,"8,447.0","6,949.3",889.1
The Rolling Stones,"9,327.7",5.192,"9,312.2","9,157.9",15.5
Miguel,"9,224.3",4.893,"5,139.8","3,579.4","4,084.5"
Megan Thee Stallion,"9,221.7",4.760,"5,400.7","3,322.0","3,821.0"
Fuerza Regida,"9,206.2",13.813,"7,222.2","3,427.8","1,983.9"
Gorillaz,"9,202.9",4.789,"9,200.8","5,791.4",2.1
Meghan Trainor,"9,199.5",3.779,"7,437.6","5,897.0","1,761.9"
Banda MS de Sergio Lizárraga,"9,139.3",5.257,"8,416.9","7,819.3",722.5
Yandel,"9,137.9",5.403,"4,362.8",914.0,"4,775.1"
Don Toliver,"9,106.2",8.130,"4,584.6","3,125.8","4,521.6"
Rick Ross,"9,086.3",2.802,"2,615.1",616.2,"6,471.3"
Reik,"9,026.5",3.204,"7,615.8","3,760.8","1,410.7"
Gusttavo Lima,"8,863.6",5.142,"7,382.0","6,316.5","1,481.6"
Radiohead,"8,846.8",5.741,"8,846.8","8,785.0",""
Carin Leon,"8,774.6",13.248,"6,053.3","4,168.4","2,721.4"
Meek Mill,"8,759.5",2.168,"6,426.2","1,778.7","2,333.3"
Jul,"8,724.0",5.946,"6,651.0","5,290.9","2,073.0"
Labrinth,"8,652.6",3.653,"5,703.0","4,473.6","2,949.6"
Melanie Martinez,"8,589.9",6.860,"8,589.9","8,465.5",""
Darell,"8,547.0",2.854,"1,303.1",450.3,"7,243.9"
Clean Bandit,"8,503.1",2.405,"8,269.4",69.9,233.8
Florida Georgia Line,"8,499.7",2.262,"5,494.3","3,938.9","3,005.4"
Alessia Cara,"8,482.3",1.704,"5,371.5","5,198.5","3,110.8"
Zach Bryan,"8,468.1",20.541,"8,468.1","6,938.6",""
TWICE,"8,462.8",4.412,"8,407.5","8,363.1",55.3
Alicia Keys,"8,462.1",3.768,"6,050.7","5,361.1","2,411.4"
Tame Impala,"8,416.1",5.383,"7,779.7","7,683.8",636.4
Russ,"8,342.6",2.648,"8,040.4","7,036.4",302.2
Wisin & Yandel,"8,259.8",4.799,"5,633.7","3,258.0","2,626.1"
ABBA,"8,224.1",5.731,"8,224.1","8,224.1",""
Quevedo,"8,223.9",5.628,"4,221.7","2,834.6","4,002.3"
System Of A Down,"8,164.2",5.161,"8,163.4","8,144.8",0.9
Rels B,"8,126.9",9.132,"6,676.0","5,370.4","1,450.9"
Elvis Presley,"8,122.9",3.890,"8,080.4","7,397.0",42.5
Foo Fighters,"8,093.2",3.648,"8,089.8","8,083.3",3.3
Troye Sivan,"8,090.9",3.117,"5,743.5","4,809.0","2,347.4"
Christina Aguilera,"8,088.6",3.442,"4,528.9","3,445.1","3,559.7"
Lorde,"8,076.7",2.613,"7,757.7","7,411.2",319.0
Jonas Blue,"8,062.6",2.187,"6,623.2",32.2,"1,439.4"
Jeremih,"8,057.8",1.972,"4,264.4","1,697.5","3,793.5"
U2,"8,050.9",3.958,"7,597.7","7,391.2",453.2
Ninho,"8,050.5",3.480,"4,651.5","3,545.4","3,399.0"
Luis Fonsi,"8,041.0",2.358,"7,110.6","1,142.9",930.4
blink-182,"8,036.8",3.985,"7,925.5","7,889.8",111.3
David Bowie,"7,995.2",3.293,"6,339.3","6,199.1","1,655.9"
Mora,"7,993.2",6.834,"6,050.4","2,222.5","1,942.8"
Kesha,"7,991.4",4.431,"5,127.0","4,650.7","2,864.4"
Eladio Carrion,"7,981.5",5.824,"5,928.9","2,055.1","2,052.6"
Frank Sinatra,"7,981.2",3.375,"7,725.3","6,303.6",255.9
Daniel Caesar,"7,969.8",5.642,"6,014.3","3,076.9","1,955.5"
Jhené Aiko,"7,905.0",3.501,"4,342.5","2,218.8","3,562.6"
Tate McRae,"7,890.4",7.788,"6,855.3","6,427.8","1,035.1"
Bastille,"7,844.9",2.519,"5,148.9","4,706.1","2,696.1"
The 1975,"7,841.9",3.049,"7,623.6","7,602.6",218.3
The Notorious B.I.G.,"7,839.6",3.124,"6,591.8","4,835.5","1,247.8"
Julia Michaels,"7,801.5",1.744,"3,699.6","2,678.6","4,101.9"
Madonna,"7,782.0",4.779,"6,691.6","5,638.1","1,090.5"
Ñengo Flow,"7,781.2",5.147,"1,589.6",590.0,"6,191.6"
The Killers,"7,739.3",3.351,"7,738.7","7,576.2",0.5
YG,"7,739.2",1.687,"3,593.8",919.8,"4,145.4"
Brent Faiyaz,"7,732.7",7.880,"5,884.1","5,127.9","1,848.6"
PARTYNEXTDOOR,"7,680.3",4.768,"4,852.4","3,089.2","2,827.9"
NAV,"7,658.8",1.613,"4,940.3","1,635.6","2,718.5"
Grupo Firme,"7,653.4",4.709,"5,466.2","1,738.4","2,187.2"
Creedence Clearwater Revival,"7,650.3",5.885,"7,650.3","7,646.0",""
Kehlani,"7,609.6",2.532,"3,980.7","2,682.9","3,628.9"
Rammstein,"7,607.7",5.659,"7,607.7","7,501.2",""
Dalex,"7,602.1",3.969,"3,375.1",415.2,"4,227.0"
Chencho Corleone,"7,579.9",5.041,266.4,140.6,"7,313.5"
Paramore,"7,576.6",3.426,"7,576.6","7,540.4",""
T-Pain,"7,573.2",3.804,"3,185.6",570.9,"4,387.5"
Stray Kids,"7,530.3",6.502,"7,465.2","7,240.9",65.1
Tainy,"7,523.4",4.042,"3,492.4",3.2,"4,031.1"
Slipknot,"7,519.7",4.082,"7,519.7","7,519.7",""
Anirudh Ravichander,"7,515.6",7.378,"6,062.7","1,479.6","1,452.9"
Paulo Londra,"7,498.0",2.612,"5,966.6","4,804.3","1,531.4"
Alok,"7,485.1",5.800,"5,962.3",226.9,"1,522.7"
Bon Jovi,"7,401.0",4.637,"7,399.1","7,309.2",1.9
Led Zeppelin,"7,389.1",2.952,"7,389.1","7,389.1",""
Lil Tecca,"7,361.4",5.549,"6,436.4","5,140.6",925.0
De La Ghetto,"7,264.2",3.213,"1,148.6",360.2,"6,115.6"
Zé Neto & Cristiano,"7,262.0",5.817,"6,284.6","6,033.0",977.5
Tove Lo,"7,188.4",1.828,"4,543.9","3,359.9","2,644.5"
Maria Becerra,"7,182.5",5.704,"2,549.2","1,767.4","4,633.3"
Marc Anthony,"7,158.7",2.947,"4,426.8","4,177.4","2,731.9"
Anderson .Paak,"7,122.7",2.805,"2,164.4","1,139.6","4,958.3"
The Lumineers,"7,087.3",3.274,"6,921.6","6,906.8",165.7
6ix9ine,"7,030.5",1.814,"5,687.0","1,955.6","1,343.5"
Rita Ora,"6,984.0",1.457,"3,498.2","2,642.5","3,485.7"
Bryant Myers,"6,974.9",5.369,"2,176.4",655.0,"4,798.6"
Bring Me The Horizon,"6,915.7",8.118,"6,419.6","5,671.8",496.0
Wizkid,"6,892.4",3.172,"1,701.5",611.7,"5,190.9"
Jonas Brothers,"6,883.2",2.361,"5,376.3","5,144.3","1,506.9"
NATTI NATASHA,"6,882.2",1.797,"3,025.0",640.2,"3,857.2"
6LACK,"6,873.6",1.776,"3,284.7","2,229.5","3,589.0"
Luke Bryan,"6,855.1",3.108,"5,927.3","5,835.8",927.8
Rae Sremmurd,"6,849.8",1.420,"6,073.3","3,361.8",776.5
Matheus & Kauan,"6,829.6",3.435,"5,400.9","3,837.1","1,428.7"
Bonez MC,"6,821.5",2.435,"3,668.1",792.2,"3,153.4"
Sfera Ebbasta,"6,817.7",3.876,"2,979.2","1,760.5","3,838.4"
Oasis,"6,803.0",3.690,"6,803.0","6,802.2",""
Måneskin,"6,795.3",5.512,"6,785.1","6,505.2",10.3
Muse,"6,771.8",2.650,"6,771.8","6,744.9",""
Ludacris,"6,767.0",3.514,"1,762.2",557.6,"5,004.8"
T.I.,"6,763.0",2.012,"3,467.8","1,284.5","3,295.2"
Jennifer Lopez,"6,741.7",2.702,"5,500.5","2,268.3","1,241.2"
Niall Horan,"6,713.0",2.429,"5,434.2","5,071.5","1,278.8"
Fetty Wap,"6,695.7",1.491,"4,136.1","2,336.6","2,559.6"
My Chemical Romance,"6,690.6",3.742,"6,690.6","6,654.9",""
Charli XCX,"6,686.6",3.976,"3,313.0","2,056.6","3,373.6"
Summer Walker,"6,680.6",5.288,"5,426.9","2,636.0","1,253.8"
Conan Gray,"6,667.1",3.897,"6,507.7","6,507.7",159.3
Felix Jaehn,"6,603.9",2.529,"2,982.8",50.1,"3,621.1"
Jack Johnson,"6,593.8",3.112,"6,348.1","6,165.2",245.7
JID,"6,533.0",3.690,"1,967.8",835.6,"4,565.2"
League of Legends,"6,498.1",3.048,"2,808.8",371.0,"3,689.3"
Florence + The Machine,"6,492.1",4.024,"6,360.3","5,930.8",131.8
Chris Stapleton,"6,451.4",6.210,"5,268.7","5,268.7","1,182.7"
Aventura,"6,446.9",6.759,"6,395.8","4,323.4",51.1
Grupo Frontera,"6,445.3",9.586,"4,106.0","1,215.2","2,339.3"
Mitski,"6,428.1",7.899,"6,385.7","6,385.7",42.4
Glass Animals,"6,417.7",2.916,"6,404.3","5,937.8",13.4
Juicy J,"6,416.2",1.943,"1,375.0",123.6,"5,041.2"
Nickelback,"6,410.9",3.855,"6,410.9","6,372.7",""
Maná,"6,392.5",4.085,"6,392.1","4,886.4",0.4
Steve Lacy,"6,349.6",5.522,"5,486.9","5,390.8",862.6
Piso 21,"6,333.6",1.867,"5,635.4","1,306.4",698.2
NLE Choppa,"6,329.7",3.959,"4,973.3","3,088.2","1,356.4"
Whitney Houston,"6,297.1",3.088,"5,336.6","4,743.2",960.4
R3HAB,"6,267.6",2.413,"3,700.7",172.1,"2,566.9"
RAF Camora,"6,259.0",2.088,"2,653.3","1,236.2","3,605.7"
Cartel De Santa,"6,246.0",3.781,"5,797.7","3,948.6",448.3
Jess Glynne,"6,244.4",2.012,"2,619.8","2,307.6","3,624.6"
Bruce Springsteen,"6,190.4",3.414,"6,122.0","6,109.7",68.3
Kevin Gates,"6,164.6",1.617,"5,209.5","4,522.4",955.1
Stevie Wonder,"6,160.3",2.616,"5,698.7","5,511.2",461.6
Alesso,"6,158.0",1.798,"3,588.0",716.1,"2,570.0"
Shreya Ghoshal,"6,155.6",8.331,"1,032.4",458.1,"5,123.3"
Hailee Steinfeld,"6,145.2",0.949,"5,563.0","2,251.9",582.2
Mark Ronson,"6,142.6",2.798,"4,412.7",9.7,"1,729.9"
ScHoolboy Q,"6,134.5",1.834,"3,827.4","1,376.9","2,307.1"
MØ,"6,125.3",1.653,"1,564.0","1,260.9","4,561.3"
Kelly Clarkson,"6,113.1",1.894,"5,801.8","5,449.8",311.3
Prince Royce,"6,109.0",2.781,"4,580.6","2,969.8","1,528.4"
Mumford & Sons,"6,108.6",1.502,"5,923.4","5,689.8",185.3
Steve Aoki,"6,094.8",1.300,"3,423.4",12.3,"2,671.4"
Burna Boy,"6,078.1",4.496,"3,612.1","2,561.3","2,466.0"
Avril Lavigne,"6,071.8",3.329,"5,925.2","5,629.3",146.6
Kings of Leon,"6,069.1",2.878,"6,069.1","6,053.7",""
Giveon,"6,067.9",2.929,"3,531.5","3,474.9","2,536.4"
Sabrina Carpenter,"6,060.4",16.457,"4,866.1","4,727.2","1,194.3"
Alejandro Fernández,"6,039.8",2.565,"5,607.2","4,579.2",432.5
Bazzi,"6,016.3",1.434,"5,931.9","5,000.9",84.4
Amy Winehouse,"6,012.6",5.358,"5,419.3","5,284.4",593.2
Vance Joy,"5,994.4",3.059,"5,837.7","5,740.8",156.7
Jung Kook,"5,991.5",9.186,"4,842.1","1,805.1","1,149.4"
Luis R Conriquez,"5,989.1",11.034,"2,983.3","1,404.5","3,005.8"
Maiara & Maraisa,"5,952.4",3.242,"2,237.1","1,873.9","3,715.3"
Danny Ocean,"5,951.5",3.674,"4,620.4","4,436.1","1,331.1"
El Alfa,"5,942.8",4.365,"3,095.1",497.0,"2,847.7"
Aerosmith,"5,934.4",2.695,"5,675.0","5,667.7",259.4
Billy Joel,"5,930.8",4.283,"5,880.0","5,845.3",50.9
TINI,"5,914.7",4.488,"4,330.3","1,252.9","1,584.4"
Kane Brown,"5,901.9",2.974,"4,035.9","2,570.5","1,866.0"
Timbaland,"5,899.5",3.998,"2,651.9",22.9,"3,247.6"
Disclosure,"5,891.7",2.252,"5,679.7",579.1,212.0
The Script,"5,886.5",3.032,"5,865.3","4,420.1",21.2
Mac DeMarco,"5,877.6",4.629,"5,813.4","5,808.1",64.2
Wesley Safadão,"5,872.5",4.536,"3,949.6","2,402.5","1,922.9"
Five Finger Death Punch,"5,859.7",2.200,"5,859.7","5,523.2",""
Lost Frequencies,"5,856.6",3.978,"5,498.5","1,537.2",358.1
Nate Dogg,"5,847.9",3.005,866.6,157.2,"4,981.4"
Brytiago,"5,828.8",2.725,"2,111.1",137.5,"3,717.7"
Yeat,"5,807.5",7.200,"5,287.8","4,578.4",519.7
Lizzo,"5,780.1",1.287,"5,627.1","4,593.3",153.0
Calibre 50,"5,764.0",2.392,"5,260.9","4,834.6",503.1
Rex Orange County,"5,751.4",2.240,"5,331.5","4,708.7",419.9
Ski Mask The Slump God,"5,728.9",1.700,"3,879.9","2,625.6","1,849.0"
Cheat Codes,"5,695.5",0.603,"3,749.1",192.3,"1,946.4"
H.E.R.,"5,690.0",2.564,"3,096.8","1,835.2","2,593.2"
The Offspring,"5,675.4",3.289,"5,675.4","5,585.9",""
Macklemore & Ryan Lewis,"5,668.1",2.802,"5,668.1",110.5,""
Johnny Cash,"5,658.3",3.294,"4,941.2","4,071.9",717.1
Noah Kahan,"5,643.3",10.559,"5,261.3","4,215.4",382.0
YNW Melly,"5,636.0",1.744,"5,141.1","3,393.8",494.9
Jason Mraz,"5,631.7",1.587,"5,456.5","4,610.7",175.2
Backstreet Boys,"5,608.5",2.967,"5,305.2","5,280.8",303.3
Alejandro Sanz,"5,578.2",2.352,"4,121.2","3,260.4","1,457.0"
Ricardo Arjona,"5,571.8",2.745,"5,561.3","4,984.3",10.5
Ryan Lewis,"5,568.3",2.604,"","","5,568.3"
DJ Luian,"5,565.7",2.840,"1,058.3","","4,507.4"
Galantis,"5,560.3",1.911,"4,876.2","2,743.8",684.0
iann dior,"5,556.2",1.456,"2,640.7","1,397.5","2,915.5"
Thomas Rhett,"5,539.7",1.732,"5,122.0","4,200.5",417.8
Hans Zimmer,"5,535.1",4.380,"5,092.9","3,405.8",442.2
Bon Iver,"5,533.0",2.154,"3,770.2","3,770.2","1,762.8"
Capital Bra,"5,531.7",0.998,"3,938.3","1,520.3","1,593.4"
RAYE,"5,525.0",4.016,"1,982.2",496.2,"3,542.8"
Eagles,"5,501.3",2.904,"5,501.3","5,501.3",""
The Strokes,"5,491.9",3.361,"5,491.9","5,468.4",""
Nelly,"5,487.8",2.534,"4,545.5","1,645.2",942.3
Dave,"5,484.6",3.338,"4,816.6","1,835.2",668.0
SEVENTEEN,"5,453.9",5.335,"5,416.6","5,400.1",37.3
Disturbed,"5,452.4",3.221,"5,452.4","5,282.4",""
Juanes,"5,433.0",2.976,"3,533.0","2,794.1","1,899.9"
Trey Songz,"5,420.4",1.146,"3,814.7","2,669.3","1,605.7"
Calum Scott,"5,411.2",2.797,"3,609.2","3,067.7","1,802.0"
