Artist and Title,Days,Pk,(x?),Total,Today
George Ezra - Shotgun,459,10,"","3,129,448",0
J Balvin & Willy William - Mi Gente,280,1,(x1),"3,119,322",0
"benny blanco, Halsey & Khalid - Eastside",382,7,"","3,117,636",0
DJ Snake - Taki Taki,306,1,(x14),"3,116,412",0
Maroon 5 - Memories,335,4,"","3,100,130",0
The Weeknd - Save Your Tears,366,1,(x8),"3,067,787",111
Daddy Yankee - Con Calma,289,4,"","3,015,979",0
Doja Cat - Paint The Town Red,266,1,(x50),"3,005,352",182
The Chainsmokers & Coldplay - Something Just Like This,375,11,"","2,999,227",85
Travis Scott - HIGHEST IN THE ROOM,379,2,(x26),"2,985,483",401
Billie Eilish & Khalid - lovely,767,36,"","2,977,580",390
Post Malone & Swae Lee - Sunflower,435,9,"","2,974,035",86
Halsey - Without Me,319,3,(x2),"2,967,475",0
Olivia Rodrigo - drivers license,274,1,(x49),"2,967,334",0
Aya Nakamura - Djadja,728,26,"","2,961,388",0
Ariana Grande - No Tears Left to Cry,300,1,(x6),"2,951,333",0
Olivia Rodrigo - vampire,336,2,(x16),"2,940,053","1,758"
Apache 207 - Roller,688,26,"","2,934,763","1,081"
Marshmello - Silence,354,9,"","2,911,663",0
Loreen - Tattoo,391,2,(x28),"2,904,052",865
Michael Bublé - It's Beginning To Look a Lot Like Christmas,288,3,(x40),"2,882,571",0
Rema & Selena Gomez - Calm Down,446,3,(x13),"2,880,501",255
David Kushner - Daylight,371,2,(x26),"2,870,604","1,038"
Billie Eilish - bury a friend,374,2,(x16),"2,869,656",0
"cassö, RAYE & D-Block Europe - Prada",296,5,"","2,859,229","3,998"
Justin Bieber - Peaches,218,1,(x17),"2,798,906",0
Post Malone - Wow.,323,4,"","2,789,700",0
Masked Wolf - Astronaut In the Ocean,279,1,(x1),"2,783,820",0
Meduza - Piece Of Your Heart,244,4,"","2,778,334",0
Dua Lipa - Dance The Night,325,1,(x32),"2,759,480",397
"Metro Boomin, The Weeknd & 21 Savage - Creepin'",274,1,(x4),"2,753,677",0
Lady Gaga & Ariana Grande - Rain On Me,333,1,(x5),"2,753,408",0
Camila Cabello - Bam Bam,249,3,(x18),"2,741,519",0
Kenya Grace - Strangers,277,2,(x9),"2,709,199","2,194"
Luis Fonsi & Demi Lovato - Échame La Culpa,291,8,"","2,707,638",0
Pop Smoke - For the Night,281,4,"","2,705,708",0
Dua Lipa - IDGAF,259,5,"","2,700,410",250
Maroon 5 - Girls Like You,274,6,"","2,698,093",0
Imagine Dragons - Whatever It Takes,413,14,"","2,696,762",0
James Hype & Miggy Dela Rosa - Ferrari,419,2,(x5),"2,680,441",0
RAYE & 070 Shake - Escapism.,333,2,(x14),"2,673,629",375
Måneskin - I WANNA BE YOUR SLAVE,244,2,(x11),"2,673,546",0
David Guetta & Sia - Flames,239,3,(x7),"2,655,056",0
Dave & Central Cee - Sprinter,274,1,(x10),"2,645,740",665
Dean Lewis - Be Alright,295,11,"","2,630,052",0
Charlie Puth - Attention,261,4,"","2,625,681",0
Calvin Harris - Feels,239,4,"","2,610,953",0
"Calvin Harris, Rag’n’Bone Man - Giant",238,2,(x4),"2,596,945",0
Ed Sheeran - Beautiful People,268,4,"","2,594,243",0
Drake - In My Feelings,225,1,(x40),"2,592,666",0
Beyoncé - CUFF IT,356,3,(x5),"2,585,401",0
P!nk - What About Us,249,3,(x3),"2,572,793",0
Marshmello & Anne-Marie - FRIENDS,229,2,(x12),"2,571,635",0
Axwell Λ Ingrosso - More Than You Know,288,12,"","2,567,006",0
Cardi B - WAP,227,1,(x34),"2,560,317",0
"ATB, Topic & A7S - Your Love",398,6,"","2,552,008",0
Rema - Calm Down,541,16,"","2,537,410",0
Doja Cat - Woman,329,4,"","2,529,334",0
Tate McRae - you broke me first,278,6,"","2,503,008",0
Ed Sheeran - Galway Girl,304,16,"","2,478,620",0
Eminem - River,223,2,(x1),"2,448,120",0
Iñigo Quintero - Si No Estás,254,2,(x5),"2,421,351","2,582"
Kygo & Whitney Houston - Higher Love,381,8,"","2,408,566",0
Jonas Brothers - Sucker,226,1,(x16),"2,398,940",0
Juice WRLD - Lucid Dreams,358,2,(x2),"2,388,979",0
Selena Gomez & Marshmello - Wolves,213,5,"","2,383,929",0
XXXTENTACION - Moonlight,335,2,(x1),"2,370,925",0
Tiësto & Tate McRae - 10:35,341,8,"","2,366,880",120
Doja Cat - Kiss Me More,225,2,(x4),"2,353,332",0
Benson Boone - Beautiful Things,138,1,(x83),"2,345,476","16,601"
Harry Styles - Adore You,330,8,"","2,341,433",0
Trevor Daniel - Falling,229,5,"","2,340,573",0
Teddy Swims - Lose Control,213,3,(x20),"2,332,733","11,848"
Lil Nas X - THATS WHAT I WANT,321,4,"","2,297,146",0
The Weeknd - Starboy,523,19,"","2,286,751",44
DJ Snake & J Balvin - Loco Contigo,258,6,"","2,268,417",0
Udo Lindenberg & Apache 207 - Komet,499,25,"","2,256,925","2,776"
Ninho - Tout en Gucci,760,47,"","2,254,503","1,535"
Dua Lipa - Houdini,208,1,(x6),"2,253,595","4,633"
Dua Lipa - Break My Heart,254,6,"","2,231,004",0
"Meduza, Becky Hill & GOODBOYS - Lose Control",320,10,"","2,219,842",0
Rosa Linn - SNAP,351,8,"","2,207,839",0
Jonas Blue - Rise,251,9,"","2,205,998",0
Acraze - Do It To It,269,6,"","2,190,149",0
Tom Walker - Leave a Light On,369,22,"","2,157,053",0
Drake - Toosie Slide,169,1,(x5),"2,153,676",0
Imagine Dragons - Natural,272,9,"","2,150,939",0
Miyagi & Andy Panda - Minor,591,83,"","2,150,925",648
Ariana Grande - positions,205,1,(x21),"2,149,951",0
SZA - Kill Bill,265,6,"","2,139,333",58
Portugal. The Man - Feel It Still,319,26,"","2,136,044",78
Post Malone - Psycho,216,2,(x5),"2,132,833",0
David Guetta - 2U,190,4,"","2,119,672",0
Ava Max - Kings & Queens,348,14,"","2,106,372",0
Rita Ora - Let You Love Me,224,5,"","2,100,281",0
Loud Luxury - Body,356,23,"","2,096,740",0
Pedro Capó & Farruko - Calma,289,15,"","2,088,274",0
Justin Bieber & BloodPop® - Friends,221,1,(x3),"2,084,297",0
The Killers - Mr. Brightside,285,50,"","2,072,973","1,450"
Nicky Jam & J Balvin - X,218,8,"","2,072,177",0
Burna Boy - Last Last,470,10,"","2,069,293",0
Lady Gaga - Always Remember Us This Way,402,19,"","2,061,452",0
KAROL G & Nicki Minaj - Tusa,345,18,"","2,046,990",0
Jason Derülo - Take You Dancing,294,10,"","2,024,703",0
Jonas Blue - Mama,204,7,"","2,002,986",0
"Zedd, Maren Morris & Grey - The Middle",232,7,"","1,998,616",0
JONY - Комета,329,58,"","1,992,184",736
Arizona Zervas - Roxanne,218,8,"","1,991,073",0
Ayra Starr - Rush,355,14,"","1,985,018",103
Bad Bunny - MIA,217,5,"","1,953,688",0
Ninho - Jefe,498,26,"","1,952,066",632
Maroon 5 - What Lovers Do,216,9,"","1,947,703",0
Miley Cyrus - Midnight Sky,235,8,"","1,945,741",0
Ninho - Goutte d’eau,549,39,"","1,928,370","1,310"
Meduza - Paradise,270,7,"","1,926,781",0
Lizzo - About Damn Time,253,4,"","1,926,738",0
5 Seconds of Summer - Youngblood,308,24,"","1,904,677",0
Ed Sheeran - Castle on the Hill,282,36,"","1,880,648",258
Aya Nakamura - Pookie,478,25,"","1,879,390",0
G-Eazy & Halsey - Him & I,191,5,"","1,874,398",0
"David Guetta, Becky Hill & Ella Henderson - Crazy What Love Can Do",321,12,"","1,873,548",0
Sam Smith - Too Good at Goodbyes,189,5,"","1,869,274",0
Ofenbach - Wasted Love,393,16,"","1,863,200",0
SDM - Bolide allemand,545,32,"","1,860,832","1,378"
HammAli & Navai - Птичка,525,52,"","1,859,045",871
Ariana Grande - Santa Tell Me,246,4,"","1,854,140",0
Drake - Nice For What,218,3,(x2),"1,849,833",0
Avicii - Lonely Together,237,12,"","1,847,611",0
Billie Eilish - What Was I Made For,274,2,(x4),"1,829,359",555
Sam Smith & Normani - Dancing with a Stranger,222,6,"","1,825,183",0
Shawn Mendes - There's Nothing Holdin' Me Back,210,10,"","1,818,468",0
Billie Eilish - Therefore I Am,211,1,(x17),"1,806,813",0
Beyoncé - BREAK MY SOUL,183,2,(x24),"1,795,646",0
"Joel Corry, RAYE & David Guetta - BED",233,9,"","1,794,865",0
Ninho - VVS,445,28,"","1,794,815",434
Doja Cat - Say So,212,9,"","1,792,283",0
Dave - Location,291,59,"","1,789,507",185
Kelly Clarkson - Underneath the Tree,219,4,"","1,789,226",0
Mark Ronson - Nothing Breaks Like a Heart,223,3,(x1),"1,783,876",0
"Bizarrap & Quevedo - Quevedo: Bzrp Music Sessions, Vol. 52",485,29,"","1,780,171",687
ANNA ASTI - По барам,733,60,"","1,780,043","1,673"
Kate Bush - Running Up That Hill,143,1,(x16),"1,767,729",0
Ed Sheeran - South of the Border,266,6,"","1,766,987",0
Avicii - SOS,173,3,(x14),"1,766,944",0
Ninho - Maman ne le sait pas,286,38,"","1,766,499",837
Rita Ora - Anywhere,266,16,"","1,761,022",0
Future - Life Is Good,178,2,(x3),"1,756,940",0
Billie Eilish - Happier Than Ever,222,4,"","1,755,637",0
Peggy Gou - (It Goes Like) Nanana,187,2,(x5),"1,752,908",92
The Kid LAROI - WITHOUT YOU,205,5,"","1,752,526",0
Elley Duhé - Middle of the Night,325,14,"","1,752,207",0
Taylor Swift - Look What You Made Me Do,152,1,(x18),"1,751,689",0
Calvin Harris & Ellie Goulding - Miracle,229,6,"","1,748,850",0
Gazo - DIE,519,27,"","1,744,484",489
The Weeknd - Take My Breath,216,2,(x3),"1,742,295",0
A$AP Rocky - Praise the Lord,241,12,"","1,738,476",0
Stormzy - Own It,310,18,"","1,723,992",0
Justin Bieber - Intentions,171,5,"","1,718,519",0
Ofenbach & Quarterhead - Head Shoulders Knees & Toes,331,27,"","1,709,675",0
Master KG - Jerusalema,312,19,"","1,700,945",0
"Ariana Grande - break up with your girlfriend, i'm bored",143,1,(x17),"1,698,565",0
Tyla - Water,246,5,"","1,697,483","1,350"
NF - Let You Down,212,12,"","1,696,101",0
Tiësto - Lay Low,342,10,"","1,682,479",463
Post Malone - Goodbyes,173,4,"","1,679,442",0
surf mesa - Ily,190,7,"","1,675,822",0
Justin Timberlake - Say Something,158,4,"","1,662,418",0
Jack Harlow - Lovin On Me,195,3,(x12),"1,662,194","1,211"
Tiësto & Dzeko - Jackie Chan,200,5,"","1,662,021",0
Beyoncé - TEXAS HOLD 'EM,114,1,(x1),"1,659,196","8,102"
CJ - Whoopty,164,2,(x1),"1,649,394",0
Ariana Grande - God is a woman,191,4,"","1,648,619",0
"Black Eyed Peas, Ozuna & J. Rey Soul - MAMACITA",232,9,"","1,639,201",0
BTS - Dynamite,279,7,"","1,636,581",0
Luciano - Beautiful Girl,390,22,"","1,635,057",481
Avicii - Without You,199,12,"","1,633,764",21
Vance Joy - Riptide,310,56,"","1,631,568","1,044"
Selena Gomez - Lose You to Love Me,161,2,(x3),"1,626,960",0
"Imagine Dragons, JID & League of Legends - Enemy",248,11,"","1,620,769",0
Powfu - Death Bed,184,8,"","1,614,229",0
Tyga - Taste,260,20,"","1,613,146",0
Robin Schulz - OK,211,17,"","1,607,632",0
Chris Rea - Driving Home For Christmas,243,11,"","1,606,646",0
Shawn Mendes - In My Blood,189,2,(x5),"1,590,043",0
Purple Disco Machine & Sophie and the Giants - Hypnotized,366,27,"","1,572,684",0
Shakin' Stevens - Merry Christmas Everyone,250,13,"","1,571,022",0
Miyagi & Andy Panda - Патрон,497,57,"","1,566,537",236
XXXTENTACION & Lil Pump - Arms Around You,155,4,"","1,561,501",0
Jack Harlow - First Class,151,2,(x16),"1,560,359",0
Bad Bunny & Jhay Cortez - Dakiti,299,22,"","1,557,075",0
Artik & Asti - Девочка танцуй,168,63,"","1,547,800",888
Naps - La kiffance,362,39,"","1,546,469",0
"Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness - Bande organisée",411,31,"","1,534,912",0
Miyagi & Andy Panda - Там ревели горы,192,115,"","1,534,340",571
Queen - Bohemian Rhapsody,167,31,"","1,526,826",80
Zivert - Life,415,75,"","1,526,568",0
Imagine Dragons - Bad Liar,289,27,"","1,522,976",0
Liam Payne & Rita Ora - For You,160,3,(x1),"1,521,693",0
Pop Smoke - Mood Swings,203,7,"","1,515,264",0
Bennett - Vois sur ton chemin,300,13,"","1,508,570","2,247"
Jax Jones - Breathe,236,18,"","1,507,832",0
José Feliciano - Feliz Navidad,191,4,"","1,502,935",0
Miley Cyrus - Prisoner,162,3,(x2),"1,500,389",0
