Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE
97,+12,Drake - For All The Dogs Scary Hours Edition,201,2,(x18),2445,+287,1.841,37,114,"",""
98,-10,Arctic Monkeys - AM,2512,14,"",2360,-292,7.260,"",77,"",150
99,-2,A Boogie wit da Hoodie - Better Off Alone,21,12,"",2349,-95,0.121,15,63,"",""
100,-11,Jimin - FACE - EP,185,1,(x1),2348,-285,0.908,"","","",""
101,+9,Kanye West - My Beautiful Dark Twisted Fantasy,668,36,"",2341,+213,2.335,139,108,"",129
102,-9,IVE - IVE SWITCH - EP,37,8,"",2315,-275,0.184,"","",25,""
103,+3,D.O. - BLOSSOM - THE 3RD MINI ALBUM - EP,29,28,"",2307,+69,0.116,"","",145,""
104,+8,ian - Valedictorian,18,22,"",2254,+199,0.060,12,"","",""
105,-3,Sheena Ringo - Carnival,7,73,"",2251,-14,0.018,"","",2,""
106,-1,Bushido - König für immer,5,101,"",2231,-9,0.011,"","","",2
107,-6,Beth Gibbons - Lives Outgrown,19,19,"",2219,-96,0.079,"",150,"",38
108,-4,Fujii Kaze - Best of Fujii Kaze 2020-2024,8,52,"",2189,-61,0.022,"","",6,""
109,-1,Álvaro Díaz - SAYONARA,22,60,"",2171,+10,0.068,"","","",""
110,-18,Bad Omens - CONCRETE JUNGLE,5,40,"",2165,-438,0.016,138,79,"",62
111,=,Trueno - EL ÚLTIMO BAILE,12,95,"",2121,+37,0.029,"","","",""
112,+15,21 Savage - american dream,145,1,(x24),2115,+257,1.544,39,"","",""
113,=,Zed - Malcom,5,110,"",2049,-2,0.010,"","","",""
114,+3,Rels B - a new star,40,73,"",2011,+62,0.091,"","","",""
115,+3,Dardan & Azet - EUROSPORT,12,107,"",2007,+64,0.024,"","","",6
116,+57,Eminem - The Marshall Mathers LP,10,116,"",1995,+633,0.320,100,38,"",195
117,-14,Billie Eilish - Happier Than Ever,1089,1,(x31),1987,-270,8.654,"",157,"",162
118,-4,Adele - 21,2351,10,"",1969,-65,5.871,"",102,"",111
119,-3,Thunderstorms - Thunderstorm Sounds,304,87,"",1947,-71,1.097,24,83,"",""
120,+6,Morgan Wallen - One Thing At A Time,491,22,"",1921,+33,1.563,34,168,"",""
121,-26,The Beatles - Abbey Road,211,9,"",1909,-610,1.457,"",153,136,155
122,-2,K-Trap - SMILE,5,95,"",1905,-22,0.017,"",4,"",""
123,-4,"David Guetta - Live At Hï Ibiza: Future Rave, Aug 25, 2023",4,109,"",1857,-82,0.008,"",47,"",""
124,+4,RK - DLPDA,5,120,"",1847,-10,0.009,"","","",""
125,-18,Michael Jackson - Thriller,75,6,"",1813,-366,0.564,172,162,"",139
126,-3,$uicideboy$ - New World Depression,12,46,"",1811,-100,0.032,33,"","",184
127,-5,Lena - Loyal to myself,5,115,"",1805,-108,0.011,"","","",5
128,-13,Bob Marley & The Wailers - Legend – The Best Of Bob Marley & The Wailers,277,23,"",1801,-227,0.840,"",54,"",83
129,+2,Gabito Ballesteros - THE GB,12,85,"",1788,+37,0.029,38,"","",""
130,+2,Cheema Y & Gur Sidhu - Cloud 9 - EP,28,79,"",1777,+43,0.061,"","","",""
131,-1,Linda Beldad - Música para Dormir Profundamente: Duermes Bien con Sonidos Relajantes de la Naturaleza,1311,96,"",1770,-1,2.597,"","","",""
132,-3,Feid & Yandel - MANIFESTING 20-05 - EP,55,40,"",1769,-53,0.154,102,"","",""
133,+26,Lana Del Rey - Ultraviolence,631,49,"",1763,+296,1.793,"",190,"",""
134,-10,Fleetwood Mac - Rumours,809,15,"",1740,-162,2.541,"",57,"",131
135,-2,HoodBlaq - XABAT,5,125,"",1734,+7,0.009,"","","",8
136,+14,Harry Styles - Harry's House,747,1,(x55),1717,+160,7.910,"",75,"",""
137,+11,Hugo (TSR) - La Pluie,5,137,"",1706,+133,0.008,"","","",""
138,+17,Teddy Swims - I've Tried Everything But Therapy,192,31,"",1684,+194,0.679,"",33,"",""
139,+3,NewJeans - NewJeans 1st EP 'New Jeans',660,5,"",1676,+65,2.698,"","",71,""
140,-6,THEODORT - Imad,12,105,"",1675,-22,0.023,"","","",""
141,+3,Werenoi - Pyramide,110,38,"",1643,+49,0.236,"","","",""
142,-1,Number_i - No.O -ring-,9,116,"",1623,+6,0.016,"","",1,""
143,=,BOYNEXTDOOR - HOW,51,21,"",1594,-3,0.183,"","",75,""
144,-19,Various Artists - TROLLS Band Together,206,17,"",1580,-309,0.773,59,134,"",""
145,=,Sexyy Red - In Sexyy We Trust,12,36,"",1569,-17,0.033,9,"","",""
146,+5,Junior H - $AD BOYZ 4 LIFE II,242,58,"",1565,+14,0.453,49,"","",""
147,+15,Dadju & Tayc - HÉRITAGE,110,19,"",1558,+133,0.240,"","","",""
