Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
Burl Ives - Rudolph The Red-Nosed Reindeer,19,"",59,"","3,311,765","31,468,527"
benny blanco - I Found You,34,"",55,"","1,310,342","31,422,742"
juan karlos - ERE,22,"",58,"","1,779,919","31,389,153"
Bebe Rexha - Bad Bitch,54,"",108,"","734,186","31,362,375"
Ivan Cornejo - Está Dañada,35,"",83,"","1,120,047","31,351,438"
Zé Neto & Cristiano - Você Beberia Ou Não Beberia?,34,"",81,"","1,259,839","31,305,982"
FIFTY FIFTY - Cupid - Twin Version,19,"",27,"","2,741,617","31,302,177"
"Tyler, The Creator - NEW MAGIC WAND",35,"",19,"","2,544,390","31,271,278"
Ariana Grande - make up,21,"",15,"","3,948,984","31,253,242"
Bad Bunny - TELEFONO NUEVO,14,1,9,"","7,055,438","31,249,185"
Travis Scott - MODERN JAM,13,1,6,"","7,842,339","31,240,124"
Taylor Swift - this is me trying,21,"",12,"","4,499,491","31,230,172"
The Weeknd - Hurt You,24,1,9,"","3,481,010","31,217,098"
George Ezra - Paradise,51,"",137,"","739,945","31,166,401"
Ariana Grande - Last Christmas,27,"",83,"","2,746,345","31,140,973"
NAV - Turks,41,"",58,"","1,277,334","31,140,972"
Post Malone - Sugar Wraith,28,"",27,"","2,702,336","31,116,066"
The Weeknd - Often - Kygo Remix,118,"",57,"","445,556","31,099,623"
Bebe Rexha - No Broken Hearts,70,"",84,"","530,507","31,042,509"
Jung Kook - Still With You,21,"",15,"","2,841,974","30,997,261"
Future - Young Metro,15,"",12,"","4,585,765","30,980,941"
Cardi B - Drip,36,"",29,"","1,696,560","30,963,281"
Jack Black - Peaches,21,"",53,"","1,828,888","30,948,128"
Arcángel - Sigues Con El - Remix,45,"",103,"","850,787","30,945,042"
Future - We Don't Trust You,14,1,7,"","5,268,916","30,922,095"
Bad Bunny - MR. OCTOBER,14,1,5,"","7,900,194","30,872,249"
Luciano - Bamba,26,"",48,"","1,724,755","30,869,679"
Lil Yachty - One Night,81,"",114,"","474,629","30,826,162"
Zara Larsson - TG4M,57,"",116,"","648,385","30,770,302"
Lauv - Enemies,44,"",90,"","876,666","30,706,431"
The Weeknd - Gasoline,18,2,2,(x1),"4,885,888","30,704,933"
Anuel AA - Súbelo,36,"",92,"","1,131,005","30,693,371"
Kanye West - Pt. 2,58,"",36,"","1,118,173","30,671,290"
Ella Fitzgerald - Sleigh Ride,18,"",67,"","2,604,668","30,607,128"
6ix9ine - KEKE,48,"",90,"","945,356","30,551,337"
