Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
172,NEW,Ricchi & Poveri - Ma non tutta la vita,103,47,"",1596,+714,0.237,"","","",24,""
173,-12,Tiësto - The Business,887,1,(x20),1578,+14,4.679,"","","","",28
174,-112,Central Cee & Lil Baby - BAND4BAND,11,62,"",1574,-976,0.024,30,"","","",""
175,+16,"Jungeli, Imen Es & Alonzo - Petit génie",289,34,"",1569,+218,0.704,"","",33,"",""
176,+42,"Chappell Roan - Good Luck, Babe",2,176,"",1568,+373,0.037,39,"","","",""
177,-1,Ella Henderson - Alibi,144,19,"",1566,+145,0.340,25,"","","",""
178,-85,Öwnboss & SEVEK - Move Your Body,731,17,"",1566,-571,1.826,"","","","",25
179,-36,Alesha Dixon - Ransom,5,111,"",1536,-156,0.009,26,"","","",""
180,NEW,Joyan - Stash,1,180,"",1536,+1536,0.002,"","",26,"",""
181,-47,Boomdabash - LOVE U / HATE U,5,74,"",1536,-223,0.010,"","","",26,""
182,-41,"NILETTO, Oleg Miami & Lesha Svik - Громче города",60,38,"",1536,-189,0.124,"","","","",26
183,NEW,Purple Disco Machine & Benjamin Ingrosso - Honey Boy,20,9,"",1515,+458,0.089,"","","",70,""
184,+3,Ultimo - ALTROVE,25,42,"",1506,+139,0.056,"","","",27,""
185,+44,Moya Mishel - Ветер меняет направление,157,76,"",1506,+356,0.327,"","","","",27
186,NEW,Tiësto & Ava Max - The Motto,830,2,(x3),1500,+533,3.308,"","","","",29
187,-36,"Disclosure - She’s Gone, Dance On",6,31,"",1456,-182,0.014,70,"","",83,""
188,+26,Becky Hill - Right Here,1,188,"",1449,+231,0.014,29,"","","",""
189,-32,Mahmood - TUTA GOLD,113,17,"",1449,-147,0.317,"","","",29,""
190,+16,Marco Schuitmaker - Engelbewaarder,364,52,"",1426,+155,0.927,"","","","",""
191,-35,"$OHO BANI, Herbert Groenemeyer & Ericson - ZEIT, DASS SICH WAS DREHT",68,99,"",1421,-175,0.143,"",30,"","",""
192,NEW,Wiz Khalifa - See You Again,488,1,(x50),1412,+851,6.110,"",154,"","",""
193,NEW,Kendrick Lamar - Not Like Us,30,10,"",1402,+600,0.118,55,"","","",""
194,-48,Calvin Harris & Rag'n'Bone Man - Lovers In A Past Life,110,9,"",1394,-273,0.388,31,"","","",""
195,NEW,Vladimir Presnyakov Jr. - У тебя есть я,83,112,"",1394,+496,0.445,"","","","",31
196,NEW,Cesare Cremonini - Buon Viaggio,2,100,"",1367,+803,0.372,"","","",32,""
197,-9,JONY - Ты пари,76,69,"",1367,0,0.237,"","","","",32
198,NEW,Helena & Star Academy - Aimée pour de vrai,16,26,"",1362,+874,0.054,"","",41,"",""
199,-9,Hannah Mae & Maksim - Ik Wil Dat Je Liegt,8,102,"",1357,+1,0.018,"","","","",""
200,NEW,Eminem - Without Me,8,48,"",1348,+682,0.285,75,"",99,"",""
