Artist,Total,Today,1M,2M,3M,4M,5M
5 Seconds of Summer,"6,908,193",0,1,1,0,0,0
DJ Khaled,"6,904,607",174,2,0,0,0,0
Michael Jackson,"6,899,161",294,2,1,0,0,0
Olly Murs,"6,889,644",689,2,0,0,0,0
Olivia Rodrigo,"6,761,255","1,145",3,0,0,0,0
Loreen,"6,716,615","3,724",2,1,1,0,0
ZAYN,"6,632,101",829,2,1,1,0,0
Foster The People,"6,609,185",634,1,1,1,1,1
Snoop Dogg,"6,504,282",212,2,2,1,0,0
Disturbed,"6,496,107","12,520",1,1,1,1,1
Daddy Yankee,"6,477,937",506,2,1,0,0,0
Tiësto,"6,440,500",750,1,1,1,0,0
Florence + The Machine,"6,368,914",0,2,0,0,0,0
Lizzo,"6,251,214",0,2,0,0,0,0
Rudimental,"6,180,667",34,1,1,0,0,0
Christina Aguilera,"6,160,348",545,1,1,1,0,0
Naughty Boy,"6,118,776",3,2,1,1,1,0
Marc Anthony,"6,103,336","1,670",1,1,1,0,0
Jonas Brothers,"6,048,820",0,3,1,0,0,0
Omi,"6,037,926",731,1,1,1,1,1
Chris Stapleton,"6,023,330","3,718",1,1,0,0,0
Maluma,"5,964,543",404,0,0,0,0,0
Shawn Mendes & Camila Cabello,"5,929,914",343,1,1,1,1,1
Doja Cat,"5,894,195",186,2,0,0,0,0
back number,"5,728,062",174,0,0,0,0,0
Zara Larsson,"5,720,587",785,1,1,0,0,0
Kings of Leon,"5,590,761",174,2,1,0,0,0
Halsey,"5,581,525","2,121",1,1,0,0,0
Sean Paul,"5,498,448",0,3,0,0,0,0
Panic! At the Disco,"5,487,733",0,1,1,1,0,0
Milky Chance,"5,479,524",368,1,1,1,0,0
Mike Posner,"5,450,183",140,2,1,1,0,0
James Blunt,"5,371,516",37,2,0,0,0,0
Madonna,"5,324,753",58,0,0,0,0,0
MAGIC!,"5,260,933",594,1,1,1,1,0
Lilly Wood & the Prick & Robin Schulz,"5,232,201","1,098",1,1,1,1,1
The Wanted,"5,204,123",0,2,1,0,0,0
Alvaro Soler,"5,137,260",0,2,0,0,0,0
Lisa,"5,118,411",230,0,0,0,0,0
Mark Forster,"5,110,825",129,0,0,0,0,0
